rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
115,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,67,110,92,465553,2022-09-01
116,spotify:track:17oMGPkdKaXQCJY3apPQYO,"KSI, Headie One, Nines",Not Over Yet Remix (feat. Headie One & Nines),Atlantic Records UK,116,-1,1,464867,2022-09-01
117,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,17,114,124,462419,2022-09-01
118,spotify:track:2zxEc1GCSCxbHIXTfhraRC,"Dave, Stormzy",Clash (feat. Stormzy),Neighbourhood,2,118,60,460653,2022-09-01
119,spotify:track:2sOj9vyd6yiss9W1IK6chU,"DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy)",Epic/We The Best,119,-1,1,460361,2022-09-01
120,spotify:track:3UmaczJpikHgJFyBTAJVoz,"Eminem, Dido",Stan,Interscope,90,124,35,459045,2022-09-01
121,spotify:track:1ovZe7upcqycTuPFfOg6kB,Katie Gregson-MacLeod,complex (demo),Columbia,121,-1,1,452932,2022-09-01
122,spotify:track:4A7sSA10D35HQUNrSOl5Zo,"JAE5, Dave, BNXN",Propeller (feat. Dave & BNXN),Black Butter,57,95,5,450881,2022-09-01
123,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,Sparks,Parlophone UK,82,82,3,448650,2022-09-01
124,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,4,115,57,447215,2022-09-01
125,spotify:track:25FTMokYEbEWHEdss5JLZS,Wheatus,Teenage Dirtbag,Columbia,125,145,4,446921,2022-09-01
126,spotify:track:7MIhUdNJtaOnDmC5nBC1fb,"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),Columbia/B1 Recordings,126,177,3,446452,2022-09-01
127,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Polydor Records,120,121,6,445427,2022-09-01
128,spotify:track:3gbBpTdY8lnQwqxNCcf795,Bastille,Pompeii,Virgin Records,90,126,128,441387,2022-09-01
129,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,2,134,59,440887,2022-09-01
