main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
HEARTSTEEL,185,58,1,13,0,0,0,617,533,2023,1,2,2024,12,30,92
HEIZE,199,9,12,56,0,0,0,1604,400,2021,1,1,2024,12,30,187
HIGH4,156,114,1,2,0,0,0,1177,820,2022,4,6,2023,4,14,114
HIGHLIGHT,162,61,2,7,0,0,0,1513,1177,2021,3,7,2022,5,31,86
HOMIES,200,51,7,71,0,0,0,1604,267,2021,1,1,2024,12,31,150
HONNE,200,61,3,12,0,0,0,1478,1345,2021,6,1,2021,10,28,61
HOZIHO,200,113,1,52,0,0,0,1086,8,2022,1,1,2025,12,30,166
HUH YUNJIN,130,130,1,1,0,0,0,827,827,2023,3,30,2023,3,30,130
HUNTR/X,121,6,4,2,0,0,0,8,1,2025,6,3,2025,7,26,49
HWASA,197,74,3,11,0,0,0,1310,603,2021,9,2,2023,12,28,74
HYO,199,199,1,1,0,0,0,1415,1415,2021,8,19,2021,8,19,199
HYUKOH,199,39,5,59,0,0,0,736,1,2023,1,1,2025,12,31,195
HYUN SEO,164,42,1,13,0,0,0,85,1,2025,4,1,2025,7,29,129
Halsey,198,25,4,26,0,0,0,1590,610,2021,2,2,2023,11,31,198
Han Yo Han,166,166,1,1,0,0,0,1380,1380,2021,9,23,2021,9,23,166
Hanumankind,142,51,1,9,0,0,0,323,267,2024,8,3,2024,10,29,98
Harry Styles,200,3,17,192,0,0,0,1611,8,2021,1,1,2025,12,31,119
Hearts2Hearts,110,8,2,19,1,0,0,127,1,2025,2,1,2025,7,29,110
Hebi,193,150,1,3,0,0,0,92,64,2025,4,1,2025,5,10,177
Heo Hoy Kyung,200,144,1,4,0,0,0,897,183,2023,1,2,2025,10,24,144
Hikaru Utada,183,183,1,1,0,0,0,1569,1569,2021,3,18,2021,3,18,183
Hotel Ugly,199,179,1,3,0,0,0,379,225,2024,6,10,2024,11,21,196
Hozier,195,69,1,21,0,0,0,456,316,2024,4,1,2024,8,30,158
Huh,198,34,4,6,0,0,0,925,890,2022,1,5,2023,12,29,105
Hwang Karam,200,66,1,29,0,0,0,232,36,2024,1,1,2025,12,30,200
HyunA,196,105,1,6,0,0,0,1576,1541,2021,3,1,2021,4,25,196
HyunA&DAWN,192,68,1,9,0,0,1,1387,1331,2021,9,4,2021,11,30,79
ILLIT,195,1,10,67,1,0,0,463,1,2024,1,1,2025,12,31,91
ISEGYE IDOL,179,25,4,29,0,0,0,1289,617,2021,1,3,2023,12,31,28
ITZY,198,3,14,121,1,0,0,1611,1,2021,1,1,2025,12,31,52
IU,200,1,36,157,0,0,0,1611,1,2021,1,1,2025,12,31,13
IVE,200,1,27,173,1,0,0,1310,22,2021,1,1,2025,12,31,186
IZ*ONE,200,18,2,30,1,0,0,1611,1408,2021,2,1,2021,8,29,24
Ice Spice,188,188,1,1,0,0,0,337,337,2024,8,1,2024,8,1,188
Imagine Dragons,200,17,6,84,0,0,0,1569,806,2021,1,1,2023,12,31,54
Internet Money,199,62,2,13,0,0,0,1611,1499,2021,2,1,2021,5,27,153
Izi,200,148,1,27,0,0,0,246,1,2024,1,1,2025,12,31,198
J Balvin,148,108,2,5,0,0,0,1541,1443,2021,4,1,2021,7,22,120
J. Cole,189,36,11,5,0,0,0,1513,1485,2021,5,3,2021,6,27,61
J.Tajor,196,66,1,20,0,0,0,540,407,2024,1,1,2024,5,29,142
JAEHYUN,190,75,6,8,0,0,0,1219,239,2022,3,1,2024,11,31,175
JAESSBEE,165,39,1,11,0,0,0,232,162,2024,1,2,2025,12,28,64
JANNABI,200,43,10,221,0,0,0,1569,1,2021,1,1,2025,12,31,138
JAURIM,199,30,2,28,0,0,0,1310,1051,2021,2,2,2022,12,31,199
JENNIE,200,2,18,71,0,0,0,1569,1,2021,1,1,2025,12,31,184
JEON MI DO,144,144,1,1,0,0,0,1380,1380,2021,9,23,2021,9,23,144
JEON SOMI,180,7,4,72,0,0,0,1604,484,2021,1,1,2024,12,31,169
JEON SOYEON,185,112,1,3,0,0,0,1457,1443,2021,7,8,2021,7,22,154
JESSIA,186,123,1,5,0,0,0,1597,1569,2021,2,4,2021,3,25,128
JEY,199,199,1,1,0,0,0,897,897,2023,1,19,2023,1,19,199
JID,192,76,1,17,0,0,0,575,463,2023,1,1,2024,12,29,171
JIHYO,200,61,1,9,0,0,0,680,624,2023,8,5,2023,10,31,61
JIN,200,6,6,85,0,0,0,1331,337,2021,1,1,2024,12,31,93
JISOO,196,3,5,40,0,0,0,820,64,2023,2,1,2025,10,31,18
JO YURI,198,64,2,18,0,0,0,1359,1065,2021,6,2,2022,12,30,87
JOY,200,13,6,25,0,0,0,1492,1324,2021,6,1,2021,11,30,136
JP Saxe,191,88,1,21,0,0,0,1611,1450,2021,2,1,2021,7,29,149
JSDK,183,27,1,8,0,0,0,1464,1415,2021,7,1,2021,8,29,27
JUNNY,187,140,2,8,0,0,0,897,631,2023,1,3,2023,10,28,187
JUSTHIS,196,5,2,21,0,0,0,974,827,2022,1,2,2023,12,30,110
JVKE,200,5,4,96,0,0,0,1212,351,2022,1,1,2024,12,31,115
Jack Harlow,199,20,4,47,0,0,0,1226,442,2022,1,1,2024,12,30,157
Jambino,195,68,2,3,0,0,0,925,911,2022,1,5,2023,12,29,68
James Arthur,193,162,1,3,0,0,0,1597,1583,2021,2,4,2021,3,25,162
Jang Beom June,197,78,1,28,0,0,0,1611,442,2021,1,1,2024,12,30,143
Jason Derulo,176,168,1,2,0,0,0,1597,1590,2021,2,18,2021,2,25,168
Jawsh 685,184,53,1,29,0,0,0,1611,1415,2021,2,1,2021,8,29,56
Jax,181,165,1,2,0,0,0,1044,1037,2022,8,1,2022,9,25,165
Jay Park,198,1,11,102,0,0,0,1604,372,2021,1,1,2024,12,31,156
Jaymes Young,182,59,1,16,0,0,0,1296,1191,2021,1,3,2022,12,31,182
Jehwwn,200,177,1,3,0,0,0,967,890,2022,1,10,2023,11,26,188
Jeremy Zucker,200,48,4,71,0,0,0,1611,1100,2021,1,1,2022,12,31,106
Jessi,199,13,3,38,0,0,0,1562,1051,2021,1,1,2022,12,30,55
Jimin,199,1,28,167,0,0,0,1163,1,2022,1,1,2025,12,31,6
Jin,200,2,27,38,0,0,0,260,1,2024,1,1,2025,12,31,81
Joe Mesmar,55,55,1,1,0,0,0,1009,1009,2022,9,29,2022,9,29,55
Joel Corry,184,135,2,14,0,0,0,1562,1345,2021,3,1,2021,10,29,159
John K,198,95,2,20,0,0,0,1597,1247,2021,1,1,2022,10,29,197
John Mayer,177,124,2,2,0,0,0,1485,1443,2021,6,10,2021,7,22,124
Joji,195,4,5,37,0,0,0,1114,862,2022,1,1,2023,12,30,13
Jon Batiste,137,137,1,1,0,0,0,757,757,2023,6,8,2023,6,8,137
Jonas Blue,195,195,1,1,0,0,0,1268,1268,2022,1,13,2022,1,13,195
Jonas Brothers,199,126,3,18,0,1,0,1611,190,2021,2,4,2024,12,30,197
Joosiq,192,57,2,47,0,0,0,1359,1037,2021,1,1,2022,12,31,163
Jos Feliciano,191,60,1,8,0,0,0,1303,554,2021,12,9,2023,12,30,191
Juho,186,99,1,25,0,0,0,1107,939,2022,6,1,2022,12,30,172
Juice WRLD,190,17,4,10,0,0,0,1324,1240,2021,1,6,2022,12,30,61
Jukjae,196,146,1,10,0,0,0,1562,897,2021,1,1,2023,5,29,184
Jung Dong Ha,199,199,1,1,0,0,0,1233,1233,2022,2,17,2022,2,17,199
Jung Kook,200,1,33,177,0,0,0,1233,1,2022,1,1,2025,12,31,1
Justin Bieber,200,1,26,221,0,0,0,1611,8,2021,1,1,2025,12,31,73
Justus Bennetts,155,155,1,1,0,0,0,1016,1016,2022,9,22,2022,9,22,155
Jvcki Wai,113,111,1,2,0,0,0,981,974,2022,10,3,2022,11,27,113
JxW,138,138,1,1,0,0,0,372,372,2024,6,27,2024,6,27,138
