main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
Harshavardhan Rameshwar,158,8,1,15,0,0,0,568,470,2023,1,1,2024,12,29,8
Harshit Saxena,199,98,1,32,0,0,0,330,8,2024,1,1,2025,10,30,146
Hasan Raheem,195,60,1,30,0,0,0,568,365,2023,1,1,2024,12,30,195
Hemachandra Vedala,170,41,1,5,0,0,0,1415,1170,2021,3,7,2022,8,31,170
Hesham Abdul Wahab,200,75,6,55,0,0,0,1338,617,2021,1,1,2023,11,31,148
Himani Kapoor,190,151,1,5,0,0,0,1527,1499,2021,4,6,2021,5,29,155
Himesh Reshammiya,197,1,8,21,0,0,0,2178,8,2019,2,1,2025,12,29,187
Hiphop Tamizha,194,85,5,31,0,0,0,2276,309,2019,4,1,2024,9,30,190
Hippie Sabotage,195,195,1,1,0,0,0,1576,1576,2021,3,11,2021,3,11,195
Hitesh Modak,151,103,1,4,0,0,0,2059,2038,2019,11,5,2019,12,28,151
Hommie Dilliwala,176,44,1,12,0,0,0,1646,1569,2020,1,4,2021,12,31,44
Hrithik Jayakish,169,66,1,5,0,0,0,1051,1023,2022,8,1,2022,9,25,66
I.N.D.N,134,44,1,3,0,0,0,1520,1506,2021,5,6,2021,5,20,134
IU,197,39,1,4,0,0,0,1884,1863,2020,5,7,2020,5,28,87
Ikka,192,15,7,19,0,0,0,1681,351,2020,1,2,2024,12,30,121
Ilaiyaraaja,199,73,1,13,0,0,0,813,715,2023,4,1,2023,7,29,138
Imagine Dragons,200,15,5,245,0,0,0,2318,589,2019,1,1,2023,12,31,150
Imdad Hussain,192,109,1,8,0,0,0,974,757,2022,4,3,2023,11,25,191
Imran Khan,200,76,3,120,0,0,0,2115,855,2019,1,1,2023,12,31,180
Inder Arya,194,173,1,3,0,0,0,575,547,2023,1,4,2024,12,14,194
Inder Chahal,196,7,2,29,0,0,0,2017,1499,2019,1,1,2021,12,30,194
Inderr,195,118,1,6,0,0,0,855,778,2023,3,2,2023,5,30,118
Intense,166,106,1,5,0,0,0,1926,1898,2020,3,2,2020,4,26,106
Internet Money,198,26,1,28,0,0,0,1751,1534,2020,1,1,2021,12,31,193
Iqlipse Nova,199,181,2,4,0,0,0,428,302,2024,5,2,2024,9,16,199
Irshad Khan,200,40,1,51,0,0,0,799,435,2023,1,1,2024,12,31,127
Isabel LaRosa,161,77,1,11,0,0,0,442,372,2024,4,2,2024,6,30,99
Isyan Tetick,162,121,1,5,0,0,0,1716,1688,2020,10,5,2020,11,29,151
J Balvin,199,38,2,9,0,0,0,1786,1317,2020,8,4,2021,11,28,177
J. Cole,193,21,1,13,0,0,0,2318,2234,2019,2,2,2019,5,28,21
JENNIE,200,131,1,11,0,0,0,106,36,2025,3,1,2025,5,29,181
JEON SOMI,193,166,1,4,0,0,0,1408,1387,2021,8,2,2021,9,26,181
