main_artist,track_name,Labels,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Ratio Position,MaxMin Ratio Streams,MaxMin Difference Position,MaxMin Difference Streams
De Mthuda,Gijima,1,43399,43399,43399.0,56,1,1.0,1.0,0,0
De Mthuda,John Wick,5,20288,2685248,57132.936170212764,2,47,92.0,5.211011435331231,182,85433
De Mthuda,Jola,5,25918,1870363,58448.84375,6,32,29.666666666666668,4.627749054711011,172,94024
De Mthuda,Khethile Khethile,1,32598,73008,36504.0,61,2,1.9672131147540983,1.2396466040861402,59,7812
De Mthuda,Mhlaba Wonke,1,23970,58970,29485.0,77,2,2.142857142857143,1.4601585314977055,88,11030
De Mthuda,Shesha,4,9553,435778,13205.39393939394,45,33,4.355555555555555,1.8332461007013503,151,7960
De Mthuda,uMsholozi,0,20656,1064824,35494.13333333333,27,30,7.074074074074074,2.8389814097598762,164,37986
Dean Lewis,7 Minutes,1,7271,49286,8214.333333333334,96,6,1.96875,1.427589052399945,93,3109
Dean Lewis,Be Alright,5,4712,2645544,16534.65,10,160,20.0,4.666808149405773,190,17278
Dean Martin,"Baby, It's Cold Outside",1,13157,13157,13157.0,182,1,1.0,1.0,0,0
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,1,16280,149341,29868.2,35,5,2.742857142857143,2.6461916461916464,61,26800
Dean Martin,Rudolph The Red-Nosed Reindeer,1,8694,8694,8694.0,133,1,1.0,1.0,0,0
Dee-Jay,Gustavo,1,5412,5412,5412.0,111,1,1.0,1.0,0,0
Deep London,Hamba Wena,4,50876,505128,101025.6,6,5,10.833333333333334,2.8557079959116285,59,94411
Demi Lee Moore,Kan Jou Nie My Maak Liefh,1,27700,27700,27700.0,152,1,1.0,1.0,0,0
Demi Lovato,Anyone,1,13566,13566,13566.0,147,1,1.0,1.0,0,0
Demi Lovato,I Love Me,1,14316,84711,16942.2,65,5,1.9846153846153847,1.51515786532551,64,7375
Demi Lovato,Met Him Last Night (feat. Ariana Grande),1,21564,74393,24797.666666666668,84,3,1.6547619047619047,1.2929883138564273,55,6318
Demi Lovato,Sober,1,3597,42197,4688.555555555556,110,9,1.7181818181818183,1.547400611620795,79,1969
Demi Lovato,Sorry Not Sorry,1,3269,148992,4656.0,81,32,2.4691358024691357,2.0663811563169165,119,3486
Demi Lovato,Tell Me You Love Me,1,2661,29066,3229.5555555555557,108,9,1.7037037037037037,1.5152198421645997,76,1371
Dennis Lloyd,Never Go Back,1,7195,7195,7195.0,194,1,1.0,1.0,0,0
Dennis Lloyd,Nevermind,4,4350,437109,9106.4375,16,48,12.0625,2.9535632183908045,177,8498
Dermot Kennedy,Outnumbered,1,11074,56984,11396.8,138,5,1.108695652173913,1.0879537655770273,15,974
Desiigner,Panda,1,2218,7365,2455.0,120,3,1.6083333333333334,1.208746618575293,73,463
Die Heuwels Fantasties,EGGO,1,25355,25355,25355.0,157,1,1.0,1.0,0,0
Dinky Kunene,Areyeng,1,26522,26522,26522.0,190,1,1.0,1.0,0,0
Diplo,Heartless (feat. Morgan Wallen),1,9732,9732,9732.0,193,1,1.0,1.0,0,0
Diplo,Lonely (with Jonas Brothers),1,10143,298304,14204.952380952382,53,21,3.7735849056603774,2.0095632455880903,147,10240
Diplo,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",1,3439,25401,4233.5,89,6,1.9438202247191012,1.425123582436755,84,1462
Distruction Boyz,Generator,1,5281,5281,5281.0,179,1,1.0,1.0,0,0
