source,main_artist,track_name,streams,End Date
Epic/Bad Boy Entertainment,1,1,83898,2019-10-31
Epic/Freebandz,1,29,7734589,2022-10-06
Epic/Freebandz/A1,1,1,15892,2018-04-19
Epic/Freebandz/Grade A/Interscope,1,3,58819,2018-11-29
Epic/Grand Hustle,1,1,1664054,2021-07-22
Epic/Grand Hustle/Cactus Jack,1,3,129692,2020-05-07
Epic/Legacy,1,1,36314,2019-01-03
Epic/London Ent.,1,1,51774,2020-07-02
Epic/Not So Fast,1,8,5650817,2022-10-06
Epic/Record Company TEN,1,3,486187,2019-10-17
Epic/Sing It Loud,1,1,123057,2020-06-11
Epic/We The Best,2,43,4190093,2022-10-06
Eye 'N See Entertainment,1,1,380757,2021-03-11
F-Stop Records/Atlantic,1,1,127222,2020-01-09
FADER Label,1,1,70699,2020-11-26
FAMM,1,11,360235,2021-09-02
FAX Records/Epic,1,1,466587,2021-06-17
FMLY,1,1,8276,2019-04-18
Family Tree,1,2,10864,2018-09-06
Feel Good Music,1,1,534663,2020-02-13
Field Trip Recordings/Geffen Records,1,1,228142,2022-10-06
Fifth Amendment Entertainment/eOne Music,1,1,229769,2019-05-16
Flourish and Multiply,1,3,251381,2020-01-09
FlyBoy INC / EMPIRE,1,5,1546655,2022-10-06
Found Frequencies,1,1,2731,2018-05-03
Fresh 2 Def Productions,1,1,16366,2020-11-19
"Friends Keep Secrets, under exclusive license to Interscope Records",1,1,43505,2019-12-12
Friends Keep Secrets/Def Jam Recordings/Interscope Records,1,1,726123,2021-03-18
Friends Keep Secrets/Interscope Records,1,7,3380221,2022-09-15
Fueled By Ramen,1,6,321489,2021-04-15
"Future History/Artist Partner Group, Inc.",1,1,20045,2021-01-28
Fyve,1,1,250340,2022-09-22
G.O.O.D. Music/Columbia,1,1,2717585,2022-09-15
G59 Records,1,1,23341,2021-10-07
GRAP Entertainment Limited,1,1,29430,2022-09-29
Gaba Cannal Music,2,5,3190229,2022-10-06
Galactic / Republic Records,1,2,124407,2021-09-02
Galactic Records/Republic Records,1,1,47501,2021-08-19
"Gamebread, LLC / Def Jam Recordings",1,2,24597,2019-03-14
Ganyani Entertainment,1,1,32449,2018-09-06
Geffen,4,4,542177,2021-12-30
Geffen*,2,2,95787,2022-03-17
Generation Now/Atlantic,3,42,8890567,2022-10-06
Gentle Soul Records,1,1,13635,2019-01-03
Getting Out Our Dreams II / Def Jam Recordings,1,12,980066,2020-07-16
"Getting Out Our Dreams II, LLC / Def Jam Recordings",1,1,50873,2021-11-25
Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,3,11,315754,2022-04-28
"Getting Out Our Dreams, Inc./Def Jam Recordings",5,34,1727639,2022-04-14
Glassnote Entertainment Group LLC,2,2,496542,2021-07-15
Globe Field,1,1,5241,2018-11-15
Golden Child Recordings,1,9,368452,2022-09-15
Grade A Productions/Interscope Records,1,44,13625847,2022-03-31
Grade A/Posty/Interscope/Republic,1,1,17816,2021-03-18
Griselda Records / EMPIRE,1,1,130698,2022-03-17
Groove Natives,1,1,25374,2022-03-03
Guwop Enterprises/Atlantic,1,2,368319,2019-06-06
HITCO,1,1,84700,2020-08-06
Hell Beach,1,1,22292,2021-08-26
Highbridge the Label / Atlantic Records,1,4,574223,2020-02-20
Hillsong Music and Resources LLC,1,1,2279,2018-04-12
Hollywood Records,4,4,343434,2022-08-18
"Homemade Projects, LLC / TenThousand Projects",1,1,256035,2020-11-26
Honesty Saves Time/RCA Records,1,1,4461,2018-09-20
Hooch Entertainment Group/Hooch Events,1,1,196152,2022-07-14
House of Makunene,1,1,26522,2022-07-21
ICY/Artistry Records/Warner Records,1,2,179216,2020-10-01
ICY/Warner Records,1,1,956022,2021-08-05
ITNO/Columbia,1,1,1028744,2022-10-06
Independent,3,3,182600,2022-10-06
Indie,1,1,5412,2018-08-30
Integrity Music,1,1,37441,2020-04-16
Internet Money / 10K Projects,1,1,295022,2021-08-26
Internet Money Records/ TenThousand Projects,1,5,4326676,2022-04-21
Interscope,4,7,1262987,2022-01-06
Interscope / Friends Keep Secrets / Joytime Collective,1,1,71140,2021-02-18
Interscope Records,8,23,4756832,2022-10-06
Interscope Records*,1,7,9044977,2022-08-11
Island Records,6,21,7349507,2021-08-26
Island Records/Hollywood Records,1,1,13566,2020-02-06
Ivyson Entertainment,1,1,124071,2021-11-04
J Records,2,2,6754338,2022-10-06
J. Cole P&D,1,13,500324,2018-08-23
J. Cole/ DreamVille,1,1,13398,2018-09-06
J/Republic,1,2,56442,2018-07-19
JOZI ENTERTAINMENT,1,1,1221449,2021-10-14
JVKE,1,1,87620,2022-10-06
Jay O Records,1,1,197363,2022-10-06
JazziDisciples ENT,2,3,213029,2020-05-14
Jeremy Loops,1,11,93070,2018-06-14
Jive,3,3,2793616,2022-10-06
Jnr Choi/Epic,1,1,367330,2022-04-07
Jonas Brothers,1,1,13626,2019-12-26
Jonas Brothers Recording,1,3,2201005,2020-10-22
Joyner Lucas,1,1,8719,2019-05-09
Joytime Collective,1,4,528873,2021-03-11
Joytime Collective/Columbia,1,1,18916,2018-05-31
Joytime Collective/RCA Records,1,2,1196790,2022-10-06
Joytime Collective/RCA Records/Effective Records,1,1,17530,2020-10-29
Jozi Entertainment,2,2,511822,2021-10-28
Juice WRLD / Interscope PS,1,1,28594,2019-12-19
Juice WRLD Mixtape / ISR P&D,1,5,6559701,2022-10-06
Justin Bieber 2021 PS/ Def Jam,1,1,67528,2022-05-12
KIDinaKORNER/Interscope Records,1,4,2316206,2022-07-07
KORATORI,1,1,37911,2022-09-29
KOTIN RECORDS,1,1,87218,2020-03-05
KSR/Atlantic,1,2,10874,2018-04-05
Kamo Mphela Entertainment,1,4,1030676,2022-07-14
Kaofela Re Mapantsula,1,1,30406,2022-02-17
Keep Cool/RCA Records,3,6,1215609,2022-06-09
Kelvin Momo Productions,1,9,1109081,2022-09-29
Kemosabe / RCA Records / Last Kings Music / EMPIRE,1,1,155379,2022-03-31
Kemosabe Records/RCA Records,1,19,18345148,2022-10-06
KeyQaad,1,10,415953,2022-09-29
Keys Records,1,4,5642585,2022-10-06
Kid Ina Korner / Interscope,1,10,4475700,2022-10-06
Kiff Records,1,1,8421,2019-08-29
Kreativekornerr,1,2,2779825,2022-10-06
Kygo,1,13,5382721,2022-01-06
Kygo/RCA Records,1,4,1115334,2022-09-15
L-M Records/RCA Records,1,4,1078080,2022-10-06
LB Recordings,1,2,45749,2022-02-10
LESROSESROUGE ENTERTAINMENT,1,1,27411,2022-09-29
LMW Enteaiments,1,2,53017,2022-05-19
LVRN Records,2,15,2083011,2022-09-29
LVRN/Interscope Records,2,46,5176839,2022-10-06
Lady Du Entertainment,1,1,68889,2022-03-31
Last Kings Music / EMPIRE,1,6,1136585,2022-08-25
Lauv,1,14,5303678,2021-04-22
Lava Music/Republic Records,1,1,4025,2018-08-16
Leading Vibe Ltd,1,3,1276265,2022-10-06
"Leah Kate, under exclusive license to 10K Projects / MDDN",1,1,79866,2022-05-19
Left Lane Recordings,1,1,5533,2018-05-10
Legacy Recordings,5,5,330908,2021-12-30
"Legendbound, LLC / Def Jam Recordings",1,1,429179,2022-10-06
Leola LLC,1,1,227657,2022-09-15
Limoblaze Music,1,1,27116,2022-09-29
Live Rich Entertainment,1,1,642586,2021-05-20
Living Legends Entertainment,1,1,28033,2021-10-14
Locomotion Recordings/Geffen Records,1,1,83474,2019-04-11
Login Records,1,1,18064,2022-09-29
"Lord’s Child, LLC",1,1,80232,2022-09-29
Lost Kids,1,5,453143,2022-10-06
"Lost Kids LLC., Marketed by Venice / Stem",1,19,1657807,2022-10-06
Lost kids,1,1,224975,2021-08-19
Louis The Child / Interscope,1,1,37809,2018-08-02
Luna Rising Music,1,1,80277,2018-08-16
Luxury SA Entertainment,1,1,484082,2022-10-06
M2N Services,1,1,160414,2022-10-06
M4 Entertainment,1,21,4491515,2022-09-29
MAU Records,1,1,88615,2020-01-02
MBK Entertainment/RCA Records,2,6,3532886,2022-10-06
MCA Nashville,1,1,358851,2021-12-30
MER Recordings,1,6,690072,2020-03-05
MMG/Atlantic,1,8,1320147,2021-10-14
MMG/Warner Records,1,2,71542,2019-11-28
MODANA ENTERTAINMENT,1,1,78019,2019-01-10
MSFTSMusic / Roc Nation Records,1,5,45428,2019-07-11
"MSFTSMusic / Roc Nation Records, LLC",3,6,1333087,2022-03-17
MYAIRPLAY,1,1,19609,2022-09-29
Mabala Noise Entertainment,1,1,32585,2022-03-03
Machine Entertainment Group - G Herbo,1,1,11159,2020-04-30
Machine Shop/Warner Records,1,1,17457,2018-05-03
Mad Decent,1,1,68652,2022-10-06
Mad Love/Interscope Records,1,7,219082,2020-06-18
Majesty Music Entertainment,1,1,15868,2020-11-26
Major League Music,1,1,24137,2020-03-26
Major League Music Under Exclusive License to emPawa Africa Limited,1,1,1860205,2022-08-04
Major Tom's / Asylum,1,1,45580,2020-02-27
Marlian Music,2,7,245299,2022-09-29
"Marshmello ""Tongue Tied"" ft Yungblud & blackbear",1,1,67687,2019-12-12
Marshmello/Republic,1,1,1079365,2020-06-11
Mass Appeal,1,8,155178,2021-08-12
Mass Appeal / NAS,1,7,51723,2018-06-28
Masterworks,1,3,576598,2022-03-31
Matiwane Records (PTY) LTD,1,1,158719,2021-08-26
Matjita Ent/Amana ka! Music,1,1,168971,2021-05-06
Mavin Records,4,9,667311,2022-10-06
Mavin Records / Jonzing World,1,1,367121,2022-10-06
Mavin Records/Blowtime Ent,1,1,79123,2022-09-29
Mavin Records/Jonzing World,1,3,455144,2022-10-06
Maz Entertainment,1,1,26453,2022-02-17
Members Only / EMPIRE,1,1,15995,2019-02-07
Mercury Records/Republic Records,1,10,2518589,2022-10-06
Metallic Music/1789,1,1,600270,2022-10-06
Mguzuguzu Records,1,1,26596,2022-07-28
Mike WiLL Made-It,2,7,133580,2018-06-28
Milkshake,1,1,13838,2020-08-27
Ministry of Sound Recordings,3,8,4888386,2022-04-14
Mogul Vision/Interscope Records,1,3,2631106,2021-07-22
Mom+Pop,1,1,168765,2020-05-07
Monkey Puzzle Records/RCA Records,1,1,43861,2018-12-06
Monkey Puzzle/Atlantic,1,2,146032,2021-12-30
"Monster Mountain, LLC / Island",1,1,5745,2018-11-15
Monstercat,1,1,33247,2019-02-28
Moon Boy University / EMPIRE,1,1,30861,2022-09-22
"More Grace Entertainment, Distributed by Dvpper",1,1,25563,2022-09-29
Mosley / Interscope,1,2,187814,2022-04-21
Mosley Music/Interscope Records,1,6,2448431,2022-04-07
Mostiko,1,3,213637,2019-10-31
Motown Records,2,2,60943,2022-10-06
Music Aggregator,1,1,15603,2020-11-26
Music World Music/Columbia,1,1,322092,2022-01-20
Musical Freedom,1,1,209132,2022-10-06
Muskat,1,1,1025919,2022-04-14
Muthaland Entertainment,1,1,20660,2018-11-01
NEON16/Friends Keep Secrets/Interscope Records,1,1,232376,2019-06-13
NEVILLE RECORDS,2,2,52924,2022-09-29
"NEW MONEY GANG , PIANO HUB & JACQUEL ENTERTAINMENT GROUP",1,1,22671,2021-04-01
NF Real Music,1,12,1213511,2021-04-01
NINETY SEVEN,1,1,56365,2020-09-03
NITRON concepts,1,1,25700,2019-12-26
NITRON music,1,1,334736,2022-01-06
NTS,2,2,1336196,2022-02-10
Napalm Prod,1,1,34485,2022-09-29
Nazma,1,1,1320242,2022-10-06
Neighbourhood,1,6,768350,2022-10-06
New Money Gang,5,21,14302010,2022-05-12
New Money Gang Records,7,17,18585013,2022-10-06
New Wav Music Group / Island Prolific / EMPIRE,1,1,240709,2020-12-03
Nice Life/Atlantic,1,6,2839881,2022-10-06
Nicki Minaj/Cash Money,1,1,17109,2018-05-03
"Night Street Records, Inc./Warner Records Inc.",1,1,74229,2021-11-18
Nineleven Music,1,1,216087,2020-03-26
Nkabi Records,4,8,3387427,2022-10-06
No Love Entertainment,1,1,25906,2019-08-15
Not Fit For Society/RCA Records,1,1,1593946,2022-10-06
Not specified,4,4,835988,2021-11-04
Nvak Collective,1,1,80384,2022-07-28
OVO,2,65,36343801,2022-10-06
OVO Sound/Warner Records,8,22,2670483,2021-09-09
OVO/We The Best/Epic,1,2,3077780,2021-04-29
OWSLA/Atlantic,1,1,49313,2021-09-02
Olivia Rodrigo PS,1,11,12918218,2022-09-22
One Umbrella Records,1,2,103293,2022-10-06
Open Mic Productions,11,36,8916224,2022-10-06
Otarel Music,1,1,23719,2022-01-27
OtherSide Media Limited,1,1,17191,2022-09-29
Otto Dynamite/RCA Records,1,1,97303,2021-04-15
OuttaThisWorld,1,2,394092,2022-09-15
P2018,1,1,218427,2019-07-04
P2019,1,3,435358,2020-05-07
P2020,2,2,240870,2020-07-16
Palm Tree Records/RCA Records,1,1,401214,2019-10-24
Parkwood Entertainment/Columbia,9,34,5158759,2022-10-06
Parkwood Entertainment/Roc Nation,1,2,92535,2018-09-20
Parlophone (France),1,9,808740,2019-07-18
Parlophone UK,6,10,4204781,2022-10-06
Party In Backyard,1,1,5829,2018-12-13
Paul McCartney Catalog,1,1,127551,2021-12-30
Penthauze / EMPIRE,1,1,18094,2022-09-29
Perfect Havoc / Asylum Records,1,1,915995,2021-11-04
Peruzzi,1,1,18659,2022-09-29
Petit Biscuit Music,1,1,2403,2018-04-19
Photo Finish Records,1,2,791478,2020-05-07
Piano Hub,4,39,26341978,2022-10-06
Piano Hub (PTY) LTD,1,17,3080041,2021-01-07
Piano Hub (Pty) Ltd,1,1,21869,2021-02-11
Platoon,6,13,2461589,2022-09-29
Play It Again Sam,1,1,107272,2018-11-01
Polydor Records,11,20,11257496,2022-10-06
Positiva,1,3,1569692,2020-02-13
Prime Hold Consult Black is Brown,2,2,4086670,2022-02-10
Producer Kitchen Concept,1,1,71138,2021-07-29
Pushkin and Springle,1,1,141693,2022-10-06
Quality Control Music,1,1,2046,2018-03-22
Quality Control Music (Caroline),1,1,59901,2022-10-06
"Quality Control Music, LLC",4,9,469825,2018-10-18
Quality Control Music/Alamo Records/Motown Records,1,2,151182,2021-07-22
Quality Control Music/Motown Records,6,40,2641626,2022-09-08
Quality Control Music/Motown Records/Capitol Records,4,9,147274,2019-02-21
"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,2,973494,2022-10-06
Quality Control/Motown Records,1,6,460075,2020-09-03
Question Everything/RCA Records,1,2,147136,2020-03-05
R1+0 CARTEL,1,1,2695955,2022-06-02
RAL,1,1,19964,2021-04-15
RARE Sound / Interscope / EMPIRE,1,1,49684,2020-03-26
RBMG/Def Jam,1,31,15240132,2022-10-06
RCA Camden,1,1,13147,2019-12-26
RCA Local,1,1,57805,2020-02-20
RCA Records Label,29,56,12903399,2022-09-15
RCA Records Label Nashville,2,2,955782,2020-11-26
RCA Victor,1,1,24683,2019-12-26
RCA/BMG Heritage,1,1,22469,2018-06-07
REVENGE CLUB RECORDS,2,14,512754,2022-09-22
RUBBERBVNDGANG,1,3,16785,2018-10-25
RUBBERBVNDGVNG,1,14,1008901,2021-09-16
Range Music/Capitol Records,1,1,438960,2022-10-06
Rare Breed Entertainment,1,1,206047,2020-12-17
Rebel Music PS,1,1,120252,2021-04-22
Records/Columbia,4,10,5514558,2022-04-21
Red Bull Records Inc. / Evgle LLC,1,1,392397,2021-11-18
Red Zone Entertainment / IDJ,1,2,537546,2022-09-29
Relentless Records,2,2,224315,2020-08-27
Republic Records,24,162,60834689,2022-10-06
Republic Records - Stray Kids,1,1,28318,2022-03-24
"Republic Records/Moon Projects, LLC.",1,1,311690,2022-04-28
Republic/Universal/FSF,1,1,75874,2018-08-02
Revenge Club Records,1,9,465315,2022-05-12
Rhino,2,3,207702,2021-12-30
Rhino/Elektra,2,2,2671798,2022-09-08
Rhino/Warner Records,2,2,522907,2022-03-10
Rich The Kid / (TDE/ISR PS),1,4,178453,2018-08-23
RichFish/Columbia,1,1,255747,2022-04-14
Riggins Recording Limited,1,1,56984,2019-11-07
"Right Hand Music Group, LLC/RCA Records",2,36,9324199,2022-09-29
Rii Collective,1,1,162517,2022-09-29
Riidiimacool,1,1,1102942,2022-10-06
Rimas Entertainment LLC,1,1,50304,2020-12-03
