main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Frank Ocean,Red Zone Entertainment, IDJ,"","","","","",7814927
Hozier,Rubyworks, Universal-Island Records Ltd,"","","","","",7718200
Cyfred,Cyfred holdings,"","","","","","",7713921
21 Savage,Slaughter Gang LLC,Epic Records,"","","","","",7708250
Casswell P,Wanitwa Mos Entertainment,"","","","","","",7682961
DoouShii,Sessions 55 (Pty) LTD,"","","","","","",7597596
Mellow & Sleazy,Mellow and Sleazy (Pty) Ltd,"","","","","","",7379019
Daliwonga,New Money Gang Records,"","","","","","",7305461
Focalistic,18 Area Holdings,"","","","","","",7234072
Alicia Keys,J Records,"","","","","","",7214803
Murumba Pitch,Murumba Pitch,"","","","","","",7191604
Miley Cyrus,Columbia,"","","","","","",7175346
Cassper Nyovest,Universal Music (Pty) Ltd.,"","","","","","",7152676
Msongi,Lushazi Projects & Management,"","","","","","",7074954
Mjolisi,3262181 Records DK,"","","","","","",6949939
Lost Frequencies,Epic Amsterdam,"","","","","","",6896904
Kendrick Lamar,Black Panther (TDE,DMG) PS,"","","","","",6871916
Imagine Dragons,Kid Ina Korner, Interscope,"","","","","",6863498
DaBaby,South Coast Music Group,Interscope Records,"","","","","",6834640
OneRepublic,Interscope Records,"","","","","","",6820952
Nomfundo Moh,Universal Music (Pty) Ltd.,"","","","","","",6682348
Tones And I,Elektra (NEK),"","","","","","",6537684
Shawn Mendes,Island Records,"","","","","","",6525231
Mzukulu,BAQAZILE ENTERTAINMENT,"","","","","","",6472783
DJ Tshegu,18 Area Holdings,"","","","","","",6458262
Brent Faiyaz,Lost Kids,"","","","","","",6411391
Sminofu,Maskandi Heavyweight, EMPIRE,"","","","","",6376498
Zee Nxumalo,Platoon,"","","","","","",6337836
Eminem,Shady,Aftermath,Interscope Records,"","","","",6335212
CowBoii,Mculo, EMPIRE,"","","","","",6321519
Post Malone,Mercury Records,Republic Records,"","","","","",6315223
Rema,Mavin Records, Jonzing World,"","","","","",6313462
XXXTENTACION,Bad Vibes Forever LLC,"","","","","","",6288942
Summer Walker,LVRN Records,"","","","","","",6288186
Fridayy,FRIDAYY PS, Def Jam,"","","","","",6285557
Musa Keys,Keys Records,"","","","","","",6230238
MaWhoo,MaWhoo Entertainment,"","","","","","",6160830
Artemas,Artemas,"","","","","","",6153682
Q Twins,Afrotainment,"","","","","","",6131428
Jordan Adetunji,300 Entertainment,"","","","","","",6096801
Elton John,EMI,"","","","","","",6069504
Shaunmusiq,Sound African Recordings,"","","","","","",5929950
Lil Durk,Alamo,"","","","","","",5906190
Blacko SA,BlackoSA,"","","","","","",5835329
WOODBLOCK DJS,Universal Music (Pty) Ltd.,"","","","","","",5813130
Mlindo The Vocalist,Sound African Recordings,"","","","","","",5784109
Soa Mattrix,Soa Music Group,"","","","","","",5727509
DJ Khaled,Epic,We The Best,"","","","","",5704754
KMAT,Matt Records, EMPIRE,"","","","","",5684293
Nasty C,Universal Music (Pty) Ltd.,"","","","","","",5624813
