main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Slade,1211 Group,"","","","","","",257814
Sanele Jama,Sanny Jama,"","","","","","",257490
Jain,Columbia,"","","","","","",257262
salem ilese,Homemade Projects LLC, TenThousand Projects,"","","","","",256035
Fivio Foreign,RichFish,Columbia,"","","","","",255747
Miss Pru DJ,Ambitiouz Entertainment,"","","","","","",254987
TNK,Piano Hub,"","","","","","",254753
KSI,Atlantic Records UK,"","","","","","",253714
Saint Bandz,Hybrid Music Collective,"","","","","","",253469
Sho Madjozi,Flourish and Multiply,"","","","","","",251381
Costa Titch,Titch Gang Records,"","","","","","",250591
Pushkin & Springle,Fyve,"","","","","","",250340
Black Sherif,Blacko Management, EMPIRE,"","","","","",249196
Calum Scott,Capitol Records (US1A),"","","","","","",247677
Chris Rea,Rhino,"","","","","","",246279
Coolkiid Da Vocalist,Content Connect Africa,"","","","","","",245906
Blaqnick & MasterBlaq,Blaqwav ENT.,"","","","","","",244370
Sayfar,SayFar PTY LTD,"","","","","","",244150
Taylor Swift,Big Machine Records LLC,"","","","","","",244015
Andy Grammer,S-Curve Records,"","","","","","",241581
Vedo,New Wav Music Group, Island Prolific, EMPIRE,"","","","",240709
Sonwabile,Sonwabile,"","","","","","",239729
Baby Keem,pgLang,Columbia,"","","","","",239661
NAV,Republic Records,"","","","","","",239262
Maggie Lindemann,300 Entertainment,"","","","","","",238102
Isaiah Rashad,Top Dawg Entertainment,Warner Records,"","","","","",238003
Ant Saunders,Arista Records,"","","","","","",236626
Superstar Pride,Superstar Pride,"","","","","","",236219
Enny Man Da Guitar,New Money Gang Records,"","","","","","",236095
Royal MusiQ,Sedi La Keba,"","","","","","",236041
BANNERS,Island Records,"","","","","","",233970
YNW Melly,P2020,"","","","","","",232880
benny blanco,NEON16,Friends Keep Secrets,Interscope Records,"","","","",232376
John Lennon,EMI Catalogue,"","","","","","",230864
One Direction,Syco Music,"","","","","","",230545
Intaba Yase Dubai,Ambitiouz Entertainment,"","","","","","",229782
Blueface,Fifth Amendment Entertainment,eOne Music,"","","","","",229769
Yeat,Field Trip Recordings,Capitol Records,"","","","","",229667
Surf Curse,Surf Curse,"","","","","","",229375
Azana,Bigcitydreams Records,"","","","","","",229266
A.W.O,BOATS ENT.,"","","","","","",227894
Black Eyed Peas,Epic,We The Best,"","","","","",227526
Ariana Grande,Silver Cloud,Charlie's Angels,"","","","","",227174
Lil Peep,Columbia,"","","","","","",226988
Smiley,OVO Sound,Warner Records,"","","","","",226961
Kodak Black,Atlantic,Sniper Gang,"","","","","",226744
Sha Sha,Sha Sha,"","","","","","",225810
Dr. Dre,Aftermath,"","","","","","",224881
DJ Big Sky,Content Connect Africa,"","","","","","",224477
Kodak Black,APG Inc â€“ FF10,"","","","","","",224412
Vetkuk,Universal Music (Pty) Ltd.,"","","","","","",224042
Asanda Mkhize,Asanda Mkhize,"","","","","","",223381
Dj Karri,Brave Boy Music,"","","","","","",223049
Leon Schuster,Roy Bulkin Music,"","","","","","",222511
Cyfred,Cyfred Records,"","","","","","",221710
Early B,Universal Music (Pty) Ltd.,"","","","","","",221301
YG Marley,YG Marley Music,Hitmaker Distro,"","","","","",221160
OneRepublic,Mosley, Interscope,"","","","","",220765
Natasha Bedingfield,Sony Music CG,"","","","","","",220624
USHER,mega,gamma.,"","","","","",220386
Inkos'yamagcokama,INKOS'YAMAGCOKAMA,"","","","","","",220350
21 Savage,OVO, Republic Records,"","","","","",219382
Tory Lanez,Mad Love,Interscope Records,"","","","","",219082
Lil Tecca,Galactic, Republic Records,"","","","","",218647
Luu Nineleven,Nineleven Music,"","","","","","",216087
DDG,Epic,"","","","","","",215633
Gaba Cannal,Theko Price,"","","","","","",215399
Stillaround,Early A.M,"","","","","","",215392
The Police,Polydor Records,"","","","","","",214102
Priddy Ugly,STAY LOW,"","","","","","",213907
Regi,Mostiko,"","","","","","",213637
lil Shordie Scott,SCMG, SCE, EMPIRE,"","","","",212781
TEEKS,Sony Music Entertainment,"","","","","","",212369
Pleasure Tsa Manyalo,Sound African Recordings,"","","","","","",209522
Jordin Sparks,19 Recordings,"","","","","","",208466
DJ Snake,DJ Snake Music Productions Limited,"","","","","","",207353
Zedd,Interscope Records,"","","","","","",206954
WILLOW,MSFTSMusic, Roc Nation Records LLC,"","","","","",206104
Jub Jub,Rare Breed Entertainment,"","","","","","",206047
JayO,The Flight Club Records,"","","","","","",205276
Sophie Ellis-Bextor,Polydor Records,"","","","","","",204757
Pushkin,Pushkin and Springle,"","","","","","",204161
Dlala Regal,Content Connect Africa,"","","","","","",203839
Chloe x Halle,Parkwood Entertainment,Columbia,"","","","","",203070
MfanaTouchLine,LeparaLaTipa,"","","","","","",202553
Mlindo The Vocalist,Piano Hub,"","","","","","",202160
ScHoolboy Q,Top Dawg Entertainment,Interscope Records,"","","","","",200793
G-Jealous,7416012 Records DK,"","","","","","",200367
JazziDisciples,JazziDisciples ENT,"","","","","","",200237
Frank Sinatra,Columbia,Legacy,"","","","","",197719
Frenzyoffixial,Jay O Records,"","","","","","",197363
Gigi Perez,Gigi Perez,"","","","","","",196420
HENNYBELIT,Hooch Entertainment Group,Hooch Events,"","","","","",196152
Kina,Columbia,"","","","","","",196083
Band Aid,EMI,"","","","","","",194903
Daniel Caesar,HV Recordings,"","","","","","",193332
Royal MusiQ,Kreativekornerr,"","","","","","",193012
Josiah De Disciple,De Disciple Records,"","","","","","",191362
Noah Cyrus,Records,Columbia,"","","","","",190271
DJ Maphorisa,Sound African Recordings,"","","","","","",189854
Paul McCartney,Paul McCartney Catalog,"","","","","","",188680
James Hype,Universal-Island Records Ltd.,"","","","","","",188002
Mariah the Scientist,One Umbrella,RCA Records,"","","","","",187523
Lil Baby,Quality Control Music LLC,"","","","","","",186612
Flipp Dinero,Cinematic,Epic,We The Best,"","","","",186543
Machine Gun Kelly,Bad Boy, Interscope,"","","","","",186220
Droomsindroom,WM South Africa,"","","","","","",185782
SmeezyOn The Beat,2179018 Records DK,"","","","","","",185463
Intimate Worshippers,Intimate Worshippers,"","","","","","",185176
Ne-Yo,Def Soul,"","","","","","",184025
Tai Verdes,Arista Records,"","","","","","",183570
Drake,OVO Sound,Warner Records,"","","","","",179682
Sexyy Red,gamma., Atlantic Records,"","","","","",179550
Melanie Martinez,Atlantic Records,"","","","","","",179316
Saweetie,ICY,Artistry Records,Warner Records,"","","","",179216
BLEU,OVO Sound,Warner Records,"","","","","",178728
Rich The Kid,Rich The Kid, (TDE,ISR PS),"","","","",178453
Appel,Universal Music (Pty) Ltd.,"","","","","","",178255
DJ Jaivane,Simnandi Records,"","","","","","",178112
Trippie Redd,1400 Entertainment Inc., 10K Projects,"","","","","",177577
Avril Lavigne,BMG Rights Management (US) LLC,"","","","","","",177185
Victony,The Plug Entertainment,"","","","","","",175866
Ciara,Beauty Marks Entertainment Inc., Chris Brown appears courtesy of Chris Brown Entertainment LLC,RCA Records a division of Sony Music Entertainment,"","","","",174975
Sleepy Hallow,Winners Circle Entertainment Inc, EMPIRE,"","","","","",174784
Miley Cyrus,Hollywood Records,"","","","","","",173954
Piano City,Piano City,"","","","","","",170736
Marvin Gaye,Columbia,Legacy,"","","","","",169203
Dj Karri,Sound African Recordings,"","","","","","",169127
Muzzy D Pilot,Matjita Ent,Amana ka! Music,"","","","","",168971
Ashe,Mom+Pop,"","","","","","",168765
Shekhinah,Columbia,"","","","","","",168397
DJ Tarico,VS Mobile,"","","","","","",165387
Elvirgo,2605875 Records DK,"","","","","","",165086
Yung Lean,YEAR0001,"","","","","","",164838
Panic! At The Disco,Decaydance,Fueled By Ramen,"","","","","",164807
TNS,RCA Records Label,"","","","","","",164519
Pushkin,Pushkin & Springle,"","","","","","",162292
Yumbs,YUMMY ENTERTAINMENT,"","","","","","",161670
Tory Lanez,Interscope Records,"","","","","","",161498
Ntencane,Content Connect Africa,"","","","","","",159729
Little Mix,Syco Music,"","","","","","",159566
Nat King Cole,CAPITOL CATALOG MKT (C92),"","","","","","",159125
Kabza De Small,Matiwane Records (PTY) LTD,"","","","","","",158719
Sofi Tukker,Ultra Records,"","","","","","",157323
GoldFish,RCA Records Label,"","","","","","",156093
Tyga,Kemosabe, RCA Records, Last Kings Music, EMPIRE,"","","",155379
Nas,Mass Appeal,"","","","","","",155178
Rick Ross,Epic,"","","","","","",155177
Seafret,Sweet Jane Recordings,"","","","","","",153615
Ed Sheeran,Atlantic Records,Asylum,"","","","","",153459
Emmy Meli,Disruptor Records,Arista Records,"","","","","",152877
Combo M,Independent,"","","","","","",152819
6LACK,LVRN,Interscope Records,"","","","","",152728
Richy Mitch & The Coal Miners,Richy Mitch & The Coal Miners,"","","","","","",152196
DJ Sumbody,RCA Records Label,"","","","","","",152190
Zahara,Universal Music (Pty) Ltd.,"","","","","","",152097
Lil Baby,Quality Control Music,Alamo Records,Motown Records,"","","","",151182
Mzux Maen,Ville Records,"","","","","","",150862
Loufi,Universal Music (Pty) Ltd.,"","","","","","",150739
Major Lazer,Third Pardee Records,"","","","","","",150596
Steve Lacy,Three Quarter,"","","","","","",149706
Bobby Helms,Universal Digital Enterprises,"","","","","","",148378
Djy Zan SA,2016098 Records DK,"","","","","","",147472
BROCKHAMPTON,Question Everything,RCA Records,"","","","","",147136
Headie One,Relentless Records,"","","","","","",147053
ThxSoMch,ThxSoMch,"","","","","","",146055
KIDS SEE GHOSTS,Getting Out Our Dreams Inc.,Def Jam Recordings,"","","","","",145352
Lana Del Rey,Polydor Records,"","","","","","",144815
Dj Coach,FBK Music,"","","","","","",144712
De Mthuda,Born In Soweto,"","","","","","",144629
James Arthur,Atlantic Records,"","","","","","",143989
Wendy Shay,Rufftown records,"","","","","","",143924
The Soil,Universal Music (Pty) Ltd.,"","","","","","",142654
Lil Pump,Warner Records,"","","","","","",142507
Jung Kook,Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,"","","","","","",142311
dvsn,OVO Sound,Warner Records,"","","","","",142263
Marshmello,Joytime Collective,Grade A Productions,Interscope Records,"","","","",141487
Boyz II Men,UNI,MOTOWN,"","","","","",141030
Isitha sama ex,3144991 Records DK,"","","","","","",140682
YNW Melly,300 Entertainment,"","","","","","",140423
Die Heuwels Fantasties,Supra Familias,"","","","","","",139689
Octavian,Black Butter,"","","","","","",138467
Tee Jay,Djs Production Pty Ltd,"","","","","","",138436
Train,Columbia,"","","","","","",137456
Shakes & Les,Kreative Kornerr,"","","","","","",135837
Ndlu Nkulu,Execution Lab,"","","","","","",135791
Burl Ives,Geffen,"","","","","","",135050
Classic Man SmF,Independent,"","","","","","",134931
PRVIS3,Strictly Music Concepts,"","","","","","",133635
Whitney Houston,Arista,Legacy,"","","","","",131891
031CHOPPA,031Choppa,"","","","","","",130740
Benny The Butcher,Griselda Records, EMPIRE,"","","","","",130698
Shakin' Stevens,Sony Music CG,"","","","","","",129978
Manqonqo,Ujuu Records,"","","","","","",129737
Travis Scott,Epic,Grand Hustle,Cactus Jack,"","","","",129692
CORPSE,CORPSE,"","","","","","",128738
Kris Kross Amsterdam,Spinnin' Records,"","","","","","",128110
Farruko,Sony Music Latin,"","","","","","",127615
Tony Dayimane,Big Boy Records Under Exclusive Licence To MODAR,"","","","","","",127252
Kanye West,Rock The World,IDJ,Kanye,LP6,"","","",127233
Skylar Grey,Shady Records,Interscope Records,"","","","","",126803
Morgan Wallen,Big Loud Records, Mercury Records, Republic Records,"","","","",126540
Stromae,Riot Games,"","","","","","",125775
DJ Cleo,WILL OF STEEL, NEXT MUSIC,"","","","","",125112
Baby S.O.N,L.O.V.E.,"","","","","","",124660
Eliza Rose,Warner Records,"","","","","","",124193
Audiomarc,Ivyson Entertainment,"","","","","","",124071
Russ,Columbia,"","","","","","",124011
Ice Spice,Heavy On It,10K Projects,Capitol Records,"","","","",123948
IShowSpeed,Warner Records,"","","","","","",123256
Madison Beer,Epic,Sing It Loud,"","","","","",123057
Major Lazer,Right Hand Music Group LLC,RCA Records,"","","","","",122828
Rae Sremmurd,Mike WiLL Made-It,"","","","","","",122822
KYLE,independently popular.,"","","","","","",121750
Ruger,Promised Land Recordings,"","","","","","",121144
Nemzzz,Nemzzz,"","","","","","",120988
Will Linley,Island Records,"","","","","","",120419
SpotemGottem,Rebel Music PS,"","","","","","",120252
Mfr Souls,Aurora Black,"","","","","","",120131
Cordae,Art@War,Atlantic Records,"","","","","",120121
Kvng Vinci,So Vinci,"","","","","","",120078
Bing Crosby,Geffen,"","","","","","",119799
NAV,XO Records, Republic Records,"","","","","",119632
The Chainsmokers,Sony Music Special Projects,"","","","","","",119132
Juanita du Plessis,JRECORDS,"","","","","","",118826
Scotts Maphuma,Scotts Maphuma,"","","","","","",118204
Labrinth,Republic Records,"","","","","","",117802
Omah Lay,KeyQaad,"","","","","","",117688
Lianie May,WM South Africa,"","","","","","",115011
Jason Derulo,Robots & Humans,"","","","","","",114458
Mduduzi,Nkabi Records,"","","","","","",114363
Officixl Megaohms,3054065 Records DK,"","","","","","",113818
ROSALA,Columbia,"","","","","","",112962
Lady Du,Lady Du Entertainment,"","","","","","",112701
Tyga,Columbia,Last Kings Records,"","","","","",112199
SHELOVESKAMO,Jozi Entertainment,"","","","","","",112017
Liam Payne,Capitol,"","","","","","",111276
$,YZY,"","","","","","",111082
Blaq Major,Quality time Records,"","","","","","",111046
Deejay Zebra SA,Independent,"","","","","","",110604
Josiah De Disciple,Universal Music (Pty) Ltd.,"","","","","","",110402
Leon Schuster,Warner Music Africa,"","","","","","",110394
Aya Msani,ONE FIFTY EMPIRE, gamma. Africa,"","","","","",108957
Pusha T,Getting Out Our Dreams Inc.,Def Jam Recordings,"","","","","",108691
The White Stripes,Legacy Recordings,"","","","","","",108091
Mandoza,EMI South Africa,"","","","","","",107963
Russ Millions,Atlantic Records UK,"","","","","","",107657
Nat King Cole,Capitol Records,"","","","","","",107296
a-ha,Rhino,"","","","","","",107239
Anne-Marie,Atlantic Records,Asylum,"","","","","",105852
Passenger,Black Crow Records,"","","","","","",105828
Future,Epic,Freebandz,A1,"","","","",105625
Kgaogelo Kekana,Good Shepherd Productions,"","","","","","",105540
Mas Musiq,Sound African Recordings,"","","","","","",105538
Vusinator,Universal Music (Pty) Ltd.,"","","","","","",105417
The Goo Goo Dolls,Warner Records,"","","","","","",105117
Njelic,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",105010
R3HAB,CYB3RPVNK,"","","","","","",104400
Gaullin,Columbia,B1 Recordings,"","","","","",104182
DaniLeigh,Def Jam Recordings,"","","","","","",103612
Duncan Daniels,Dunkishrock Production,"","","","","","",103526
Leehleza,Piano Hub,"","","","","","",103435
Blanco Brown,Broken Bow Records,"","","","","","",103289
XamaCcombo Wa Mhana Vafana,4604783 Records DK,"","","","","","",103279
Kordhell,Kordhell,"","","","","","",102958
Famous Dex,300 Entertainment,"","","","","","",102904
Nardo Wick,Not specified,"","","","","","",101346
Rich The Kid,Interscope Records,"","","","","","",101120
Joyner Lucas,Twenty Nine Music Group (Joyner Lucas),"","","","","","",100781
Sam Feldt,Spinnin' Records,"","","","","","",100429
Stixx,Stixx Music House,"","","","","","",100042
Mustard,BMG Rights Management (US) LLC,"","","","","","",98717
Nobuhle,Redbox Entertainment,"","","","","","",98488
The Killers,Island Records,"","","","","","",98321
Ricus Nel,WM South Africa,"","","","","","",98237
Sjava,Ambitiouz Entertainment,"","","","","","",97628
Blueface,eOne Urban,"","","","","","",97317
A$AP Rocky,A$AP Worldwide,RCA Records,"","","","","",97307
ElyOtto,Otto Dynamite,RCA Records,"","","","","",97303
Dlala Regal,Universal Music (Pty) Ltd.,"","","","","","",96735
Shandesh,LoudNoise Musiq,"","","","","","",96447
Pushkin RSA,Emazulwini Productions,"","","","","","",96436
Nia Pearl,New Money Gang Records,"","","","","","",96126
Popcaan,OVO Sound,"","","","","","",95807
Synth Peter,Select,"","","","","","",95525
Usimamane,Quxtarus,"","","","","","",94686
Quavo,Quality Control Music,Motown Records,Capitol Records,"","","","",94484
Lusanda Beja,Beja Music,"","","","","","",94107
Jeremy Loops,Jeremy Loops,"","","","","","",93070
Trinidad Cardona,Run It Up Records,Island,"","","","","",93006
Emotionz DJ,Sound African Recordings,"","","","","","",92886
Russ,DIEMON, Ed Sheeran appears courtesy of Asylum Records UK,"","","","","",92702
Cheat Codes,Syco Music,"","","","","","",92563
The Carters,Parkwood Entertainment,Roc Nation,"","","","","",92535
FATMAN,Universal Music (Pty) Ltd.,"","","","","","",92473
Dench,Piano Hub,"","","","","","",92445
Saint Bandz,vmg,Hybrid,"","","","","",91887
Young T & Bugsey,Black Butter,"","","","","","",91871
Moneoa,Bula Music,"","","","","","",91428
the King will come,the King will come,"","","","","","",90774
Francois van Coke,VCK Music,"","","","","","",90703
Blaqnick & MasterBlaq,OB Wave,"","","","","","",90605
Jaden,MSFTSMusic, Roc Nation Records LLC,"","","","","",90412
Saliwa,Indoni Music Production and Events,"","","","","","",90162
Zoocci Coke Dope,Steyn Entertainment,"","","","","","",89402
Mgarimbe,Mayhem Operations,"","","","","","",89293
Kabza De Small,AMP production record,"","","","","","",89210
Doja Cat,MAU Records,"","","","","","",88615
Spoegwolf,Spoegwolf (Pty) Ltd.,"","","","","","",88405
Bea Miller,Hollywood Records,"","","","","","",88184
Daniel Caesar,Republic Records,"","","","","","",87862
Snotkop,Select,"","","","","","",87630
Coolio,Tommy Boy Music LLC,"","","","","","",87561
Sithelo,KOTIN RECORDS,"","","","","","",87218
Ntokozo Ngongoma,YONDER MUSIC,"","","","","","",86918
LISA,Lloud Co.,RCA Records,"","","","","",86151
Mordecai,Rapture Music Group,"","","","","","",85147
Jason Derulo,Beluga Heights,Warner Records,"","","","","",84968
Swae Lee,Eardruma Records,Interscope Records,"","","","","",84914
Dixie,HITCO,"","","","","","",84700
Sexyy Red,Rebel,gamma.,"","","","","",84643
Ocean Biller,Open Mic Productions,"","","","","","",84565
Pink Sweat$,Atlantic Records,"","","","","","",84542
Blaq Major,QTR,"","","","","","",84507
ArrDee,Universal-Island Records Ltd.,"","","","","","",84083
French Montana,Epic,Bad Boy Entertainment,"","","","","",83898
Years & Years,Polydor Records,"","","","","","",83794
YUNGBLUD,Locomotion Recordings,Geffen Records,"","","","","",83474
kwn,Not specified,"","","","","","",83170
BLACKPINK,YG Entertainment distributed through Interscope Records,"","","","","","",82615
Bayanni,Mavin Records,"","","","","","",82465
SiR,Top Dawg Entertainment,RCA Records,"","","","","",82170
Zuko SA,Earthquake records,"","","","","","",81368
Rosa Linn,Nvak Collective,"","","","","","",80384
Pascal & Pearce,Luna Rising Music,"","","","","","",80277
Montell Fish,Lordâ€™s Child LLC,"","","","","","",80232
Alexander 23,Interscope Records,"","","","","","",80117
Leah Kate,Leah Kate under exclusive license to 10K Projects, MDDN,"","","","","",79866
Julia Michaels,Republic Records,"","","","","","",79801
Cat Burns,Since 93,"","","","","","",79704
Gesaffelstein,Columbia,"","","","","","",78614
Daddy Yankee,El Cartel Records (EC3),"","","","","","",78524
King Modana,MODANA ENTERTAINMENT,"","","","","","",78019
Snoh Aalegra,Artium Recordings LLC under exclusive license to Roc Nation Records LLC,"","","","","","",77850
Bok Van Blerk,WM South Africa,"","","","","","",77785
Yeat,TwizzyRich,"","","","","","",77722
Tom Walker,Relentless Records,"","","","","","",77262
Shane Eagle,Eagle Entertainment,"","","","","","",77250
AJ Ghent [ j-ent ],AJ Ghent [ j-ent ],"","","","","","",76849
Jay Rock,Black Panther (TDE,DMG) PS,"","","","","",76832
Bukzin Keyz,6172300 Records DK,"","","","","","",76474
Bebe Winans,Motown Records,"","","","","","",76458
Stakev,Piano Hub,"","","","","","",76102
Jessica Darrow,UMG Recordings Inc.,"","","","","","",76011
Hailee Steinfeld,Republic,Universal,FSF,"","","","",75874
Quality Control,Quality Control Music,Motown Records,"","","","","",75618
Future,OVO,"","","","","","",74891
Sexyy Red,Open Shift,gamma.,"","","","","",74779
Starley,Tinted Records,"","","","","","",74490
Dasha,VERSION III,"","","","","","",74002
Chase Atlantic,Warner Records,"","","","","","",73791
Amin,Republic Records,"","","","","","",73648
SZA,Columbia,"","","","","","",73399
Jay,WM South Africa,"","","","","","",73315
Bahubhe,Bahubhe Trading Enterprise,"","","","","","",73269
Kylie Minogue,Parlophone UK,"","","","","","",73180
Ski Mask The Slump God,Republic Records,"","","","","","",73135
The Jackson 5,UNI,MOTOWN,"","","","","",72113
Charlie Puth,Artist Partner,"","","","","","",71997
Wale,MMG,Warner Records,"","","","","",71542
Omit ST,STRXXTA WXRLD,"","","","","","",71309
benny blanco,Interscope, Friends Keep Secrets, Joytime Collective,"","","","",71140
Geato,Producer Kitchen Concept,"","","","","","",71138
Priddy Ugly,Steyn Entertainment,"","","","","","",71118
Bakar,Black Butter,"","","","","","",70948
Sun-El Musician,Under Da Sun,"","","","","","",70892
Clairo,FADER Label,"","","","","","",70699
INTERWORLD,INTERWORLD,"","","","","","",70681
James Arthur,Columbia Local,"","","","","","",70288
Flash Cortez,R-CitY Recodz,"","","","","","",69967
Brett Eldredge,Atlantic Nashville,"","","","","","",69548
Major Lazer,Mad Decent,"","","","","","",68652
Coi Leray,Republic Records,"","","","","","",68580
Yung Filly,Warner Records,"","","","","","",68299
Jax Jones,Polydor Records,"","","","","","",67795
Marshmello,"Marshmello ""Tongue Tied"" ft Yungblud & blackbear","","","","","","",67687
Justin Bieber,Justin Bieber 2021 PS, Def Jam,"","","","","",67528
Solange,Saint Records,Columbia,"","","","","",67408
Major League Djz,Major League Music,"","","","","","",67137
Kabza De Small,Platoon,"","","","","","",67119
Ashley O,RCA Records Label,"","","","","","",67099
Mac lopez,Goldproductions,"","","","","","",67038
Musa Keys,TAYO Projects,"","","","","","",66877
Playboi Carti,AWGE Label,"","","","","","",66610
Toby Franco,TAYO Projects, MODAR Music,"","","","","",66517
Pheelz,Rii Collective,"","","","","","",66152
Dladla Mshunqisi,Afrotainment,"","","","","","",66151
Johnny Clegg & Juluka,Scatterlings,"","","","","","",66143
Trippie Redd,TenThousand Projects LLC,"","","","","","",65505
Lindough,Content Connect Africa,"","","","","","",65197
Sofia Carson,Hollywood Records,"","","","","","",65022
DJ Cleo,Eskhaleni Music,"","","","","","",64982
Offset,Republic Records,"","","","","","",64124
Julia Michaels,UMG Recordings Inc.,"","","","","","",63962
FIFTY FIFTY,ATTRAKT,"","","","","","",63845
Martin Jensen,Virgin,"","","","","","",63554
Perry Como,RCA Records Label,"","","","","","",63357
Chance the Rapper,Chance the Rapper,"","","","","","",62878
Bas,Dreamville,Interscope Records,"","","","","",62340
Mashudu,Mashudu Mosoeu,"","","","","","",62018
Black Eyed Peas,Interscope,"","","","","","",61815
TBO,Farmhaus,"","","","","","",61503
Josiah De Disciple,De Disciple Tradings,"","","","","","",61394
Zan'Ten,Sound African Recordings,"","","","","","",61002
Stillaround,stillaround,"","","","","","",60740
QuayR Musiq,EntityDeep Media Agency,"","","","","","",60292
John Legend,Republic Records,"","","","","","",60290
Lebza TheVillain,VILLAIN MUSIQ, EMPIRE,"","","","","",60202
Maluma,Sony Music Latin,"","","","","","",59653
Maren Morris,Columbia Nashville,"","","","","","",59195
Abidoza,Doza Nation Entertainment,"","","","","","",59145
Mgarimbe,No Dout Records,"","","","","","",58835
Future,Epic,Freebandz,Grade A,Interscope,"","","",58819
OneRepublic,UMGRI Interscope,"","","","","","",58666
AVAION,RCA Local,"","","","","","",57805
KAROL G,TUSA - Karol G & Nicki Minaj,"","","","","","",57706
Lorde,Universal Music New Zealand Limited,"","","","","","",57359
Armani White,Armani White,"","","","","","",57263
WALK THE MOON,RCA Records Label,"","","","","","",57228
Nobantu Vilakazi,Ndlovukazi Entertainment,"","","","","","",57175
Dermot Kennedy,Riggins Recording Limited,"","","","","","",56984
Lil Tecca,Galactic Records,Lil Tecca,"","","","","",56613
Tebza De DJ,Tebza De DJ Music,"","","","","","",56488
Julia Michaels,J,Republic,"","","","","",56442
A-Reece,NINETY SEVEN,"","","","","","",56365
Rick Ross,Maybach Music Group under exclusive license to gamma.,"","","","","","",56205
Pexi-Tonic SA,Dream Chaser Music,"","","","","","",55866
Mankay & Choco Dynasty,Vatic Space,"","","","","","",55837
SALES,SALES,"","","","","","",55763
Boney M.,RCA Camden,"","","","","","",54193
Dj Melzi,Melzi Events,"","","","","","",54075
Ofenbach,Spinnin' Records,"","","","","","",53649
Tyler ICU,2023 Focus Clap Music Group,"","","","","","",53630
Zakwe,iTsotsi By Nature,"","","","","","",53564
Southside,Epic,"","","","","","",53451
Dj Boat,LMW Enteaiments,"","","","","","",53017
Oasis,Big Brother,"","","","","","",52950
Neon Dreams,Dreaming Out Loud Entertainment,"","","","","","",52673
Simmy,Columbia,"","","","","","",52522
H.E.R.,RCA Records Label,"","","","","","",52355
Social House,Silent Records, Social House,"","","","","",51861
Tyla Yaweh,Epic,London Ent.,"","","","","",51774
Nas,Mass Appeal, NAS,"","","","","",51723
V,BIGHIT MUSIC,"","","","","","",51356
Major Lazer,Major Lazer Records,"","","","","","",51292
DJ Tarico,Spaceship Records, Geobek Records,"","","","","",50969
Kanye West,Getting Out Our Dreams II LLC, Def Jam Recordings,"","","","","",50873
Don Toliver,Republic Records,"","","","","","",50818
Steve Aoki,Ultra Records,"","","","","","",50747
Senior Oat,LiftedSoul Entertainment,"","","","","","",50671
Bad Bunny,Rimas Entertainment LLC,"","","","","","",50304
Skweletu,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",49759
K CAMP,RARE Sound, Interscope, EMPIRE,"","","","",49684
Ciara,Ciara,"","","","","","",49605
Wiz Khalifa,Taylor Gang,Atlantic,"","","","","",49563
The Lowkeys,The Lowkeys 012 Records,"","","","","","",49371
Skrillex,OWSLA,Atlantic,"","","","","",49313
Alessia Cara,Def Jam Recordings,"","","","","","",49289
Troye Sivan,EMI Recorded Music Australia Pty Ltd,"","","","","","",48766
Sfarzo Rtee,Rethabile Setwaba,"","","","","","",48447
SZA,RCA Records Label,"","","","","","",48444
Mary J. Blige,Geffen*,"","","","","","",48225
DaBaby,South Coast Music, Interscope PS,"","","","","",48196
Lebza TheVillain,VILLAIN MUSIQ,"","","","","","",48138
Pop Smoke,Victor Victor Worldwide, Republic Records,"","","","","",47918
Money Man,Black Circle, EMPIRE,"","","","","",47610
Chuck Berry,Geffen*,"","","","","","",47562
Lil Tecca,Galactic Records,Republic Records,"","","","","",47501
The Walters,Warner Records,"","","","","","",46730
TNK MusiQ,Piano Hub,"","","","","","",46718
MKTO,Columbia,M2V,"","","","","",46705
Ari Lennox,Dreamville,Interscope Records,"","","","","",46611
Mthunzi,Universal Music (Pty) Ltd.,"","","","","","",46121
Ntosh Gazi,LB Recordings,"","","","","","",45749
WhoHeem,Arista Records,Columbia Records,"","","","","",45657
Anne-Marie,Major Tom's, Asylum,"","","","","",45580
JIN,BIGHIT MUSIC,"","","","","","",45501
Jaden,MSFTSMusic, Roc Nation Records,"","","","","",45428
Belly,XO | Roc Nation Records LLC,"","","","","","",45242
RM,BIGHIT MUSIC,"","","","","","",44923
Rainbow Kitten Surprise,Elektra (NEK),"","","","","","",44829
OSKIDO,Universal Music (Pty) Ltd.,"","","","","","",44487
Eagles,Rhino,Elektra,"","","","","",44385
Peta Teanet,The CCP Record Company (Pty) Limited,"","","","","","",44359
Dee Koala,Dee Koala (Pty) Ltd.,"","","","","","",44072
Sia,Monkey Puzzle Records,RCA Records,"","","","","",43861
Gryffin,Darkroom,"","","","","","",43854
A$AP Ferg,A$AP Worldwide,Polo Grounds Music,RCA Records,"","","","",43515
benny blanco,Friends Keep Secrets under exclusive license to Interscope Records,"","","","","","",43505
Kevboii,Beeskraal Cowpunk,"","","","","","",42884
Baby Tate,Yung Baby Tate,"","","","","","",42665
Prince Benza,Open Mic Productions,"","","","","","",42223
