original_name,match_name,score,match_index
cactu jack atlant,cactu jack atlant,100.0,17161
we run it entcactu jackatlant,we run it entcactu jackatlant,100.0,17162
session 55 pti,session 55 pti,100.0,17280
disruptor recordscolumbia,disruptor recordscolumbia,100.0,17312
3174598 record dk,3174598 record dk,100.0,17332
aftermathinterscop record,aftermathinterscop record,100.0,17355
ovo,ovo,100.0,17375
ovorepubl,ovorepubl,100.0,17377
cash moneydrak lp6,cash moneydrak lp6,100.0,17384
ovo sound,ovo sound,100.0,17414
cash money recordsyoung money entunivers rec,cash money recordsyoung money entunivers rec,100.0,17638
ovorepubl record,ovorepubl record,100.0,18977
side hustl,side hustl,100.0,19544
dunkishrock product,dunkishrock product,100.0,20013
univers music a divis of univers intern music,univers music a divis of univers intern music,100.0,20014
columbiab1 record,columbiab1 record,100.0,20041
esk musiq,esk musiq,100.0,20149
rhinoelektra,rhinoelektra,100.0,20163
decca umo,decca umo,100.0,20667
eduardoluzquinos2021,eduardoluzquinos2021,100.0,21333
elev worship record,elev worship record,100.0,21615
verv reissu,verv reissu,100.0,21657
10 summer interscop p,10 summer interscop p,100.0,21658
10 summersinterscop record,10 summersinterscop record,100.0,21684
not fit for societyrca record,not fit for societyrca record,100.0,21742
umc univers music catalogu,umc univers music catalogu,100.0,22141
gallo record compani,gallo record compani,100.0,22142
2605875 record dk,2605875 record dk,100.0,22155
rca victor,rca victor,100.0,22157
otto dynamiterca record,otto dynamiterca record,100.0,22159
republ recordsmoon project,republ recordsmoon project,100.0,22164
shadyaftermathinterscop record,shadyaftermathinterscop record,100.0,22202
disruptor recordsarista record,disruptor recordsarista record,100.0,22625
emte record empir,emte record empir,100.0,22634
emte record,emte record,100.0,22636
1501 certifi entwarn record,1501 certifi entwarn record,100.0,22671
wm korea,wm korea,100.0,22686
attrakt,attrakt,100.0,22692
bahdguy entertain,bahdguy entertain,100.0,22842
soni music latin,soni music latin,100.0,23126
sginci medium durban base,sginci medium durban base,100.0,23357
sginci medium,sginci medium,100.0,23366
ybnl nation empir,ybnl nation empir,100.0,23400
richfishcolumbia,richfishcolumbia,100.0,23464
rciti recodz,rciti recodz,100.0,23472
rhinowarn record,rhinowarn record,100.0,23473
cinematicepicw the best,cinematicepicw the best,100.0,23493
94 soundsrca record,94 soundsrca record,100.0,23516
vth season18 area hold,vth season18 area hold,100.0,23590
major leagu music,major leagu music,100.0,23657
machin shopwarn record,machin shopwarn record,100.0,23699
not specifi,not specifi,100.0,23709
vck music,vck music,100.0,23722
globe field,globe field,100.0,23730
blond,blond,100.0,23731
red zone entertain idj,red zone entertain idj,100.0,23733
boy do nt cri,boy do nt cri,100.0,23752
doomshop recordsrca record,doomshop recordsrca record,100.0,23952
bad boy entertainmentep record,bad boy entertainmentep record,100.0,23990
epicbad boy entertain,epicbad boy entertain,100.0,24055
jay o record,jay o record,100.0,24060
fridayi def jam,fridayi def jam,100.0,24067
epicfreebandz,epicfreebandz,100.0,24129
wilburn hold coboominatiepicrepubl,wilburn hold coboominatiepicrepubl,100.0,24130
gener nowatlant,gener nowatlant,100.0,24149
epicfreebandzgrad ainterscop,epicfreebandzgrad ainterscop,100.0,24153
wilburn hold coep,wilburn hold coep,100.0,24180
epicfreebandza1,epicfreebandza1,100.0,24302
machin entertain group g herbo,machin entertain group g herbo,100.0,24528
bpgrvgrca record,bpgrvgrca record,100.0,24529
7416012 record dk,7416012 record dk,100.0,24577
honesti save timerca record,honesti save timerca record,100.0,24579
atlanticarthous record,atlanticarthous record,100.0,24580
epicnot so fast,epicnot so fast,100.0,24613
gaba cannal music,gaba cannal music,100.0,24631
theko price,theko price,100.0,24634
spinnin record,spinnin record,100.0,24680
produc kitchen concept,produc kitchen concept,100.0,24785
music aggreg,music aggreg,100.0,24788
