main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Alicia Keys,If I Ain't Got You,8,9,178,167,191,10,43431,1,0,-13,49670,76871.0,166423.0,83211.5,70.0,2.0,22.0,12681.0,1.3142857142857143,1.1649646810890972,1
Alicia Keys,If I Ain't Got You,9,10,200,167,-1,11,46530,1,0,22,49670,67508.0,434485.0,86897.0,40.0,5.0,42.0,46713.0,2.05,1.6919624340818866,1
Alicia Keys,If I Ain't Got You,10,12,197,167,200,12,49670,1,0,-3,49670,58986.0,368600.0,61433.333333333336,95.0,6.0,39.0,6244.0,1.4105263157894736,1.105855626758892,1
Appel,Foute,5,43,160,102,130,7,51288,1,0,30,54793,46402.0,301595.0,50265.833333333336,145.0,6.0,32.0,7639.0,1.2206896551724138,1.1646265247187622,1
Appel,Foute,6,44,158,102,160,8,48032,1,0,-2,54793,69741.0,441776.0,73629.33333333333,68.0,6.0,28.0,7615.0,1.411764705882353,1.1091897162357867,1
Appel,Foute,7,45,118,102,158,9,53839,1,0,-40,54793,67405.0,67405.0,67405.0,112.0,1.0,0.0,0.0,1.0,1.0,1
Appel,Foute,8,46,186,102,118,10,44674,1,0,68,54793,55094.0,344944.0,57490.666666666664,114.0,6.0,22.0,6807.0,1.1929824561403508,1.1235524739536065,1
Appel,Foute,9,47,178,102,186,11,49456,1,0,-8,54793,68496.0,436192.0,72698.66666666667,67.0,6.0,37.0,11470.0,1.5522388059701493,1.167455033870591,1
Appel,Foute,10,48,163,102,178,12,54793,1,0,-15,54793,71645.0,454539.0,75756.5,62.0,6.0,40.0,12804.0,1.6451612903225807,1.1787144950799078,1
Arctic Monkeys,I Wanna Be Yours,9,12,192,159,-1,10,44280,1,0,1,44280,60101.0,384520.0,64086.666666666664,93.0,6.0,22.0,8628.0,1.2365591397849462,1.1435583434551837,1
Asanda Mkhize,Buya Ekhaya Bakulindile,1,1,199,161,-1,2,43174,1,0,38,51686,45671.0,241900.0,48380.0,148.0,5.0,44.0,5699.0,1.2972972972972974,1.1247837796413478,1
Asanda Mkhize,Buya Ekhaya Bakulindile,2,2,181,161,-1,3,51686,1,0,-18,51686,68369.0,141993.0,70996.5,97.0,2.0,10.0,5255.0,1.1030927835051547,1.0768623206423964,1
Aymos,Fatela,31,95,24,3,24,33,138615,1,1,0,138615,49951.0,305753.0,50958.833333333336,135.0,6.0,48.0,2489.0,1.3555555555555556,1.0498288322556104,3
Aymos,Fatela,32,96,24,3,24,34,120511,1,1,0,138615,43889.0,188193.0,47048.25,176.0,4.0,20.0,6910.0,1.1136363636363635,1.1574426393857231,3
Aymos,Fatela,33,97,27,3,24,35,111910,1,1,3,138615,90173.0,516025.0,103205.0,32.0,5.0,20.0,22504.0,1.625,1.249564725583046,3
Aymos,Fatela,34,98,32,3,27,36,104713,1,1,5,138615,54346.0,353374.0,58895.666666666664,100.0,6.0,38.0,9230.0,1.38,1.16983770654694,3
Aymos,Fatela,35,99,50,3,32,37,109496,1,1,18,138615,42448.0,145173.0,48391.0,143.0,3.0,48.0,11150.0,1.3356643356643356,1.2626743309460988,3
Aymos,Fatela,36,100,32,3,50,38,123222,1,1,-18,138615,43884.0,43884.0,43884.0,192.0,1.0,0.0,0.0,1.0,1.0,3
Ayra Starr,Rush,38,38,27,7,27,40,135081,1,1,0,135081,87070.0,573249.0,95541.5,43.0,6.0,22.0,16668.0,1.5116279069767442,1.19143218100379,3
Ayra Starr,Rush,39,39,25,7,27,41,119747,1,1,-2,135081,91005.0,643130.0,107188.33333333333,30.0,6.0,31.0,37025.0,2.033333333333333,1.4068457777045218,3
Ayra Starr,Rush,40,40,25,7,25,42,112469,1,1,0,135081,67039.0,437684.0,72947.33333333333,68.0,6.0,25.0,15915.0,1.3676470588235294,1.2373991258819492,3
Ayra Starr,Rush,41,41,28,7,25,43,109940,1,1,3,135081,100732.0,624990.0,104165.0,33.0,6.0,20.0,7091.0,1.606060606060606,1.0703947107175475,3
Ayra Starr,Rush,42,42,48,7,28,44,112005,1,1,20,135081,44668.0,283720.0,47286.666666666664,159.0,6.0,35.0,5403.0,1.220125786163522,1.1209590758484822,3
Ayra Starr,Rush,43,43,38,7,48,45,115714,1,1,-10,135081,47191.0,47191.0,47191.0,194.0,1.0,0.0,0.0,1.0,1.0,3
Baby Keem,family ties (with Kendrick Lamar),51,84,175,15,168,53,49657,1,0,7,49657,55992.0,350293.0,58382.166666666664,104.0,6.0,38.0,7903.0,1.3653846153846154,1.1411451635947993,1
Baby Keem,family ties (with Kendrick Lamar),52,85,185,15,175,54,44220,1,0,10,49657,50323.0,323941.0,53990.166666666664,126.0,6.0,22.0,12935.0,1.1746031746031746,1.2570395246706279,1
Baby Keem,family ties (with Kendrick Lamar),53,86,179,15,185,55,43206,1,0,-6,49657,224672.0,1553079.0,258846.5,5.0,6.0,4.0,47046.0,1.8,1.2093985899444524,1
Baby Keem,family ties (with Kendrick Lamar),54,87,177,15,179,56,45564,1,0,-2,49657,42296.0,176496.0,44124.0,189.0,4.0,10.0,3757.0,1.052910052910053,1.0888263665594855,1
Barto,H2O,23,52,196,92,196,24,46549,1,0,0,52331,64114.0,406542.0,67757.0,78.0,6.0,36.0,9433.0,1.4615384615384615,1.1471285522662757,1
Barto,H2O,24,54,195,92,196,25,43614,1,0,-1,52331,46787.0,260358.0,52071.6,105.0,5.0,94.0,17716.0,1.8952380952380952,1.378652189710817,1
Barto,H2O,25,56,158,92,195,26,46885,1,0,-37,52331,89568.0,182524.0,91262.0,64.0,2.0,9.0,3388.0,1.140625,1.037826009289032,1
Barto,H2O,26,58,172,92,158,27,46116,1,0,14,52331,62970.0,405658.0,67609.66666666667,72.0,6.0,49.0,12046.0,1.6805555555555556,1.1912974432269334,1
Barto,H2O,27,60,189,92,172,28,47876,1,0,17,52331,44784.0,188209.0,47052.25,152.0,4.0,30.0,7323.0,1.1973684210526316,1.1635182207931405,1
Barto,H2O,28,62,178,92,189,29,52331,1,0,-11,52331,43477.0,242877.0,48575.4,120.0,5.0,78.0,10117.0,1.65,1.2326977482346988,1
Barto,Impulsief,28,51,150,92,152,30,52170,1,0,-2,56851,68426.0,460939.0,76823.16666666667,61.0,6.0,25.0,17722.0,1.4098360655737705,1.2589951188144857,1
Barto,Impulsief,29,53,152,92,150,31,48757,1,0,2,56851,130137.0,870333.0,145055.5,15.0,6.0,17.0,42115.0,2.1333333333333333,1.3236204922504744,1
Barto,Impulsief,30,55,130,92,152,32,51084,1,0,-22,56851,48384.0,277744.0,55548.8,104.0,5.0,82.0,15728.0,1.7884615384615385,1.3250661375661377,1
Barto,Impulsief,31,57,147,92,130,33,49581,1,0,17,56851,57095.0,361223.0,60203.833333333336,101.0,6.0,34.0,7327.0,1.3366336633663367,1.1283299763551975,1
Barto,Impulsief,32,59,151,92,147,34,53178,1,0,4,56851,56030.0,358306.0,59717.666666666664,99.0,6.0,37.0,10296.0,1.3737373737373737,1.1837587006960557,1
Barto,Impulsief,33,61,151,92,151,35,56851,1,0,0,56851,88719.0,573855.0,95642.5,43.0,6.0,24.0,14239.0,1.558139534883721,1.160495497018677,1
Big Nuz,Ngeke,30,30,107,1,114,32,64195,1,1,-7,64195,57633.0,372966.0,62161.0,98.0,6.0,21.0,8583.0,1.2142857142857142,1.1489250949976575,1
Big Nuz,Ngeke,31,31,125,1,107,33,53193,1,1,18,64195,43705.0,43705.0,43705.0,197.0,1.0,0.0,0.0,1.0,1.0,1
Big Nuz,Ngeke,32,32,153,1,125,34,47992,1,1,28,64195,41892.0,135414.0,45138.0,177.0,3.0,18.0,6375.0,1.1016949152542372,1.1521770266399312,1
Big Nuz,Ngeke,33,33,129,1,153,35,51773,1,1,-24,64195,45950.0,98082.0,49041.0,151.0,2.0,23.0,6182.0,1.1523178807947019,1.1345375408052232,1
Big Nuz,Ngeke,34,34,168,1,129,36,50371,1,1,39,64195,48744.0,305340.0,50890.0,137.0,6.0,30.0,5509.0,1.218978102189781,1.113019038240604,1
Big Nuz,Ngeke,35,35,168,1,168,37,53928,1,1,0,64195,60993.0,383300.0,63883.333333333336,89.0,6.0,37.0,4923.0,1.4157303370786516,1.080714180315774,1
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",1,1056,27,27,48,2,110340,1,0,-21,155073,141422.0,468449.0,156149.66666666666,14.0,3.0,12.0,30494.0,1.8571428571428572,1.2156241603145197,1
