main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams
A-Reece,DREAMS,46499,46499,46499,46499.0,66,1,0,0,1.0,1.0
A-Reece,FRIEDay The 13th,31571,31571,31571,31571.0,105,1,0,0,1.0,1.0
A-Reece,First Time 4 Everything,29556,29556,29556,29556.0,133,1,0,0,1.0,1.0
A-Reece,For My Sanity,52826,30063,118467,39489.0,36,3,82,22763,3.2777777777777777,1.7571765958154542
A-Reece,HIBACHI,64915,22034,86949,43474.5,19,2,109,42881,6.7368421052631575,2.946128710175184
A-Reece,Holding Hands,5676,5676,5676,5676.0,164,1,0,0,1.0,1.0
A-Reece,Intentions Interlude,31959,31959,31959,31959.0,102,1,0,0,1.0,1.0
A-Reece,JIMMY'S INTERLUDE,55602,18303,73905,36952.5,27,2,166,37299,7.148148148148148,3.037862645467956
A-Reece,Karma,5770,5770,5770,5770.0,162,1,0,0,1.0,1.0
A-Reece,Live Once Interlude,33550,33550,33550,33550.0,91,1,0,0,1.0,1.0
A-Reece,MARK 15:35,63960,20813,84773,42386.5,20,2,131,43147,7.55,3.0730793254216113
A-Reece,MORNING PEACE,45217,30783,76000,38000.0,46,2,13,14434,1.2826086956521738,1.4688951694116883
A-Reece,More Than Enough,38636,38636,38636,38636.0,67,1,0,0,1.0,1.0
A-Reece,NIGHTMARE ON BRYANSTON DR - Freestyle,51553,51553,51553,51553.0,34,1,0,0,1.0,1.0
A-Reece,NO MAN'S LAND,53037,53037,53037,53037.0,31,1,0,0,1.0,1.0
A-Reece,OVER ME,42762,42762,42762,42762.0,54,1,0,0,1.0,1.0
A-Reece,RE$IDUAL SELF-IMAGE,43939,43939,43939,43939.0,49,1,0,0,1.0,1.0
A-Reece,Re$idual $Elf Image,24085,14589,56365,18788.333333333332,63,3,125,9496,2.984126984126984,1.650901364041401
A-Reece,Red Dragon,49917,30453,80370,40185.0,43,2,84,19464,2.953488372093023,1.6391488523298197
A-Reece,THE 5 YEAR PLAN,66473,17899,264960,33120.0,6,8,177,48574,30.5,3.7137828928990446
A-Reece,THE SAME THING,61121,19927,81048,40524.0,22,2,142,41194,7.454545454545454,3.0672454458774525
A-Reece,Take Care of Your Heart,5339,5339,5339,5339.0,182,1,0,0,1.0,1.0
A-Reece,automatiC,31767,31767,31767,31767.0,128,1,0,0,1.0,1.0
A-Reece,bilL russelL,36863,36863,36863,36863.0,85,1,0,0,1.0,1.0
A-Reece,blvcK kidZ,37098,37098,37098,37098.0,84,1,0,0,1.0,1.0
A-Reece,drivE sloW,36089,36089,36089,36089.0,89,1,0,0,1.0,1.0
A-Reece,indooR interludE,28755,28755,28755,28755.0,152,1,0,0,1.0,1.0
A-Reece,morE thaN a nighT,35215,35215,35215,35215.0,99,1,0,0,1.0,1.0
A-Reece,ouT oF reacH,35600,35600,35600,35600.0,94,1,0,0,1.0,1.0
A-Reece,ridiculouS,37498,32819,70317,35158.5,88,2,29,4679,1.3295454545454546,1.142569852829154
A-Reece,thE confrontatioN,43800,43800,43800,43800.0,55,1,0,0,1.0,1.0
A-Reece,thE whitE lighT,46843,46843,46843,46843.0,42,1,0,0,1.0,1.0
A-Reece,tufF lucK,35534,35534,35534,35534.0,95,1,0,0,1.0,1.0
AC/DC,Back In Black,2177,2177,2177,2177.0,177,1,0,0,1.0,1.0
ACRAZE,Do It To It,67818,24675,1303541,44949.68965517241,26,29,152,43143,6.846153846153846,2.748449848024316
AJR,Sober Up (feat. Rivers Cuomo),3201,2104,10153,2538.25,100,4,96,1097,1.96,1.5213878326996197
AKA,Amen,8092,3367,22989,5747.25,49,4,133,4725,3.7142857142857144,2.4033264033264032
AKA,Beyonce,13003,3731,21841,7280.333333333333,20,3,128,9272,7.4,3.485124631466095
AKA,Casino,31995,24961,56956,28478.0,47,2,24,7034,1.5106382978723405,1.2817996073875246
AKA,Cross my Heart,13772,13772,13772,13772.0,153,1,0,0,1.0,1.0
AKA,Daddy Issues ll,4261,4261,4261,4261.0,138,1,0,0,1.0,1.0
AKA,Energy (feat. Gemini Major),23408,15543,71322,17830.5,85,4,112,7865,2.3176470588235296,1.5060155697098372
AKA,F.R.E.E (feat. Riky Rick & DJ Tira),10052,10052,10052,10052.0,179,1,0,0,1.0,1.0
AKA,Fela In Versace,14426,3932,378728,9710.97435897436,35,39,157,10494,5.485714285714286,3.6688708036622586
AKA,Finessin',19963,19963,19963,19963.0,111,1,0,0,1.0,1.0
AKA,Fully In,8268,8268,8268,8268.0,43,1,0,0,1.0,1.0
AKA,Heavy Drank (feat. K.O),23965,23965,23965,23965.0,80,1,0,0,1.0,1.0
AKA,Jika,8151,5947,36334,7266.8,81,5,116,2204,2.432098765432099,1.3706070287539935
AKA,Lemons (Lemonade),190365,164534,354899,177449.5,2,2,3,25831,2.5,1.156994906827768
AKA,Magriza,6127,6127,6127,6127.0,72,1,0,0,1.0,1.0
AKA,Main Ou's,20458,11561,32019,16009.5,50,2,93,8897,2.86,1.7695701063921807
AKA,Me and You,4378,4378,4378,4378.0,133,1,0,0,1.0,1.0
AKA,Mufasa,16450,16450,16450,16450.0,183,1,0,0,1.0,1.0
AKA,Reset,7060,7060,7060,7060.0,59,1,0,0,1.0,1.0
AKA,StarSigns,2537,2066,9134,2283.5,148,4,47,471,1.3175675675675675,1.2279767666989352
AKA,Starsigns,4421,4421,4421,4421.0,128,1,0,0,1.0,1.0
AKA,Sweet Fire,4997,4997,4997,4997.0,108,1,0,0,1.0,1.0
AKA,The World Is Yours,4081,4081,4081,4081.0,150,1,0,0,1.0,1.0
AKA,Touch My Blood,7465,7465,7465,7465.0,52,1,0,0,1.0,1.0
AKA,Zone,4345,4345,4345,4345.0,136,1,0,0,1.0,1.0
ANATII,WENA,5212,5212,5212,5212.0,178,1,0,0,1.0,1.0
ATB,Your Love (9PM),43382,21015,1645964,32273.803921568626,41,51,147,22367,4.585365853658536,2.0643349988103736
AURORA,Runaway,46664,18884,481248,32083.2,37,15,146,27780,4.945945945945946,2.4710866341876723
AV,Confession,23930,23930,23930,23930.0,109,1,0,0,1.0,1.0
AV,No Dey Form,16347,16347,16347,16347.0,185,1,0,0,1.0,1.0
AVAION,Pieces,15373,13127,57805,14451.25,105,4,57,2246,1.542857142857143,1.171097737487621
Abidoza,Diamond Walk,32038,32038,32038,32038.0,112,1,0,0,1.0,1.0
Abidoza,Umjolo,27107,27107,27107,27107.0,126,1,0,0,1.0,1.0
Adekunle Gold,5 Star,31789,31789,31789,31789.0,81,1,0,0,1.0,1.0
Adekunle Gold,5 Star (with Rick Ross),17342,17342,17342,17342.0,174,1,0,0,1.0,1.0
Adekunle Gold,High,37278,37278,37278,37278.0,69,1,0,0,1.0,1.0
Adekunle Gold,Sinner,17254,17254,17254,17254.0,175,1,0,0,1.0,1.0
Adele,All I Ask,28302,28302,28302,28302.0,116,1,0,0,1.0,1.0
Adele,All Night Parking (with Erroll Garner) Interlude,78045,27716,105761,52880.5,25,2,125,50329,6.0,2.815882522730553
Adele,Can I Get It,93179,28769,165799,55266.333333333336,18,3,124,64410,7.888888888888889,3.2388682262157182
Adele,Chasing Pavements,22725,22725,22725,22725.0,189,1,0,0,1.0,1.0
Adele,Cry Your Heart Out,93165,30737,123902,61951.0,19,2,109,62428,6.7368421052631575,3.031037511793604
Adele,Easy On Me,429149,40822,4598841,91976.82,1,50,92,388327,93.0,10.512689236196168
Adele,Hello,32911,25410,58321,29160.5,93,2,80,7501,1.8602150537634408,1.295198740653286
Adele,Hold On,85378,31320,116698,58349.0,22,2,98,54058,5.454545454545454,2.7259897828863346
Adele,I Drink Wine,116502,28494,229145,57286.25,10,4,145,88008,15.5,4.088650242156244
Adele,Love In The Dark,37822,26112,96006,32002.0,77,3,56,11710,1.7272727272727273,1.448452818627451
Adele,Love Is A Game,69732,25273,95005,47502.5,32,2,150,44459,5.6875,2.7591500811142327
Adele,Make You Feel My Love,35489,22946,113593,28398.25,82,4,104,12543,2.268292682926829,1.5466312211278654
Adele,My Little Love,122935,25817,232865,58216.25,9,4,191,97118,22.22222222222222,4.76178487043421
Adele,Oh My God,130408,24194,712818,41930.470588235294,8,17,188,106214,24.5,5.390096718194593
Adele,Rolling in the Deep,40834,23385,150037,30007.4,66,5,124,17449,2.878787878787879,1.7461620697028009
Adele,Send My Love (To Your New Lover),34398,23220,82790,27596.666666666668,88,3,94,11178,2.0681818181818183,1.4813953488372094
Adele,Set Fire to the Rain,40026,25199,90938,30312.666666666668,68,3,101,14827,2.485294117647059,1.5883963649351165
Adele,Someone Like You,46135,23767,192050,32008.333333333332,50,6,126,22368,3.52,1.9411368704506249
Adele,Strangers By Nature,97368,28520,125888,62944.0,16,2,127,68848,8.9375,3.4140252454417954
Adele,To Be Loved,100353,25235,164858,54952.666666666664,14,3,171,75118,13.214285714285714,3.9767386566276994
Adele,When We Were Young,53144,21273,266189,33273.625,38,8,158,31871,5.157894736842105,2.49819019414281
Adele,Woman Like Me,80215,27131,107346,53673.0,24,2,136,53084,6.666666666666667,2.9565810327669455
Agust D,Daechwita,13984,13984,13984,13984.0,148,1,0,0,1.0,1.0
Ajebo Hustlers,In Love,18139,18139,18139,18139.0,164,1,0,0,1.0,1.0
Ajebo Hustlers,Loyalty,30755,30755,30755,30755.0,83,1,0,0,1.0,1.0
Ajebutter22,King of Parole,19658,19658,19658,19658.0,144,1,0,0,1.0,1.0
Alan Walker,All Falls Down (feat. Juliander),6011,2626,32515,4064.375,91,8,99,3385,2.087912087912088,2.289032749428789
Alan Walker,"Alone, Pt. II",15844,12288,131255,14583.888888888889,102,9,49,3556,1.4803921568627452,1.2893880208333333
Alan Walker,Darkside,13971,7088,333698,9814.64705882353,42,34,80,6883,2.9047619047619047,1.9710778781038374
Alan Walker,Diamond Heart,6352,5668,30484,6096.8,142,5,33,684,1.232394366197183,1.1206774876499648
Alan Walker,Faded,5553,5553,5553,5553.0,194,1,0,0,1.0,1.0
Alan Walker,On My Way,13658,8292,156567,10437.8,56,15,93,5366,2.6607142857142856,1.6471297636275928
Alec Benjamin,Devil Doesnt Bargain,28885,28885,28885,28885.0,171,1,0,0,1.0,1.0
Alec Benjamin,Jesus in LA,7990,7990,7990,7990.0,190,1,0,0,1.0,1.0
Alec Benjamin,Let Me Down Slowly,22989,3568,841316,12192.985507246376,22,69,178,19421,9.090909090909092,6.443105381165919
Alessia Cara,Growing Pains,5107,3673,25004,4167.333333333333,103,6,76,1434,1.7378640776699028,1.3904165532262456
Alessia Cara,Out Of Love,8296,7842,24285,8095.0,139,3,14,454,1.1007194244604317,1.0578933945422087
Alessia Cara,Scars To Your Beautiful,19215,2294,659431,12211.685185185184,156,54,44,16921,1.2820512820512822,8.376198779424586
Alesso,Chasing Stars (feat. James Bay),28412,28412,28412,28412.0,99,1,0,0,1.0,1.0
Alesso,Midnight (feat. Liam Payne),11266,11266,11266,11266.0,200,1,0,0,1.0,1.0
Alesso,REMEDY,13709,5247,325548,10851.6,43,30,94,8462,3.186046511627907,2.6127310844291975
Alesso,Sad Song (feat. TINI),8134,8096,16230,8115.0,149,2,3,38,1.0201342281879195,1.0046936758893281
Alexander 23,IDK You Yet,13904,12907,80117,13352.833333333334,144,6,44,997,1.3055555555555556,1.0772449058650344
Alfa Kat,Phone Yam,39309,17152,380757,25383.8,38,15,155,22157,5.078947368421052,2.2918027052238807
Ali Gatie,It's You,22492,9673,704255,14984.148936170213,25,47,169,12819,7.76,2.325235190737103
Ali Gatie,Running On My Mind,13373,12529,25902,12951.0,165,2,15,844,1.0909090909090908,1.067363716178466
Ali Gatie,What If I Told You That I Love You,23346,13436,289641,19309.4,50,15,88,9910,2.76,1.737570705567133
Alicia Keys,So Done (feat. Khalid),17185,17185,17185,17185.0,128,1,0,0,1.0,1.0
Amaarae,SAD GIRLZ LUV MONEY (feat. Moliy & Kali Uchis) - Vigro Deep Amapiano Remix,30203,25926,56129,28064.5,130,2,19,4277,1.146153846153846,1.1649695286584896
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),50595,23535,479082,31938.8,41,15,155,27060,4.780487804878049,2.149776927979605
Amanda Black,Afrika (feat. Adekunle Gold),9822,9822,9822,9822.0,189,1,0,0,1.0,1.0
Amanda Black,Hamba,11461,11461,11461,11461.0,145,1,0,0,1.0,1.0
Ami Faku,Lala Ngoxolo (feat. Emtee),27660,27660,27660,27660.0,73,1,0,0,1.0,1.0
Ami Faku,Ubuhle Bakho,8925,8925,8925,8925.0,196,1,0,0,1.0,1.0
Amin,REEL IT IN,9746,4953,66128,7347.555555555556,84,9,87,4793,2.0357142857142856,1.9676963456491015
Amu Classic,Qhude (feat. Djy Jaivane & Mashudu),52423,25270,287040,35880.0,50,8,108,27153,3.16,2.0745152354570635
