word,word_count
fire,2
games,2
smiled,2
supposed,2
everpresent,1
rhyme,1
psycho,1
vacancy,1
shifting,1
insincerity,1
trend,1
brothers,1
forcing,1
sense,1
laughter,1
troubling,1
kids,1
distance,1
apartment,1
thinks,1
dropped,1
frown,1
colder,1
am,1
vanished,1
suspected,1
beds,1
drum,1
dealing,1
unbroken,1
turned,1
stop,1
lingering,1
writing,1
wantin,1
hot,1
question,1
kept,1
awake,1
echo,1
creek,1
suddenly,1
goodnight,1
secrecy,1
notes,1
passing,1
anybody,1
fears,1
sixteen,1
deepest,1
quick,1
counter,1
livin,1
playful,1
silhouette,1
across,1
thoughts,1
signs,1
dead,1
memorize,1
opinion,1
humiliation,1
pointed,1
flaws,1
already,1
impress,1
pushed,1
cycle,1
bar,1
nobodys,1
childhood,1
washed,1
ranting,1
bitter,1
grumbling,1
liar,1
pathetic,1
flew,1
instantly,1
wildfire,1
sides,1
switching,1
summers,1
dry,1
lifeless,1
matches,1
shining,1
fireworks,1
bottoms,1
knives,1
swords,1
weapons,1
knocked,1
voice,1
nails,1
chalkboard,1
calling,1
wounded,1
weaker,1
bittersweet,1
searching,1
freckle,1
complication,1
armour,1
warning,1
finger,1
eyelids,1
flutter,1
everythings,1
month,1
desert,1
movies,1
sophistication,1
moms,1
dropping,1
fourteen,1
shots,1
older,1
pjs,1
dared,1
scarred,1
rather,1
lay,1
miscommunications,1
battles,1
fallout,1
backyard,1
tree,1
box,1
chapter,1
howd,1
nervously,1
pulling,1
werent,1
thankin,1
avoid,1
starting,1
pretending,1
quite,1
contest,1
focus,1
liked,1
mortified,1
lunchbox,1
pushing,1
months,1
speculate,1
doubt,1
gap,1
teeth,1
riddles,1
snide,1
tattoos,1
six,1
thousand,1
lip,1
trampled,1
happen,1
hall,1
moving,1
chevy,1
onehand,1
puts,1
papers,1
gloss,1
lurking,1
drives,1
disapproves,1
force,1
children,1
point,1
elevator,1
buttons,1
strangers,1
vacant,1
stares,1
theyll,1
ghosts,1
judge,1
verdict,1
jurys,1
choice,1
tendency,1
thrown,1
eightynine,1
sleeves,1
briefcase,1
mothers,1
promise,1
peter,1
cars,1
downtown,1
needed,1
bleeding,1
stepping,1
train,1
marked,1
bloodstain,1
wendy,1
twenty,1
linger,1
tattoo,1
whatifs,1
smoke,1
curse,1
longest,1
grocery,1
thrill,1
lifetimes,1
weekends,1
fathers,1
tee,1
ambition,1
irrational,1
brown,1
sayin,1
reputation,1
lovestruck,1
card,1
steering,1
cobblestones,1
hideandseek,1
wheel,1
sequin,1
lipstick,1
sensual,1
politics,1
levis,1
streetlight,1
sweatshirt,1
forbid,1
hallway,1
teach,1
pen,1
friday,1
flames,1
embers,1
septembers,1
woke,1
napkin,1
trust,1
beside,1
finish,1
behind,1
started,1
lit,1
darkness,1
158,1
recall,1
grabbed,1
fresh,1
plane,1
field,1
monsters,1
9th,1
babies,1
prep,1
amount,1
knee,1
dresses,1
gives,1
dignity,1
rock,1
warpath,1
crickets,1
runnin,1
acing,1
crawl,1
everybody,1
paintin,1
yard,1
