End Date,track_name,streams
2024/10/24,Espresso,33991288
2024/10/24,Feather,9004717
2024/10/24,Good Graces,10308502
2024/10/24,Juno,12473525
2024/10/24,Nonsense,11138899
2024/10/24,Please Please Please,25783996
2024/10/24,Taste,36836040
2024/10/31,Bed Chem,20281656
2024/10/31,Espresso,33211508
2024/10/31,Good Graces,10149225
2024/10/31,Juno,13413905
2024/10/31,Nonsense,10884529
2024/10/31,Please Please Please,24424217
2024/10/31,Taste,36354336
2024/11/07,Bed Chem,18408498
2024/11/07,Espresso,30202647
2024/11/07,Good Graces,9131315
2024/11/07,Juno,12465112
2024/11/07,Nonsense,10098679
2024/11/07,Please Please Please,22508756
2024/11/07,Taste,33315300
2024/11/14,Bed Chem,17759455
2024/11/14,Espresso,30208859
2024/11/14,Good Graces,8765034
2024/11/14,Juno,12234495
2024/11/14,Nonsense,10136915
2024/11/14,Please Please Please,22035591
2024/11/14,Taste,32909746
2024/11/21,Bed Chem,17622802
2024/11/21,Espresso,28276638
2024/11/21,Juno,13371634
2024/11/21,Nonsense,10347223
2024/11/21,Please Please Please,21416198
2024/11/21,Taste,31899267
2024/11/28,Bed Chem,15721398
2024/11/28,Espresso,28232101
2024/11/28,Juno,13609045
2024/11/28,Nonsense,10705650
2024/11/28,Please Please Please,20700182
2024/11/28,Taste,27673260
2024/12/05,Bed Chem,14029817
2024/12/05,Espresso,29370321
2024/12/05,Juno,11754851
2024/12/05,Nonsense,10298621
2024/12/05,Please Please Please,20071713
2024/12/05,Taste,24767074
2024/12/12,A Nonsense Christmas,13056675
2024/12/12,Bed Chem,13708442
2024/12/12,Espresso,31181720
2024/12/12,Juno,11076959
2024/12/12,Nonsense,10651585
2024/12/12,Please Please Please,20835384
2024/12/12,Taste,24070330
2024/12/19,A Nonsense Christmas,16177239
2024/12/19,Bed Chem,12439185
2024/12/19,Espresso,27800226
2024/12/19,Juno,9984355
2024/12/19,Nonsense,10207297
2024/12/19,Please Please Please,19319343
2024/12/19,Taste,22792663
2024/12/26,A Nonsense Christmas,24883797
2024/12/26,Bed Chem,11163043
2024/12/26,Espresso,25925941
2024/12/26,Please Please Please,17869226
2024/12/26,Taste,20076320
2025/01/02,Bed Chem,11731684
2025/01/02,Espresso,30028747
2025/01/02,Juno,9114241
2025/01/02,Nonsense,9591939
2025/01/02,Please Please Please,18319462
2025/01/02,Taste,21949780
2025/01/09,Bed Chem,11751504
2025/01/09,Espresso,27798332
2025/01/09,Juno,9150238
2025/01/09,Nonsense,8936324
2025/01/09,Please Please Please,17877658
2025/01/09,Taste,21975373
2025/01/16,Bed Chem,11150181
2025/01/16,Espresso,26045919
2025/01/16,Juno,8902318
2025/01/16,Nonsense,8448212
2025/01/16,Please Please Please,16755430
2025/01/16,Taste,20625964
2025/01/23,Bed Chem,10944109
2025/01/23,Espresso,24725960
2025/01/23,Please Please Please,16044603
2025/01/23,Taste,19675232
2025/01/30,Bed Chem,10046941
2025/01/30,Espresso,23667357
2025/01/30,Please Please Please,15059260
2025/01/30,Taste,17588806
2025/02/06,Bed Chem,11055086
2025/02/06,Espresso,25832880
2025/02/06,Please Please Please,16566838
2025/02/06,Taste,19827974
2025/02/13,Bed Chem,11552746
2025/02/13,Espresso,27079400
2025/02/13,Juno,9060436
2025/02/13,Please Please Please,17595704
2025/02/13,Taste,19975574
2025/02/20,15 Minutes,12692508
2025/02/20,Bad Reviews,8766349
2025/02/20,Bed Chem,12792503
2025/02/20,Busy Woman,22886771
2025/02/20,Couldnt Make It Any Harder,9312515
2025/02/20,Espresso,26692526
2025/02/20,Juno,10568196
2025/02/20,Please Please Please,18508410
2025/02/20,Taste,21775906
2025/02/27,15 Minutes,9280342
2025/02/27,Bed Chem,10770312
2025/02/27,Busy Woman,16913804
2025/02/27,Espresso,24114170
2025/02/27,Juno,8627281
2025/02/27,Please Please Please,15902238
2025/02/27,Taste,18743573
2025/03/06,15 Minutes,8144875
2025/03/06,Bed Chem,10071259
2025/03/06,Busy Woman,14520994
2025/03/06,Espresso,22183650
2025/03/06,Juno,8199769
2025/03/06,Please Please Please,14312440
2025/03/06,Taste,16941296
2025/03/13,Bed Chem,10502613
2025/03/13,Busy Woman,14117748
2025/03/13,Espresso,22666806
2025/03/13,Juno,8521513
2025/03/13,Please Please Please,14320042
2025/03/13,Taste,17132190
2025/03/20,Bed Chem,10503440
2025/03/20,Busy Woman,13222903
2025/03/20,Espresso,22345025
2025/03/20,Juno,9376197
2025/03/20,Please Please Please,14189015
2025/03/20,Taste,16742241
2025/03/27,Bed Chem,9933776
2025/03/27,Busy Woman,12685171
2025/03/27,Espresso,22297274
2025/03/27,Juno,9218743
2025/03/27,Please Please Please,13726995
2025/03/27,Taste,16395595
2025/04/03,Bed Chem,9490911
2025/04/03,Busy Woman,12983284
2025/04/03,Espresso,21384636
2025/04/03,Juno,8893657
2025/04/03,Please Please Please,13199367
2025/04/03,Taste,15903754
2025/04/10,Bed Chem,9243263
2025/04/10,Busy Woman,13344054
2025/04/10,Espresso,22208559
2025/04/10,Juno,9196643
2025/04/10,Please Please Please,13273575
2025/04/10,Taste,16118361
2025/04/17,Bed Chem,9303794
2025/04/17,Busy Woman,13028117
2025/04/17,Espresso,23137325
2025/04/17,Juno,9390530
2025/04/17,Please Please Please,13934692
2025/04/17,Taste,16827224
2025/04/24,Bed Chem,8246870
2025/04/24,Busy Woman,11278171
2025/04/24,Espresso,21364156
2025/04/24,Juno,8069579
2025/04/24,Please Please Please,12701962
2025/04/24,Taste,14730098
2025/05/01,Busy Woman,11195142
2025/05/01,Espresso,20918543
2025/05/01,Please Please Please,12382232
2025/05/01,Taste,14543076
2025/05/08,Busy Woman,10048520
2025/05/08,Espresso,20330485
2025/05/08,Please Please Please,11462753
2025/05/08,Taste,14035120
2025/05/15,Busy Woman,9778572
2025/05/15,Espresso,20028045
2025/05/15,Please Please Please,11218334
2025/05/15,Taste,13496772
2025/05/22,Espresso,19587672
2025/05/22,Please Please Please,10785562
2025/05/22,Taste,12449207
2025/05/29,Espresso,18539237
2025/05/29,Please Please Please,10212884
2025/05/29,Taste,12122428
2025/06/05,Espresso,18358441
2025/06/05,Please Please Please,10021949
2025/06/05,Taste,11756937
2025/06/12,Busy Woman,8517206
2025/06/12,Espresso,19209574
2025/06/12,Manchild,39775000
2025/06/12,Please Please Please,10827275
2025/06/12,Taste,13117316
2025/06/19,Busy Woman,8658375
2025/06/19,Espresso,19770722
2025/06/19,Manchild,37675888
2025/06/19,Please Please Please,11359336
2025/06/19,Taste,13162118
2025/06/26,Espresso,18489927
2025/06/26,Manchild,32649685
2025/06/26,Please Please Please,10436748
2025/06/26,Taste,12184286
2025/07/03,Espresso,17698052
2025/07/03,Manchild,29017683
2025/07/03,Please Please Please,9977519
2025/07/03,Taste,11132459
