main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
6LACK,Pretty Little Fears (feat. J. Cole),82,128,159,11,187,84,29396,2,0,-28,45765,53034.0,3896970.0,125708.70967741935,7.0,31.0,52.0,137129.0,8.428571428571429,3.5856808839612326,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),83,129,162,11,159,85,30547,2,0,3,45765,28781.0,91291.0,30430.333333333332,125.0,3.0,48.0,3510.0,1.384,1.1219554567249226,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),84,130,159,11,162,86,31869,2,0,-3,45765,30969.0,223844.0,37307.333333333336,79.0,6.0,99.0,13968.0,2.2531645569620253,1.4510316768381284,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),85,131,147,11,159,87,30792,2,0,-12,45765,31211.0,158182.0,39545.5,62.0,4.0,124.0,18939.0,3.0,1.606805293005671,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),86,132,149,11,147,88,31100,2,0,2,45765,29216.0,29216.0,29216.0,170.0,1.0,0.0,0.0,1.0,1.0,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),87,133,194,11,149,89,30094,2,0,45,45765,33532.0,33532.0,33532.0,121.0,1.0,0.0,0.0,1.0,1.0,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),88,134,171,11,194,90,31354,2,0,-23,45765,27569.0,206535.0,34422.5,175.0,6.0,22.0,15673.0,1.1257142857142857,1.5685008524066886,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),89,135,155,11,171,91,30902,2,0,-16,45765,56129.0,56129.0,56129.0,108.0,1.0,0.0,0.0,1.0,1.0,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),90,136,167,11,155,92,29965,2,0,12,45765,34153.0,903759.0,43036.142857142855,92.0,21.0,103.0,24143.0,2.119565217391304,1.7069071531051445,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),91,137,188,11,167,93,29358,2,0,21,45765,43378.0,1004213.0,47819.666666666664,92.0,21.0,87.0,11271.0,1.9456521739130435,1.259832172990917,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),92,138,184,11,-1,94,30245,2,0,-4,45765,41415.0,41415.0,41415.0,125.0,1.0,0.0,0.0,1.0,1.0,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),93,139,189,11,184,95,31029,2,0,5,45765,30398.0,336202.0,33620.2,118.0,10.0,81.0,7050.0,1.6864406779661016,1.2319231528390027,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),94,140,194,11,-1,96,34195,2,0,5,45765,26427.0,393945.0,30303.46153846154,109.0,13.0,88.0,6436.0,1.8073394495412844,1.2435388050100276,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),95,141,191,11,-1,97,33086,2,0,-3,45765,36457.0,275050.0,39292.857142857145,115.0,7.0,72.0,6603.0,1.626086956521739,1.1811174808678717,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),96,142,190,11,191,98,34534,2,0,-1,45765,28953.0,91345.0,30448.333333333332,134.0,3.0,43.0,4277.0,1.3208955223880596,1.1477221704141194,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),97,143,180,11,-1,99,35566,2,0,-10,45765,34404.0,660708.0,55059.0,13.0,12.0,147.0,54348.0,12.307692307692308,2.5797000348796653,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),98,144,193,11,-1,100,42596,2,0,13,45765,34849.0,1010796.0,53199.78947368421,4.0,19.0,180.0,77551.0,46.0,3.2253436253551033,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),99,145,188,11,193,101,43263,2,0,-5,45765,29694.0,108571.0,36190.333333333336,77.0,3.0,92.0,14055.0,2.1948051948051948,1.473327945039402,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),100,146,183,11,188,102,45765,2,0,-5,45765,32528.0,71508.0,35754.0,104.0,2.0,29.0,6452.0,1.2788461538461537,1.1983521888834234,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),101,147,187,11,183,103,45008,2,0,4,45765,40310.0,3166107.0,79152.675,8.0,40.0,186.0,86109.0,24.25,3.136169684941702,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),102,148,163,11,-1,104,40888,2,0,-24,45765,28069.0,175985.0,35197.0,70.0,5.0,120.0,18620.0,2.7142857142857144,1.663365278421034,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),103,149,200,11,163,105,42741,2,0,37,45765,30135.0,65780.0,32890.0,127.0,2.0,24.0,5510.0,1.188976377952756,1.1828438692550192,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),104,150,178,11,200,106,44594,2,0,-22,45765,28032.0,100690.0,33563.333333333336,103.0,3.0,97.0,11299.0,1.941747572815534,1.4030750570776256,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),105,151,178,11,178,107,42651,2,0,0,45765,29947.0,29947.0,29947.0,183.0,1.0,0.0,0.0,1.0,1.0,2,6LACKPretty Little Fears (feat. J. Cole),168
