rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
83,"spotify:track:3v1PKBcV89JJ0EV49iaW8w","Inkos'yamagcokama, MusiholiQ","Usizi","INKOS'YAMAGCOKAMA",81,81,3
84,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",8,93,44
85,"spotify:track:2sOj9vyd6yiss9W1IK6chU","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","Epic/We The Best",22,77,17
86,"spotify:track:3kIiJeILPKS1gObjJFq4Hi","Fortunator, khubvi kid, Crosswavee, dj Call me SA, DJ Micro","Ha mathuthu banga (Fortunator & Rude kid venda)","3436750 Records DK",32,94,28
87,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",76,76,3
88,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",16,86,119
89,"spotify:track:4vuVzf7BIZhDAFm3TB0Tzy","charlieonnafriday","Enough","Onnafriday Records / Island Records",35,-1,15
90,"spotify:track:4B8gtpBuEtU9XUizl6BK2W","MoonDeity","WAKE UP!","MoonDeity",84,84,4
91,"spotify:track:4pR4oQJULf7FDB54TleMyH","Limoblaze, Lecrae, Happi","Jireh (My Provider)","Limoblaze Music",34,-1,28
92,"spotify:track:4UGvqm3e7UElrrriPtnhwz","Genevieve Stokes","Habits","Atlantic Records",22,100,26
93,"spotify:track:6enlARRNWUiwg4HSeJgyjJ","Naqua SA, Shebeshxt, Mckay Johnson, 4nik Plk, Reff SA, Dj Tiano","Ak'Busy Ka Bafana","2435823 Records DK",60,-1,10
94,"spotify:track:2jVwAnPHfeVeUyEEk4ERFU","Armand Hofmeyr","Marie","WM South Africa",94,-1,1
95,"spotify:track:0hfHF0FsMNyLoaqsvJmqfq","Jessie Murph","While You're At It","Columbia",79,80,3
96,"spotify:track:3NE02HZ5vRIoiGN7EDtcpO","Temple Boys Cpt","SkinnerBekke","Rejx Entertainment",61,92,13
97,"spotify:track:1T2pzBmz9yh5ddK8KZbtG7","Iyane Jamdong, Elzo Jamdong, Bianca Hester, Crosswavee, Da Musiqal Prodigy","Ekhaya","Kena 360",91,91,3
98,"spotify:track:6uWez0py1zc17F7hjp7jIt","Coolio, 40 Thevz","C U When U Get There","Tommy Boy Music, LLC",98,99,4
99,"spotify:track:6IPwKM3fUUzlElbvKw2sKl","girl in red","we fell in love in october","world in red",99,-1,1
100,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",2,97,79
