trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,90,spotify:track:02sy7FAs8dkDNYsHp4Ul3f,K-Pop Demon Hunters,4,69,26,11687549,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Saja Boys,0
0,1,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Your Idol,160,spotify:track:1I37Zz2g3hk9eWxaNkj031,K-Pop Demon Hunters,4,108,26,9565388,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Saja Boys,0
0,0,Shakin' Stevens,Merry Christmas Everyone,48,spotify:track:2TE4xW3ImvpltVU0cPcKUn,Sony Music CG,26,71,40,14867783,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Shakin' Stevens,0
0,0,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")",156,spotify:track:5xKr4HfdnYLMDmAJZkOuBc,Saregama India Ltd,156,-1,1,9647673,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Shashwat Sachdev,0
0,0,She & Him,I Thought I Saw Your Face Today,88,spotify:track:0myRViRgmQ3J8izICXEAVO,Merge Records,88,195,2,11788006,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,She & Him,0
0,0,Sia,Snowman,12,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Monkey Puzzle/Atlantic,9,12,45,28493906,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Sia,0
0,0,Tame Impala,Dracula,125,spotify:track:1NXbNEAcPvY5G1xvfN57aA,Columbia,35,102,12,10444830,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Tame Impala,0
0,1,Tame Impala,The Less I Know The Better,113,spotify:track:6K4t31amVTZDgR3sKmwUJJ,Universal Music Australia Pty. Ltd.,105,109,63,10713856,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Tame Impala,0
0,0,Tate McRae,Sports car,186,spotify:track:5UJbgR4XF4y1DvbkxEqe8S,RCA Records Label,16,119,47,9224409,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Tate McRae,0
0,1,Tate McRae,TIT FOR TAT,164,spotify:track:1dByUyyoRKL99fJJ6VCQzb,RCA Records Label,5,132,12,9498807,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Tate McRae,0
0,0,Taylor Swift,Opalite,29,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,2,30,11,18870725,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Taylor Swift,0
0,1,Taylor Swift,The Fate of Ophelia,1,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,1,1,11,46086020,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Taylor Swift,1
0,0,Tears For Fears,Everybody Wants To Rule The World,139,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,UMC (Universal Music Catalogue),91,136,138,9980012,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Tears For Fears,0
0,0,Teddy Swims,Lose Control,71,spotify:track:17phhZDn6oGtzMe56NuWvj,Warner Records,5,59,110,13009157,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Teddy Swims,0
