,main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
181,Niall Horan,ZA,4,58,2019-10-17,2023-03-02,364475,3,False,False,20,0
182,Nick Jonas,ZA,1,73,2018-08-30,2018-09-20,22758,1,False,False,3,1
183,Nicki Minaj,ZA,52,2,2018-04-19,2024-02-15,10937178,7,False,False,204,22
184,Nicky Youre,ZA,1,43,2022-05-12,2023-02-23,1821459,2,False,False,41,1
185,Normani,ZA,5,23,2018-11-01,2022-03-24,810190,4,False,False,36,4
186,Oasis,ZA,1,151,2018-04-05,2019-01-17,52950,2,False,False,11,0
187,Oliver Tree,ZA,2,31,2021-09-16,2023-02-23,1778639,3,False,False,39,1
188,Olivia Rodrigo,ZA,17,1,2021-01-14,2024-01-11,14788854,4,False,False,337,0
189,Omah Lay,ZA,2,76,2022-03-10,2023-04-06,117688,2,False,False,2,1
190,OneRepublic,ZA,10,11,2018-05-24,2024-04-04,9582197,7,True,False,238,1
191,Panic! At The Disco,ZA,4,12,2018-03-29,2022-06-16,1907549,5,False,False,132,0
192,Paul McCartney,ZA,1,30,2018-12-27,2022-12-29,188680,5,False,False,5,0
193,Pharrell Williams,ZA,3,36,2018-05-24,2022-11-24,260389,2,False,False,7,5
194,Pink Sweat$,ZA,1,136,2021-03-25,2021-04-15,84542,1,False,False,3,1
195,PinkPantheress,ZA,3,10,2022-12-08,2023-09-07,3138211,2,False,False,31,1
196,Polo G,ZA,12,3,2019-05-30,2022-06-09,3041749,4,False,False,90,8
197,Pop Smoke,ZA,36,3,2020-02-13,2022-03-31,14574936,3,False,False,474,27
198,Post Malone,ZA,55,1,2018-03-15,2024-06-20,31717357,7,False,False,1355,24
199,RAYE,ZA,2,45,2022-12-08,2023-05-11,1449877,2,False,False,25,1
200,RM,ZA,1,117,2022-12-08,2022-12-08,44923,1,False,False,0,1
201,ROS,ZA,1,192,2021-03-25,2021-03-25,18805,1,False,False,0,0
202,ROSALA,ZA,1,69,2020-06-04,2020-07-23,112962,1,False,False,6,1
203,Regard,ZA,3,22,2019-09-12,2021-05-27,2100048,3,False,False,95,3
204,Rema,ZA,2,7,2022-07-28,2024-03-21,11778391,3,False,False,126,1
205,Rihanna,ZA,9,1,2018-03-22,2024-05-09,4498187,4,False,False,83,4
206,Riton,ZA,1,31,2021-03-04,2022-04-14,2119112,2,False,False,58,3
207,Ritt Momney,ZA,1,31,2020-09-24,2021-04-08,772195,2,False,False,27,0
208,Roddy Ricch,ZA,7,1,2019-12-19,2024-06-06,5145100,5,False,False,139,1
209,Rosa Linn,ZA,1,56,2022-07-21,2023-02-02,1208677,2,False,False,27,0
210,Russ,ZA,7,37,2018-09-13,2023-10-05,482636,5,False,False,19,4
211,SZA,ZA,30,5,2019-04-25,2024-06-20,33497463,6,False,False,412,11
212,Sabrina Carpenter,ZA,5,12,2018-03-22,2024-06-20,2636575,4,False,False,24,1
213,Sam Fischer,ZA,2,130,2020-04-23,2021-05-20,568529,2,False,False,32,1
214,Sam Smith,ZA,16,2,2018-03-15,2024-06-06,13361425,7,False,False,459,6
215,Saweetie,ZA,3,36,2020-08-06,2021-08-05,1135238,2,False,False,39,4
216,Selena Gomez,ZA,16,2,2018-03-15,2023-08-31,4205347,6,False,False,268,3
217,Shawn Mendes,ZA,17,1,2018-03-22,2022-04-28,8647930,5,False,False,471,6
218,Sia,ZA,7,26,2018-03-29,2023-12-28,888601,6,False,False,82,4
219,Skrillex,ZA,1,139,2021-08-26,2021-09-02,49313,1,False,False,1,2
220,Skylar Grey,ZA,1,62,2021-10-07,2021-10-28,126803,1,False,False,3,3
221,Sleepy Hallow,ZA,3,14,2020-05-21,2022-10-06,2618184,3,False,False,71,2
222,Stephen Sanchez,ZA,2,101,2022-10-13,2023-03-30,422209,2,False,False,9,1
223,Steve Aoki,ZA,2,88,2018-09-13,2018-12-06,50747,1,False,False,6,3
224,Steve Lacy,ZA,5,18,2021-08-19,2023-03-23,2722255,3,False,False,52,1
225,Stray Kids,ZA,1,150,2022-03-24,2022-03-24,28318,1,True,False,0,0
226,Summer Walker,ZA,45,12,2019-03-07,2024-06-20,21107783,6,False,False,493,20
227,Surfaces,ZA,1,17,2020-01-23,2021-01-14,1168450,2,False,False,45,0
228,Swae Lee,ZA,4,74,2019-08-22,2020-06-25,84914,2,False,False,6,1
229,Swedish House Mafia,ZA,1,15,2021-10-28,2022-09-15,1647587,2,False,False,39,1
230,TAEYANG,ZA,1,158,2023-01-19,2023-01-19,35385,1,False,False,0,1
231,THE ANXIETY,ZA,1,38,2021-09-16,2022-03-17,1041478,2,False,False,26,2
232,Tai Verdes,ZA,1,162,2021-08-26,2021-10-21,183570,1,False,False,7,0
233,Tate McRae,ZA,8,14,2020-07-16,2024-06-20,10444883,5,False,False,187,1
234,Taylor Swift,ZA,108,3,2018-03-22,2024-06-20,21164370,7,False,False,489,11
235,Teddy Swims,ZA,1,24,2024-01-11,2024-06-20,3621593,1,False,False,23,0
236,The 1975,ZA,2,163,2018-06-07,2018-08-23,7479,1,True,False,1,0
237,The Chainsmokers,ZA,20,11,2018-03-15,2022-02-17,8694271,5,False,False,627,14
238,The Game,ZA,1,15,2022-01-20,2022-03-17,388497,1,False,False,8,1
239,The Kid LAROI,ZA,11,1,2020-06-18,2023-10-26,11923929,4,False,False,220,7
240,The Ronettes,ZA,1,47,2018-12-27,2023-12-28,302437,6,False,True,6,0
241,The Walters,ZA,1,179,2022-01-27,2022-02-03,46730,1,False,False,1,0
242,The Weeknd,ZA,53,1,2018-03-15,2024-06-20,47780358,7,False,False,994,13
243,Tinashe,ZA,1,165,2024-06-13,2024-06-20,165994,1,False,False,1,0
244,Tion Wayne,ZA,1,7,2021-05-06,2021-08-26,790669,1,False,False,16,8
245,Tisto,ZA,6,2,2018-05-24,2023-04-27,11338549,6,False,False,287,8
246,Tommy Richman,ZA,3,2,2024-05-02,2024-06-20,3524315,1,False,False,10,0
247,Tones And I,ZA,3,1,2019-08-08,2022-02-17,6537684,4,False,False,176,0
248,Travis Scott,ZA,46,1,2018-03-22,2024-06-20,26981305,7,False,False,667,24
249,Trippie Redd,ZA,9,22,2018-08-16,2021-10-07,741190,4,False,False,31,7
250,Troye Sivan,ZA,2,54,2018-05-10,2018-09-06,48766,1,False,False,10,1
251,Twenty One Pilots,ZA,14,46,2018-07-19,2021-04-15,400038,4,False,False,45,0
252,Tyga,ZA,10,6,2018-05-24,2022-08-25,1424200,4,False,False,111,11
253,Tyla,ZA,14,4,2021-02-18,2024-06-20,19556557,3,False,False,128,7
254,Tyler,ZA,28,4,2018-04-05,2024-05-30,3176513,5,False,False,86,14
255,V,ZA,1,173,2023-08-17,2023-08-17,51356,1,True,False,0,0
256,WILLOW,ZA,2,39,2021-06-10,2022-07-28,936822,2,False,False,26,1
257,Wham!,ZA,2,5,2018-12-06,2023-12-28,1203478,6,False,False,22,0
258,Why Don't We,ZA,5,79,2018-08-30,2020-04-16,303960,3,False,False,33,1
