main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Wham!,Global,2,2,2016/12/29,2024/01/04,1141602232,9,FALSE,FALSE,50,0
Why Don't We,Global,4,116,2018/09/06,2019/11/14,104311451,2,FALSE,FALSE,20,1
Wiz Khalifa,Global,2,87,2018/07/19,2018/10/04,72916547,1,FALSE,FALSE,15,2
Wizkid,Global,1,177,2021/08/26,2021/08/26,5332786,1,FALSE,FALSE,0,2
Young Stoner Life,Global,3,27,2021/04/22,2021/06/10,74250666,1,FALSE,FALSE,9,4
Young Thug,Global,15,6,2016/12/29,2023/06/29,782616518,7,FALSE,FALSE,114,14
Zac Efron,Global,1,20,2018/01/04,2019/01/17,192824494,2,FALSE,FALSE,26,1
Zedd,Global,6,6,2017/03/02,2019/11/28,1676014080,3,FALSE,FALSE,184,7
benny blanco,Global,8,4,2018/07/19,2022/09/29,1318646495,5,FALSE,FALSE,135,14
blackbear,Global,5,9,2017/04/13,2021/04/29,951966600,4,FALSE,FALSE,128,2
d4vd,Global,3,14,2022/09/08,2024/06/20,1951865996,3,FALSE,FALSE,162,0
j-hope,Global,5,22,2019/10/03,2024/04/04,116804941,4,FALSE,FALSE,10,4
mgk,Global,3,70,2017/12/21,2019/08/01,68522095,3,FALSE,FALSE,10,4
salem ilese,Global,1,46,2020/09/10,2020/12/10,107359359,1,FALSE,FALSE,13,0
