main_artist,track_name,streams
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,619558
Chris Brown,Call Me Every Day (feat. WizKid),610838
De Mthuda,Jola,610775
Wanitwa Mos,Kuwe,609735
Ch'cco,Pele Pele,605564
DJ Maphorisa,"Trust Fund (feat. Focalistic, Mpura, Madumane & Mellow & Sleazy) - Live",594503
Bruno Mars,Leave The Door Open,592314
Drake,Way 2 Sexy (with Future & Young Thug),590045
Drake,Spin Bout U,589764
Kanye West,True Love,587494
Lil Tjay,Calling My Phone,585236
Makhadzi,MaGear,583316
XXXTENTACION,Jocelyn Flores,576857
Drake,Privileged Rappers,575414
Kabza De Small,Isoka (feat. Nkosazana Daughter & Murumba Pitch),571799
JP Cooper,The Only Reason,570518
Mr JazziQ,Teka (feat. Mellow & Sleazy & Djy Ma'Ten),565462
Kendrick Lamar,Father Time (feat. Sampha),564055
Kendrick Lamar,Count Me Out,562609
Kodak Black,Super Gremlin,555505
Oliver Tree,Miss You,552332
Future,PUFFIN ON ZOOTIEZ,545931
Tate McRae,she's all i wanna be,545275
Daniel Caesar,Best Part (feat. H.E.R.),534739
Carolina Gaitn - La Gaita,We Don't Talk About Bruno,531239
Makhadzi,Kulakwe,530130
Kanye West,Praise God,526599
Kabza De Small,Bathini (feat. Young Stunna & Artwork Sounds),525783
JVKE,golden hour,524913
Drake,Circo Loco,523437
Benson Boone,In The Stars,519859
Jack Harlow,Nail Tech,513168
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),512026
Blxckie,sneaky,509275
Villosoul,Zula Zula (Hub Way),509154
Nasty C,Stalling,506565
Lil Uzi Vert,Just Wanna Rock,506409
Mas Musiq,Inhliziyo (feat. Babalwa M),505818
TALK,Run Away to Mars,501928
BoyWithUke,Toxic,500026
Lil Nas X,MONTERO (Call Me By Your Name),499873
Lady Gaga,Shallow,491039
Drake,BackOutsideBoyz,490607
TOSS,Ncebeleka,490429
Kendrick Lamar,United In Grief,483015
Sam Smith,Too Good At Goodbyes,481821
Blxckie,cold,480793
Gabry Ponte,Thunder,479210
Soa Mattrix,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",474219
Kendrick Lamar,We Cry Together,465443
Kendrick Lamar,Savior,464422
Miguel,Adorn,463178
Eminem,Mockingbird,459110
Lil Yachty,Poland,458230
Rihanna,Needed Me,457322
Nicki Minaj,Do We Have A Problem?,457031
24kGoldn,Mood (feat. iann dior),456132
Mr JazziQ,"10111 (feat. M.J, Djy Ma'Ten & Matute Boy)",453061
Summer Walker,Session 32,449182
Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",445990
Aymos,Lyf Styl,444702
Drake,Broke Boys,436700
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,432206
Drake,Massive,431529
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),429897
Taylor Swift,Lavender Haze,428005
Kendrick Lamar,Purple Hearts,423307
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),422323
Drake,Hours In Silence,419869
Frank Ocean,Lost,418507
Lucky Daye,Over,415323
Aymos,Fatela,412220
Labrinth,Mount Everest,408952
Pushkin RSA,Welele,408369
Fireboy DML,Bandana,403584
DJ Maphorisa,"Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)",401966
Focalistic,SJEPA,400376
Doja Cat,Streets,395960
ESK MUSIQ,STOP n GO,395572
De Mthuda,Emlanjeni,395302
Will Linley,miss me (when you're gone),395199
Kabza De Small,Rekere 2 (feat. Stakev),391587
The Game,Eazy,388497
Taylor Swift,Midnight Rain,387934
The Weeknd,Sacrifice,378615
Kabza De Small,Ubumnandi (feat. Nia Pearl & MDU a.k.a TRP),377248
The Neighbourhood,Softcore,371830
MEDUZA,Paradise (feat. Dermot Kennedy),371233
Karyendasoul,iMali (Ft. Nana Atta),370137
BIA,LONDON (feat. J. Cole),367954
Jnr Choi,TO THE MOON,367330
Beach Weather,"Sex, Drugs, Etc.",366532
Omar Apollo,Evergreen (You Didnt Deserve Me At All),362188
Adele,Oh My God,358769
Tory Lanez,The Color Violet,358503
MashBeatz,NEVER RIDE,357105
Polo G,RAPSTAR,357030
Brent Faiyaz,Clouded,351689
Taylor Swift,Maroon,350493
Senior Oat,Give Me Jesus,346498
Doja Cat,Get Into It (Yuh),341925
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),339910
OneRepublic,Run,337181
Travis Scott,Goosebumps - Remix,336239
Kabza De Small,Ingabe (feat. Spartz),335426
Rihanna,Lift Me Up,334939
Drake,Treacherous Twins,332945
MEDUZA,Bad Memories (feat. Elley Duh & FAST BOY),332855
Lloyiso,Speak,332494
Elton John,Hold Me Closer,327477
THE ANXIETY,Meet Me At Our Spot,327462
Tems,Higher,326489
Kelvin Momo,Inyembezi,326118
GloRilla,Tomorrow 2 (with Cardi B),313887
Deep London,Piano Ngijabulise,312665
Em Beihold,Numb Little Bug,311690
Kendrick Lamar,Worldwide Steppers,303945
Taylor Swift,"You're On Your Own, Kid",303217
Taylor Swift,Karma,298495
The Weeknd,Is There Someone Else?,298431
Nomfundo Moh,Ngam'khetha,296246
Kendrick Lamar,The Heart Part 5,295243
Dean Lewis,How Do I Say Goodbye,294671
Kizz Daniel,Cough (Odo),291506
Taylor Swift,Bejeweled,289660
DJ Maphorisa,"Shona Kwelanga (feat. Mawhoo, Da Muziqal Chef & Kabza De Small)",287989
Mzux Maen,HAYII (La Alegria) (feat. Yasmin Levy),287905
Lil Baby,California Breeze,286838
Frank Ocean,Pink + White,285362
Tyler ICU,"Inhliziyo (feat. Nkosazana Daughter, Kabza De Small & DJ Maphorisa)",284845
Drake,Middle of the Ocean,284699
Kabza De Small,Sondela (feat. Ami Faku & Mhaw Keys),282563
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),282184
Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),278064
BLACKPINK,Pink Venom,276861
Giveon,Lie Again,276631
The Kid LAROI,Thousand Miles,276502
Sam Smith,I'm Not The Only One,276223
Imanbek,Belly Dancer,271190
Arctic Monkeys,I Wanna Be Yours,271159
Jack Harlow,Dua Lipa,270919
Beyonc,ENERGY (feat. Beam),268466
Burna Boy,Alone,268047
Shawn Mendes,It'll Be Okay,266168
King Monada,AYE KUWA (feat. CK THE DJ),265966
Dodo Nyoka,Foto's,265816
Steve Lacy,Static,265712
Kelvin Momo,Ivy League,264718
Focalistic,Tsela Tse Nyane,261921
Boohle,Undenza Ntoni,261863
Kelly Khumalo,Ngathwala Ngaye,259708
Yeat,Talk,259474
Mr JazziQ,Ningalali Emakhaya (feat. Zan'Ten & Ta Skippa),259363
Taylor Swift,Vigilante Shit,257666
Kabza De Small,Bayasaba (feat. Daliwonga & Young Stunna),257411
Fivio Foreign,City of Gods,255747
Dua Lipa,Don't Start Now,255441
Mduduzi Ncube,Langa Linye,254936
Kelvin Momo,Fool Me,253693
Drake,Falling Back,252074
Bruno Mars,Smokin Out The Window,250865
Pushkin & Springle,Welele - Extended Version,250340
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),250130
Black Sherif,Kwaku the Traveller,249196
Mr JazziQ,Hade (feat. Dinky Kunene & Mellow & Sleazy),248998
Myztro,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",248664
Coolkiid Da Vocalist,Nhliziyo,245906
Konke,M'nike - Radio Edit,245823
Focalistic,Tabela Hape,242082
Kendrick Lamar,Rich - Interlude,241269
PARTYNEXTDOOR,Break from Toronto,241185
Soa Mattrix,Dropline,240614
Kendrick Lamar,Crown,238780
Drake,Texts Go Green,238554
Kendrick Lamar,Mr. Morale,238542
evvz,At All,238204
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],236392
Drake,Jumbotron Shit Poppin,236352
Cassper Nyovest,Siyathandana,235466
XXXTENTACION,Everybody Dies In Their Nightmares,233008
Barto,H2O,230060
Felo Le Tee,Hayi,229576
Becky Hill,My Heart Goes (La Di Da) (feat. Topic),228479
Tisto,10:35,227904
Sleepy Hallow,Die Young (feat. 347aidan),227754
rum.gold,Call It What You Want,227657
Aymos,Mama,227182
Nasty C,Born To Win,223211
Mr JazziQ,"Baleka (feat. Nokwazi, DJ Biza & Tsiki XII)",222468
Harry Styles,Matilda,221998
BLACKPINK,Shut Down,220600
The Weeknd,Out of Time,219784
21 Savage,3AM on Glenwood,219382
Kendrick Lamar,Auntie Diaries,218256
Big Nuz,Ngeke,218247
Future,I'M ON ONE (feat. Drake),217835
Freddie Dredd,Limbo,216933
Ed Sheeran,Beautiful People (feat. Khalid),216773
A-Reece,BAD GUY,214935
lil Shordie Scott,Rocking A Cardigan in Atlanta,212781
Labrinth,Im Tired (with Zendaya) - Bonus Track,212177
Victony,Soweto,211939
Kendrick Lamar,Savior - Interlude,211137
