source,streams,count_main_artist,count_track_name
PTKF,327780559,1,1
Winners Circle/RCA Records,326973960,1,2
Masterworks,325548018,2,5
Elektra France,324813807,1,3
Friends Keep Secrets/Interscope Records,323433213,1,2
Universal Music LLC,322732167,2,3
BloodPop/DJ/RMBG/Republic,322461469,1,1
Scumgang Records,319928345,1,4
Friends Keep Secrets/Def Jam Recordings/Interscope Records,316694792,1,1
UME - Global Clearing House,311702611,5,5
Big Beat Records,309175011,3,6
Kygo/RCA Records,308371762,1,3
Quality Control/Motown Records,304172081,1,7
Positiva,302783493,1,5
Kordhell,296423695,1,1
LOMIORECORDS,296371503,1,2
Sony Music Entertainment India Pvt. Ltd.,294612165,3,4
CAPITOL CATALOG MKT (C92),293469838,1,3
WM Chile,292409299,1,2
2018,288741653,2,3
Rich The Kid / (TDE/ISR PS),288566090,1,3
Mosley Music/Interscope Records,285997600,1,3
Roc Nation / Rihanna,285201643,1,4
Chris Brown Entertainment/300 Entertainment/RCA Records,284236722,1,1
Four Music Local,283539306,1,10
DCD2 / Fueled By Ramen,283309482,1,5
Negative Gain Productions,281007749,1,1
Rhino,279939817,2,3
Getting Out Our Dreams II / Def Jam Recordings,279558486,1,12
Selena Gomez Latin Project,279549275,1,3
Bad Boy / Interscope,277257171,1,6
EMI Catalogue,277016315,1,1
Rich Music/Ingrooves Records,273516010,2,4
Mavin Records/Jonzing World,271243697,1,1
Grupo Frontera,270040067,1,1
Kemosabe Records/RCA Records/Sony Music Latin,267903862,1,1
Commission/BMG,267158306,1,1
Rancho Humilde,266536671,4,4
AWGE Label,265997897,1,4
"2018 Flow La Movie, Inc.",264870584,1,1
Paul McCartney Catalog,261149948,1,1
DEL Records,261064982,1,2
WM Italy,258905847,2,2
8123 / Arista Records,257784611,1,1
Guwop Enterprises/Atlantic,255125324,1,4
Wolf+Rothstein/RCA Records,253510816,1,3
RCA Records Label Nashville,249009372,2,4
P2019,246728931,1,2
Virgin Music México,245610870,1,1
Big Brother,245317307,1,1
Virgin Music Label And Artist Services (S&D),244287297,2,3
ICY/Warner Records,244269655,1,1
Rimas (J Balvin - Jowell & Randy),242457404,1,1
Black Butter,241614322,2,2
Rec. 118,239900915,2,4
CJ Music Group/T-Series,231603951,1,1
Shots Studios & Music/10:22pm/Interscope Records,230158907,1,1
Decaydance/Fueled By Ramen,225144929,2,2
Sony Music CG,223945187,1,1
EMI Recorded Music Australia Pty Ltd,220671782,1,4
"Ultra Records, LLC",220347011,1,2
GR6 Music,218456620,4,4
Villa 40/RCA Records,218366483,1,1
Roc Nation W Smith P&D,214021308,1,1
Epic/Record Company TEN,213519484,1,6
Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,213494363,1,1
Last Kings Music / EMPIRE,213321238,1,2
Sony Music México,213067410,3,3
Sweet Jane Recordings,211709519,1,1
Urban,209823942,8,18
SOURCE MUSIC,207320940,1,2
NITRON music,207238320,1,1
Photo Finish Records,206688452,1,1
Perfect Havoc / Asylum Records,205268468,1,1
"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",204121832,1,2
BorderKid Records/Sony Music Latin,199854251,1,1
King Records,199756508,1,1
"Spiff TV, LLC / Real Hasta La Muerte, Inc.",198413705,1,1
A$AP Worldwide/Polo Grounds Music/RCA Records,196650602,2,11
UNI/MOTOWN,196112357,3,4
OVO Sound,195588154,3,4
Warner Music India,193790951,1,1
Uptown / Republic Records,191931870,1,1
Nacho,190519051,1,1
Best Laid Plans/Columbia,189152276,1,2
JG Shows,187854035,1,3
Baby Records Inc,187846448,1,1
"Three Name Productions, Inc./ Island Records & Republic Records",187407722,1,2
"Hotel Ugly, under exclusive license to Amuseio AB",187190014,1,2
"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",185262180,1,12
BMG Rights Management (US) LLC,183176207,3,8
Not specified,180485304,3,3
Universal Music Italia srL.,179783634,9,17
ByStorm Entertainment/RCA Records,177142461,2,2
Hell Beach Catalog,173202437,1,2
Roc Nation/Def Jam/Hollywood,171117149,2,3
Columbia/Last Kings Records,170419332,1,3
Indeciso,169278501,1,1
Universal Music Division Island Def Jam,169180472,2,3
Tonspiel,168903954,1,2
5K Records Limited,168661751,1,1
Highbridge The Label,166087776,1,1
"Monster Mountain, LLC / Island",164604174,1,1
La Mafia Urbana Corp.,164498841,1,1
Play It Again Sam,164209016,1,1
DALE PLAY Records / Flakk Team,163303526,1,2
SBA Production,162125614,1,1
0207 Def Jam,161615951,2,2
Mom+Pop,160995284,2,2
FADER Label,160596557,1,1
INTERWORLD,159283269,1,1
Musical Freedom,157504067,1,1
Young Money/Cash Money Records,155390255,1,3
RCA Victor,154937559,1,2
Silver Cloud/Charlie's Angels,154837715,1,2
Question Everything/RCA Records,154719621,1,2
Room28,148886221,1,1
Mad Decent,147470566,2,2
Virgin Music Chile,147382738,1,1
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,147033524,1,1
All We Got Ent.,146616851,1,2
One Umbrella Records,145696587,1,1
Red Zone Entertainment / IDJ,145612635,1,1
Sony Music Argentina,145530200,1,1
WM UK,144190297,1,1
Apple Orchard Music,142070539,1,1
"EP Entertainment, LLC / Def Jam",141761088,1,2
2Chainz PS/Def Jam,141581495,1,3
UMLE - Machete,141188686,2,2
5020 Records,138832391,1,3
Lil Peep,137487883,1,4
W.A.V.E. Recordings/EMPIRE/Atlantic,136678352,1,1
Los Oidos Fresh/ Los Proximos,135776730,1,1
Guns N Roses P&D,135545545,1,1
Atlantic Records/ATG,134850178,1,1
Universal Music Mexico,134751671,2,3
Chance the Rapper,133010294,1,6
DALE PLAY Records / SSJ Records,132403311,1,3
Highbridge the Label / Atlantic Records,132202445,1,7
S-Curve Records,131980690,3,3
Bagua Records,131288711,1,1
Keep Cool/RCA Records,129277021,1,2
Carbon Fiber Music,128657047,1,1
Columbia Records/Duars Entertainment/Sony Music Latin,128539499,1,2
Mi Gente Remix,125326484,1,1
STARSHIP Entertainment,122982008,1,2
Spinnin' Remixes,122598656,1,1
Harbour Artists & Music,121660751,1,1
Universal Music Latino,121463124,1,1
NEUEN,121426438,1,1
Epic/Sing It Loud,121233743,1,2
WM Korea,120519498,1,2
Geffen*,119998559,2,2
Benny Blanco Major,119671396,1,3
"Slaughter Gang, LLC",119012838,1,2
STREET MOB,118576097,1,1
Mr. 305 Records,117267607,1,1
Global Gemini,116189090,1,1
1400 Entertainment / 10K Projects,115841228,1,1
MMG/Atlantic,115250236,1,2
Jnr Choi/Epic,114291711,1,1
Hoffman West/Columbia,111735595,1,1
"2020 Flow La Movie, Inc. | Powered by GLAD Empire, LLC",111620242,1,1
AWGE/Interscope Records,110515007,1,2
Reprise,110499292,2,3
Little Worry/RCA Records,110422596,1,1
Republic/Universal/FSF,109875183,1,1
URBAN,107441443,2,7
"Homemade Projects, LLC / TenThousand Projects",107359359,1,1
OWSLA/Atlantic,106788075,1,3
La Pantera,106044885,1,1
Red Bull Records Inc. / Evgle LLC,105790086,1,1
2019 Casablanca Records & One World Music | Distributed by GLAD Empire,105374998,1,2
Republic Records - ITZY,105176004,1,4
Relentless Records,104777145,2,3
"Babilonia Music, S.A. De C.V.",104562515,1,1
Spaceship Entertainment Ltd.,103250128,1,1
Universal Music Argentina S.A.,103063080,1,1
Worldshow Promoções e Eventos,102286371,1,1
Giraffe Pakistan,102225241,1,1
Armada Music,101692040,2,2
Run It Up Records/Island,101665145,1,1
Columbia Local,101468511,2,2
sped up nightcore,101465382,1,1
"Rottweilas, Inc.",101241335,1,1
"Legendbound, LLC / Def Jam Recordings",101156244,1,1
Petit Biscuit,99383057,1,1
Black Crow Records,98922580,1,1
"Republic Records/Moon Projects, LLC.",97874159,1,1
Young Flex/Interscope Records,97835682,1,2
Starship Entertainment,97793778,1,2
P NATION,97322354,2,2
Prajin Records,96368321,1,1
Airforce1,95953116,1,1
Disruptor Records/Arista Records,95524954,1,1
Insanity Records,94763591,1,1
AgroPlay,94609884,1,1
Mac’s Record Label,94388881,1,1
GUETTO RECORDS,94313927,1,1
"Zelig Records, LLC./Columbia Records",93339639,1,1
Blackened Recordings / Universal Music,93254765,1,1
Milkshake,93068558,1,1
Sweat It Out,92932229,1,1
"Scumgang Records/TenThousand Projects, LLC",92883841,1,2
Superority,91977653,1,1
Parlophone Records Limited,91413841,1,1
Yng Lvcas,91308735,1,1
