main_artist,streams
Nicole Elocin,25958
TOTO,25496
Bryan Adams,25423
Ntokzin,25374
Mfr Souls,25117
FATMAN,24798
Whitney Houston,24750
Luude,24608
Jay,24357
Majestic,24094
Black Eyed Peas,24018
Ntosh Gazi,23992
Appel,23881
$NOT,23789
The Police,23724
Lira,23719
UNLIMITED SOUL,23475
Marcus MC,22388
INNOVATIVE DJz,21646
