source,streams
"2020 Flow La Movie, Inc. | Powered by GLAD Empire, LLC",111620242
AWGE/Interscope Records,110515007
Reprise,110499292
Little Worry/RCA Records,110422596
Republic/Universal/FSF,109875183
URBAN,107441443
"Homemade Projects, LLC / TenThousand Projects",107359359
OWSLA/Atlantic,106788075
La Pantera,106044885
Red Bull Records Inc. / Evgle LLC,105790086
2019 Casablanca Records & One World Music | Distributed by GLAD Empire,105374998
Republic Records - ITZY,105176004
Relentless Records,104777145
"Babilonia Music, S.A. De C.V.",104562515
Spaceship Entertainment Ltd.,103250128
Universal Music Argentina S.A.,103063080
Worldshow Promoções e Eventos,102286371
Giraffe Pakistan,102225241
Armada Music,101692040
Run It Up Records/Island,101665145
Columbia Local,101468511
sped up nightcore,101465382
"Rottweilas, Inc.",101241335
"Legendbound, LLC / Def Jam Recordings",101156244
Petit Biscuit,99383057
Black Crow Records,98922580
"Republic Records/Moon Projects, LLC.",97874159
Young Flex/Interscope Records,97835682
Starship Entertainment,97793778
P NATION,97322354
Prajin Records,96368321
Airforce1,95953116
Disruptor Records/Arista Records,95524954
Insanity Records,94763591
AgroPlay,94609884
Mac’s Record Label,94388881
GUETTO RECORDS,94313927
"Zelig Records, LLC./Columbia Records",93339639
Blackened Recordings / Universal Music,93254765
Milkshake,93068558
Sweat It Out,92932229
"Scumgang Records/TenThousand Projects, LLC",92883841
Superority,91977653
Parlophone Records Limited,91413841
Yng Lvcas,91308735
Sony Music Labels Inc.,91047386
Otto Dynamite/RCA Records,90467455
RB Music,89997136
Atlantic Records/Asylum,89991717
SM Entertainment,89929743
XO Records,88404734
Big Loud / Republic,87824465
El Cártel de Los Ángeles,86251568
SSJ Records / DALE PLAY Records,85743969
Last Gang,85601498
Raim Laode,84518585
"TenThousand Projects, LLC",84051384
Dave / Neighbourhood Recordings,83089567
Epic/CMG,82715566
Chess Club/RCA Victor,81590055
Warner Bros.,81128639
Robots & Humans,81123322
Republic Records – NAYEON (TWICE),81089021
Wesley Safadao,80631023
Shady Records,80329014
"Duars Entertainment, Corp.",80049862
Joseph Jonas/Republic Records,79024379
La Mafia del Perreo,78233215
Aerosmith P&D - Sony,77475802
:):,75368928
Sua Música,75075833
Open Mic Productions,74653376
Lizos Music,74198084
RUN-UP RECORDS,74112032
Rex Orange County,73676871
Doomshop Records/RCA Records,73588094
BZR Music,73433900
NITRON concepts,73306635
Hits records,72935462
Rock The World/IDJ/Kanye/LP6,72508998
©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),72033746
Universal Music Italia srL. (Sugar),71198909
Atlantic/Sniper Gang,70319736
"Records Label, LLC",70115448
River House Artists/Columbia Nashville,70060071
Rich Music/Interscope Records,69496831
P2020,69338127
187 Strassenbande,68685202
New Wav Music Group / Island Prolific / EMPIRE,68072355
Bra Musik,67866241
Niack,67382400
bbno$,67127132
"Homemade Projects, LLC / TenThousand Projects, LLC",66642974
ScumGang Records / TenThousand Projects,66078214
RCA Bluebird,66011175
Decaydance/Fueled By Ramen/ATL,64975059
ICY/Artistry Records/Warner Records,64957658
"MARVEL/Hollywood Records, Inc./Interscope Records",64885788
APG Inc – FF10,63900813
1944121 Records DK,63114186
"Flow La Movie, Inc",62302341
world in red,61749667
Broken Bow Records,61416473
Zoo Digital,60862762
5 Seconds Of Summer/Interscope,60357455
El Cartel Records,60061228
"Genie Music Corporation, Stone Music Entertainment",59472805
FAMM,59458014
DJ Ivis,58983917
YEAR0001,58646617
Quality Control Music - Epic,58287328
Mainstreet Records,57894306
"Producciones Ladon, S.A de C.V.",57233501
Parkwood Entertainment/Roc Nation,56264355
CYB3RPVNK,55630210
