main_artist,country
Gee Six Five,ZA
BLEU,USA
King Modana,ZA
Tiwa Savage,UK
pewdiepie,Sweden
TiMO ODV,ZA
Salatiel,Cameroon
Tyler,USA
Alicia Keys,USA
Nija,USA
Tekno,Nigeria
Heavy-K,ZA
Blaqnick & MasterBlaq,ZA
Earth,USA
Davido,Nigeria
Kate Bush,UK
Konke,ZA
Armani White,USA
Nissi,Nigeria
Dj Boat,Ghana
Kizz Daniel,Nigeria
Droomsindroom,ZA
Lojay,Nigeria
Nicky Youre,USA
MashBeatz,ZA
Leah Kate,USA
Marcus MC,ZA
Southside,USA
INNOVATIVE DJz,ZA
Carolina Gaitn - La Gaita,Colombia
Villosoul,ZA
Dj Karri,ZA
Farruko,Puerto Rico
Drizzy Sam Rsa,ZA
AnnenMayKantereit,Germany
Tom Odell,UK
Tevin Campbell,USA
Yung Lean,Sweden
Ruth B.,Canada
Em Beihold,USA
Jung Kook,South Korea
Yeat,USA
JAY-Z,USA
Omah Lay,Nigeria
Elley Duh,USA
Jessica Darrow,USA
Mary J. Blige,USA
Black Sherif,Ghana
Lucky Daye,USA
Lauren Spencer-Smith,Canada
Uncle Waffles,ZA
Lira,ZA
Kevin Gates,USA
Nicole Elocin,ZA
Dove Cameron,USA
lil Shordie Scott,USA
Chase Atlantic,Australia
Pheelz,Nigeria
$NOT,USA
Zuko SA,ZA
Senior Oat,ZA
DJ Hlo,ZA
Mduduzi Ncube,ZA
Lil Durk,USA
Sam Deep,ZA
The Game,USA
Benny The Butcher,USA
The Walters,USA
Mzux Maen,ZA
Fivio Foreign,USA
Frenzyoffixial,Nigeria
Stray Kids,South Korea
S'Villa,ZA
Jnr Choi,UK
Muni Long,USA
William Last KRM,Botswana
Zoocci Coke Dope,ZA
Cat Burns,UK
Coi Leray,USA
Venom,UK
Lebza TheVillain,ZA
9umba,ZA
Luude,Australia
Daliwonga,ZA
Fireboy DML,Nigeria
Goya Menor,Nigeria
2 Chainz,USA
Wanitwa Mos,ZA
Emotionz DJ,ZA
Emmy Meli,USA
Caltonic SA,ZA
Mthunzi,ZA
SALES,USA
DJ Ngwazi,ZA
Q-Mark,ZA
Karyendasoul,ZA
Drip Gogo,ZA
Prince Benza,ZA
Jaymes Young,USA
Eloff,ZA
Demi Lee Moore,ZA
Theuns Jordaan,ZA
RealestK,Canada
Jay,ZA
Becky Hill,UK
Will Linley,ZA
Iyanya,Nigeria
GAYLE,USA
Ch'cco,ZA
FelixThe1st,UK
Niniola,Nigeria
MDU aka TRP,ZA
Musketeers,ZA
ACRAZE,USA
MDU aka TRP,ZA
Musketeers,ZA
ACRAZE,USA
347aidan,Canada
Ntokzin,ZA
MKTO,ZA
Gabry Ponte,Italy
Nomfundo Moh,ZA
Joeboy,Nigeria
Q Twins,ZA
Amaarae,USA
Msaki,ZA
Benson Boone,USA
TDK Macassette,ZA
Sdala B,ZA
NEIKED,Sweden
BoyWithUke,USA
TuksinSA,ZA
Swedish House Mafia,Sweden
Adele,UK
Audiomarc,ZA
Die Heuwels Fantasties,ZA
Abidoza,ZA
LISA,Korea
Slade,UK
Realestk,Canada
Young Stunna,ZA
Khanyisa,ZA
Dax,Canada
Nardo Wick,USA
Njelic,ZA
Skylar Grey,USA
Kvng Vinci,USA
Nkosazana_Daughter,ZA
Kevboii,ZA
Mfana Kah Gogo,ZA
evvz,Sweden
$uicideboy$,USA
Gobi Beast,ZA
Tems,Nigeria
Sir Trill,ZA
Soa mattrix,ZA
2 ChaiNew Zealand,USA
21 Savage,USA
24kGoldn,USA
25K,ZA
5 Seconds of Summer,USA
6LACK,USA
6ix9ine,USA
A Boogie Wit da Hoodie,USA
A$AP Ferg,USA
A$AP Rocky,USA
A-Reece,ZA
AC/DC,USA
AJR,USA
AKA,ZA
ANATII,ZA
ATB,Germany
AURORA,Germany
AVAION,Germany
Afro Music,Germany
Agust D,Korea
Alan Walker,USA
Alec Benjamin,USA
Alessia Cara,USA
Alesso,Sweden
Alexander 23,USA
Alfa Kat,ZA
Ali Gatie,Canada
Amanda Black,ZA
Ami Faku,ZA
Amin,USA
Amu Classic,ZA
Anderson .Paak,USA
Andile Mpisane,ZA
Andy Grammer,USA
Andy Williams,USA
Anne-Marie,USA
Ant Saunders,USA
Anuel AA,Puerto Rico
Appel,ZA
Arctic Monkeys,USA
Ari Lennox,USA
Ariana Grande,USA
Arizona Zervas,USA
Armin van Buuren,ZA
ArrDee,UK
Ashe,USA
Ashley O,USA
Ashnikko,USA
Aubrey Qwana,ZA
August Alsina,USA
Ava Max,USA
Avicii,Sweden
Avril Lavigne,USA
Axwell /\ Ingrosso,Sweden
Aymos,ZA
Azana,ZA
BANNERS,UK
BENEE,New Zealand
BIA,USA
BLACKPINK,South Korea
BRNS,Belgium
BROCKHAMPTON,USA
BTS,South Korea
Baby Keem,USA
Bad Bunny,Puerto Rico
Bad Wolves,USA
Balcony Mix Africa,ZA
Band Aid,UK
Bas,USA
Bastille,UK
Bazzi,USA
Bea Miller,USA
Bebe Rexha,USA
Bella Poarch,USA
Belly,Canada
Bernice West,ZA
Beyonc,USA
