source,streams,count_main_artist,count_track_name
Pushkin and Springle,612530,2,1
Side Hustle,599791,1,1
Winnkay Music,583374,1,1
TGR Music Group,582126,1,1
Masterworks,576598,1,3
Highbridge the Label / Atlantic Records,574223,1,4
Selena Gomez PS,573329,1,1
Dreamville/Interscope Records,566594,3,21
Walt Disney Records,565532,2,2
Elevation Worship Records,565201,1,5
"DJ Snake Music Productions Limited, under exclusive license to Geffen Records",560996,1,1
Rhino/Warner Records,558644,2,2
"Slaughter Gang, LLC/Epic Records",555065,1,8
Benny Blanco Solo Album PS,554707,1,2
A&M,552956,1,1
"Scumgang Records/TenThousand Projects, LLC",552102,1,7
5 Seconds Of Summer/Interscope,547226,1,4
"Young Money Records, Inc.",545650,1,24
Geffen,542177,4,4
Red Zone Entertainment / IDJ,537546,1,2
Scumgang Records,536629,1,2
0207 Def Jam,535211,1,2
Feel Good Music,534663,1,1
Joytime Collective,528873,1,4
eMtee Records,525509,1,15
JVKE,524913,1,1
Young Money/Cash Money Records,523763,1,20
Beam Group,520348,1,14
Yano World,518908,1,1
ByStorm Entertainment/RCA Records,514377,1,2
Jozi Entertainment,511822,2,2
Universal Music (Pty) Ltd. Distribution Deals,506675,4,4
Sony Music UK,505152,1,1
Range Music/Capitol Records,501928,1,1
J. Cole P&D,500324,1,13
EMI / Interscope,497092,1,1
Glassnote Entertainment Group LLC,496542,2,2
Wa Wa/EMEXTEE,495682,1,1
Zain's World,492326,1,1
Twenty Nine Music Group,491017,1,3
Toss Indabakabani,490429,1,1
Epic/Record Company TEN,486187,1,3
1400 Entertainment / 10K Projects,485294,1,1
Black Panther (TDE/DMG) PS,472353,2,2
ALTBLK (Oneshushuday),469832,1,2
"Quality Control Music, LLC",469825,4,9
FAX Records/Epic,466587,1,1
Revenge Club Records,465315,1,9
Columbia/Legacy,460472,4,4
Quality Control/Motown Records,460075,1,6
AWGE/Interscope Records,439687,1,5
WM Italy,437109,1,1
Born In Soweto/House Afrika/De Mthuda & Njelic,435778,1,1
P2019,435358,1,3
Lyf Styl Entertainment,412220,1,1
MCA Nashville,401308,1,1
Palm Tree Records/RCA Records,401214,1,1
ESK MUSIQ,395572,1,1
OuttaThisWorld,394092,1,2
Red Bull Records Inc. / Evgle LLC,392397,1,1
"100 Entertainment, Inc",388497,1,1
Atlantic Records/ATG,387542,1,1
Eye 'N See Entertainment,380757,1,1
One Umbrella Records,373111,1,2
Golden Child Recordings,368452,1,9
Guwop Enterprises/Atlantic,368319,1,2
Jnr Choi/Epic,367330,1,1
8123 / Arista Records,366532,1,1
FAMM,360235,1,11
Cactus Jack / WeRunIt Ent. / Atlantic,353804,1,9
10:22 pm,353044,1,3
"Zelig Records, LLC./Columbia Records",348093,1,1
Hollywood Records,343434,4,4
Ziiki Media,334771,3,3
NITRON music,334736,1,1
Commission/BMG,334367,1,2
Legacy Recordings,330908,5,5
EQT Recordings/Capitol Records,328472,1,2
Music World Music/Columbia,322092,1,1
Fueled By Ramen,321489,1,6
BPG/RVG/RCA Records,320234,1,10
Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,315754,3,11
CMG/Interscope Records,313887,1,1
"Republic Records/Moon Projects, LLC.",311690,1,1
Sir Trill Music,301114,1,2
Centricity Music/Warner Records,300655,1,1
Wolf+Rothstein/RCA Records,295768,1,3
Internet Money / 10K Projects,295022,1,1
EMPIRE,291506,1,1
Boohle Music,287036,1,2
Boys Don't Cry,285362,1,1
Domino Recording Co,280922,1,4
Musical Freedom,271190,1,1
Balcony Mix Africa,268316,1,1
King Monada Music,265966,1,1
Field Trip Recordings/Geffen Records,259474,1,1
Atlantic Records/Asylum,259311,2,3
1211 Group,257814,1,1
"Big Machine Records, LLC",256343,2,3
"Homemade Projects, LLC / TenThousand Projects",256035,1,1
RichFish/Columbia,255747,1,1
Flourish and Multiply,251381,1,3
Fyve,250340,1,1
Blacko Management / EMPIRE,249196,1,1
Capitol Records (US1A),247677,1,2
TAYO Projects / The T Effect,245823,1,1
Blaqwav ENT.,244370,1,1
Roc-A-Fella,242609,1,4
S-Curve Records,241581,1,1
OVO Sound,241185,1,1
P2020,240870,2,2
New Wav Music Group / Island Prolific / EMPIRE,240709,1,1
Black Butter,240491,3,3
Top Dawg Entertainment/Warner Records,238003,1,8
Sony Music Latin,235433,4,4
NEON16/Friends Keep Secrets/Interscope Records,232376,1,1
Fifth Amendment Entertainment/eOne Music,229769,1,1
Surf Curse,229375,1,1
Bigcitydreams Records,229266,1,1
Leola LLC,227657,1,1
DJs Production,227182,1,1
Silver Cloud/Charlie's Angels,227174,1,2
Atlantic/Sniper Gang,226744,1,1
Lost kids,224975,1,1
Relentless Records,224315,2,2
Cyfred Records,221710,1,1
Mosley / Interscope,220765,1,2
Mad Love/Interscope Records,219082,1,7
P2018,218427,1,1
Roc Nation LLC,218035,1,1
Doomshop Records/RCA Records,216933,1,1
Nineleven Music,216087,1,1
Mostiko,213637,1,3
JazziDisciples ENT,213029,2,3
SCMG / SCE / EMPIRE,212781,1,1
Sony Music Entertainment,212369,1,1
Ultra Records,208070,2,3
Rhino,207702,2,3
DJ Snake Music Productions Limited,207353,1,3
Mawhoo,206274,1,1
Rare Breed Entertainment,206047,1,1
Titch Gang Records,202819,1,2
Top Dawg Entertainment/Interscope Records,200793,1,13
Jay O Records,197363,1,1
Hooch Entertainment Group/Hooch Events,196152,1,1
De Disciple Records,191362,1,2
Cinematic/Epic/We The Best,186543,1,1
Bad Boy / Interscope,186220,1,5
ICY/Artistry Records/Warner Records,179216,1,2
Rich The Kid / (TDE/ISR PS),178453,1,4
"1400 Entertainment, Inc. / 10K Projects",177577,1,4
Murumba Pitch,176781,1,1
The Plug Entertainment,175866,1,1
Winners Circle Entertainment Inc / EMPIRE,174784,1,1
Matjita Ent/Amana ka! Music,168971,1,1
Mom+Pop,168765,1,1
VS Mobile,165387,1,1
YEAR0001,164838,1,1
Decaydance/Fueled By Ramen,164807,1,1
"UMG Recordings, Inc.",163072,4,4
Independent,162430,2,2
1020 Cartel,160056,1,4
Matiwane Records (PTY) LTD,158719,1,1
Kemosabe / RCA Records / Last Kings Music / EMPIRE,155379,1,1
Mass Appeal,155178,1,8
Sweet Jane Recordings,153615,1,1
Disruptor Records/Arista Records,152877,1,1
Quality Control Music/Alamo Records/Motown Records,151182,1,2
Ville Records,150862,1,1
