main_artist,unique collaborators,streams
Carolina Gaitn - La Gaita,Mauro Castillo,35415.933333333334
Carolina Gaitn - La Gaita,Rhenzy Feliz,35415.933333333334
Carolina Gaitn - La Gaita,Stephanie Beatriz,35415.933333333334
Cash Cash,ABIR,4411.4
Cashmere Cat,Major Lazer,2152.0
Cashmere Cat,Tory Lanez,2152.0
Cassper Nyovest,Abidoza,53896.52272727273
Cassper Nyovest,African Gospel Singers,24616.0
Cassper Nyovest,Anthony Hamilton,44673.0
Cassper Nyovest,Apu Sebekedi,37773.0
Cassper Nyovest,Bas,37773.0
Cassper Nyovest,Boohle,56840.525
Cassper Nyovest,Busiswa,42541.0
Cassper Nyovest,DJ Lemonka,22875.0
Cassper Nyovest,Frank Casino,7495.0
Cassper Nyovest,HHP,22875.0
Cassper Nyovest,Kammu Dee,24456.5
Cassper Nyovest,Khuli Chana,22875.0
Cassper Nyovest,Langa Mavuso,38291.0
Cassper Nyovest,Legendary P,42541.0
Cassper Nyovest,LuuDaDeejay,24456.5
Cassper Nyovest,Mo Molemi,22875.0
Cassper Nyovest,Nadia Nakai,29496.0
Cassper Nyovest,PROKID,29882.0
Cassper Nyovest,Phantom Steeze,26626.0
Cassper Nyovest,RAYE,27711.666666666668
Cassper Nyovest,Samthing Soweto,37770.333333333336
Cassper Nyovest,Tellaman,24616.0
Cassper Nyovest,Towdee Mac,22875.0
Cassper Nyovest,Tuks,22875.0
Cassper Nyovest,Tweezy,27848.0
Cassper Nyovest,WESTSIDE BOOGIE,33636.0
Cassper Nyovest,YoungstaCPT,37773.0
Cassper Nyovest,Zola 7,36708.333333333336
Casswell P,Lwami,79668.2
Casswell P,Master KG,79668.2
Ch'cco,Focalistic,84387.12
Ch'cco,Mellow & Sleazy,88993.20370370371
Chance the Rapper,DaBaby,10864.0
Chance the Rapper,Death Cab for Cutie,8913.0
Chance the Rapper,John Legend,8219.0
Chance the Rapper,MadeinTYO,10864.0
Chance the Rapper,Murda Beatz,8239.0
Chance the Rapper,TisaKorean,8239.0
Charli XCX,Troye Sivan,5966.75
Charlie Puth,BTS,36271.78947368421
Charlie Puth,Jung Kook,36271.78947368421
Charlie Puth,Kehlani,3289.25
Cheat Codes,Little Mix,5462.875
Chle,Chris Brown,49327.0
Chris Brown,BLEU,43270.0
Chris Brown,Blxst,35090.0
Chris Brown,Bryson Tiller,41029.0
Chris Brown,Capella Grey,39458.5
Chris Brown,Drake,25951.409638554218
Chris Brown,EST Gee,32053.0
Chris Brown,Ella Mai,41394.0
Chris Brown,Fivio Foreign,38283.0
Chris Brown,G,7961.0
Chris Brown,Gunna,10248.533333333333
Chris Brown,H.E.R.,28049.0
Chris Brown,Ink,14735.888888888889
Chris Brown,Jack Harlow,37148.25
Chris Brown,Justin Bieber,14735.888888888889
Chris Brown,Lil Baby,48328.0
Chris Brown,Lil Durk,39458.5
Chris Brown,Lil Wayne,43270.0
Chris Brown,Nicki Minaj,7961.0
Chris Brown,WizKid,56417.083333333336
Chris Brown,Wizkid,62378.0
Chris Brown,Young Thug,36399.19117647059
Chris Brown,Eazy,7961.0
Clean Bandit,24kGoldn,15583.0
Clean Bandit,Demi Lovato,11786.78431372549
Clean Bandit,Julia Michaels,5842.828571428571
Clean Bandit,Mabel,15583.0
Clean Bandit,Zara Larsson,4264.954545454545
Cochise,$NOT,27242.176470588234
Coi Leray,Nicki Minaj,34290.0
Coldplay,BTS,37595.23684210526
Coldplay,Selena Gomez,32415.5
Coolio,L.V.,10945.125
Cordae,Anderson .Paak,35017.0
Cordae,Roddy Ricch,15070.0
Costa Titch,Alfa Kat,28779.625
Costa Titch,Banaba Des,28779.625
Costa Titch,C'buda M,47772.0
Costa Titch,CBuda M,26066.428571428572
Costa Titch,DJ Maphorisa,20354.0
Costa Titch,Man T,28779.625
Costa Titch,Riky Rick,20354.0
Costa Titch,Sdida,28779.625
Curtis Waters,Harm Franklin,17407.4375
Cyfred,Fake Love,27713.75
Cyfred,Mellow & Sleazy,27713.75
Cyfred,Mr JazziQ,27713.75
Cyfred,Seekay,27713.75
DBN Gogo,Ama Avenger,56102.53571428572
DBN Gogo,Blaqnick & MasterBlaq,56102.53571428572
DBN Gogo,BoiBizza,41710.666666666664
DBN Gogo,Boontle RSA,48056.0
DBN Gogo,DJ Stopper,70400.5
DBN Gogo,Dinho,32635.45901639344
DBN Gogo,Eltonk SA,70400.5
DBN Gogo,Felo Le Tee,37016.86274509804
DBN Gogo,Hi Levelz,22480.033333333333
DBN Gogo,Kammu Dee,48056.0
DBN Gogo,Koek Sista,42463.290322580644
DBN Gogo,Lebza TheVillain,42463.290322580644
DBN Gogo,M.J,56102.53571428572
DBN Gogo,MaWhoo,41710.666666666664
DBN Gogo,Makhanj,42463.290322580644
DBN Gogo,Mpho Spizzy,48056.0
DBN Gogo,Mpura,56102.53571428572
DBN Gogo,Musa Keys,42463.290322580644
DBN Gogo,Optimist Music ZA,32635.45901639344
DBN Gogo,Pabi Cooper,57783.76190476191
DBN Gogo,QuayR Musiq,48056.0
DBN Gogo,Stixx,41710.666666666664
DBN Gogo,TNK MusiQ,70400.5
DBN Gogo,Xduppy,48056.0
DBN Gogo,Young Stunna,57783.76190476191
DDG,Blueface,17969.416666666668
DJ Big Sky,Gaba Cannal,18348.0
DJ Big Sky,LuuDeDeejay,20407.0
DJ Big Sky,Sbhanga,20235.416666666668
DJ Cleo,Bucy Radebe,20852.0
DJ Durel,Migos,3715.0
DJ Ganyani,Nomcebo,3605.4444444444443
DJ Hlo,Bob Mabena,26453.0
DJ Hlo,Lady Du,26453.0
DJ Jaivane,Record L Jones,20629.0
DJ Jaivane,Slenda Vocals,20629.0
DJ Khaled,070 Shake,9525.0
DJ Khaled,21 Savage,20562.1
DJ Khaled,A Boogie Wit da Hoodie,17972.0
DJ Khaled,Beyonc,3664.5
DJ Khaled,Big Sean,11521.5
DJ Khaled,Bryson Tiller,26360.0
DJ Khaled,Buju Banton,9525.0
DJ Khaled,Cardi B,12080.714285714286
DJ Khaled,CeeLo Green,7494.0
DJ Khaled,Chance the Rapper,11610.558139534884
DJ Khaled,Chris Brown,10990.166666666666
DJ Khaled,DaBaby,30797.0
DJ Khaled,Diddy,17972.0
DJ Khaled,Don Toliver,50631.0
DJ Khaled,Drake,39090.1282051282
DJ Khaled,Eminem,61636.0
DJ Khaled,Fridayy,72932.16666666667
DJ Khaled,Future,21720.76923076923
DJ Khaled,Gunna,23892.5
DJ Khaled,H.E.R.,23625.0
DJ Khaled,J Balvin,11512.0
DJ Khaled,JAY,50713.642857142855
DJ Khaled,James Fauntleroy,38943.5
DJ Khaled,Jeremih,19274.0
DJ Khaled,John Legend,67207.5
DJ Khaled,Juice WRLD,40454.0
DJ Khaled,Justin Bieber,12290.177777777777
DJ Khaled,Justin Timberlake,18627.0
DJ Khaled,Kanye West,38816.0
DJ Khaled,Kodak Black,40108.0
DJ Khaled,Lil Baby,45638.12903225807
DJ Khaled,Lil Durk,30239.666666666668
DJ Khaled,Lil Wayne,48991.34482758621
DJ Khaled,Mavado,9525.0
DJ Khaled,Meek Mill,14954.666666666666
DJ Khaled,Megan Thee Stallion,30797.0
DJ Khaled,Migos,23752.0
DJ Khaled,Nardo Wick,40108.0
DJ Khaled,Nas,28460.333333333332
DJ Khaled,Nipsey Hussle,15685.5
DJ Khaled,Post Malone,27249.75
DJ Khaled,Quavo,12654.65909090909
DJ Khaled,Rick Ross,70039.52631578948
DJ Khaled,Roddy Ricch,40988.666666666664
DJ Khaled,SZA,25474.0
DJ Khaled,Sizzla,9525.0
DJ Khaled,Takeoff,57551.0
DJ Khaled,Travis Scott,33619.5
DJ Khaled,Ye,84456.0
DJ Khaled,Z,50713.642857142855
DJ Maphorisa,2woshort,110818.26086956522
DJ Maphorisa,2woshortrsa,178425.14285714287
DJ Maphorisa,Busiswa,2452.75
DJ Maphorisa,DJ Raybel,6344.380952380952
DJ Maphorisa,DJ Tira,2452.75
DJ Maphorisa,Da Muziqal Chef,96273.67741935483
DJ Maphorisa,Daliwonga,68211.10752688172
DJ Maphorisa,Distruction Boyz,2452.75
DJ Maphorisa,Focalistic,49541.916666666664
DJ Maphorisa,Ftears,126593.2
DJ Maphorisa,K.O,6344.380952380952
DJ Maphorisa,Kabza De Small,42855.364583333336
DJ Maphorisa,MaWhoo,116712.13333333333
DJ Maphorisa,Madumane,87229.48387096774
DJ Maphorisa,Mawhoo,77112.625
DJ Maphorisa,Mellow & Sleazy,49541.916666666664
DJ Maphorisa,Mfr Souls,20525.146341463416
DJ Maphorisa,Mhaw Keys,13508.95652173913
DJ Maphorisa,Moonchild Sanelly,5721.72
DJ Maphorisa,Mpura,68484.85714285714
DJ Maphorisa,Nokwazi,21459.0
DJ Maphorisa,Rude Boyz,2452.75
DJ Maphorisa,Samthing Soweto,20525.146341463416
DJ Maphorisa,Sandy MRD,8978.0
DJ Maphorisa,Sha Sha,13339.333333333334
DJ Maphorisa,Shaunmusiq,126593.2
DJ Maphorisa,Sir Trill,62466.42857142857
DJ Maphorisa,Stompiiey,126593.2
DJ Maphorisa,Tyler ICU,68211.10752688172
DJ Maphorisa,Vigro Deep,21459.0
DJ Maphorisa,Visca,93770.74107142857
DJ Maphorisa,Zulu Mkhathini,6344.380952380952
DJ Ngwazi,Caltonic SA,36745.53846153846
DJ Ngwazi,Lowsheen,36745.53846153846
DJ Ngwazi,Master KG,36745.53846153846
DJ Ngwazi,Nokwazi,36745.53846153846
DJ Snake,21 Savage,8911.0
DJ Snake,Cardi B,15162.054054054053
DJ Snake,Gucci Mane,8911.0
DJ Snake,J Balvin,11506.533333333333
DJ Snake,Justin Bieber,5869.2
DJ Snake,Offset,8911.0
DJ Snake,Ozuna,15162.054054054053
DJ Snake,Selena Gomez,15443.157894736842
DJ Snake,Sheck Wes,8911.0
DJ Snake,Tyga,11506.533333333333
DJ Stokie,Ben Da Prince,40779.0
DJ Stokie,Bongza,21541.0
DJ Stokie,Daliwonga,22066.0
DJ Stokie,Focalistic,21541.0
DJ Stokie,Howard Gomba,21541.0
DJ Stokie,Kabza De Small,31400.147058823528
DJ Stokie,Loxion Deep,37979.666666666664
DJ Stokie,MaWhoo,55364.0
DJ Stokie,Madumane,30600.756756756757
DJ Stokie,Masterpiece YVK,31400.147058823528
DJ Stokie,Murumba Pitch,37979.666666666664
DJ Stokie,Nia Pearl,22066.0
DJ Stokie,Nkosazana_Daughter,40779.0
DJ Stokie,Nobantu Vilakazi,37979.666666666664
DJ Stokie,Ommit,50793.0
DJ Stokie,Oscar Mbo,55364.0
DJ Stokie,Sha Sha,19247.0
DJ Stokie,Sir Trill,37979.666666666664
DJ Stokie,Sobzeen,46222.0
DJ Stokie,TylerICU,19247.0
DJ Stokie,Zee_nhle,46222.0
DJ Sumbody,Cassper Nyovest,8097.0625
DJ Sumbody,Drip Gogo,43105.55
DJ Sumbody,Leehleza,11318.5
DJ Sumbody,Londie London,11318.5
DJ Sumbody,The Lowkeys,43105.55
DJ Sumbody,Thebe,8097.0625
