main_artist,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Bing Crosby,27991,12568,80823,20205.75,70,1,94,15423,2.342857142857143,2.2271642266072567,6
Black Coffee,31059,4750,1747400,16031.19266055046,8,51,192,26309,25.0,6.538736842105263,0
Black Eyed Peas,24018,9478,263470,14637.222222222223,95,1,105,14540,2.1052631578947367,2.534078919603292,0
Black Motion,16512,2071,33244,8311.0,148,1,46,14441,1.3108108108108107,7.972959922742636,7
Black Sherif,65217,30440,249196,41532.666666666664,25,1,103,34777,5.12,2.142477003942181,11
Blackstreet,2566,2172,7053,2351.0,171,1,23,394,1.1345029239766082,1.1813996316758748,4
Blanco Brown,13428,8280,103289,11476.555555555555,84,1,114,5148,2.357142857142857,1.6217391304347826,0
Blaq Diamond,64982,8999,2113152,29349.333333333332,8,2,185,55983,24.125,7.221024558284253,8
Blaqnick & MasterBlaq,30715,17450,273305,24845.909090909092,56,1,136,13265,3.4285714285714284,1.7601719197707737,2
BlocBoy JB,17581,3271,436885,8737.7,4,1,196,14310,50.0,5.374808926933659,7
Blue Ivy,38856,9836,303221,16845.61111111111,6,1,186,29020,32.0,3.950386335908906,0
Blueface,22961,6868,327086,12580.23076923077,26,1,159,16093,7.115384615384615,3.343185789167152,0
Blxckie,82693,19208,3847791,33170.612068965514,18,1,178,63485,10.88888888888889,4.305133277800916,8
Blxst,26972,22011,392397,24524.8125,106,3,87,4961,1.820754716981132,1.2253873063468266,2
Bobby Helms,80370,6277,373032,31086.0,14,2,184,74093,14.142857142857142,12.803887207264617,8
Boity,11616,5099,25098,8366.0,49,1,93,6517,2.8979591836734695,2.2780937438713473,7
Bok Van Blerk,18135,5605,77785,12964.166666666666,157,1,37,12530,1.2356687898089171,3.2355040142729705,0
Boney M.,13147,13147,13147,13147.0,184,2,0,0,1.0,1.0,0
Boohle,53947,17587,979614,27211.5,23,1,176,36360,8.652173913043478,3.067436174447035,2
BoyWithUke,49686,22775,1113736,31821.02857142857,42,1,151,26911,4.595238095238095,2.181602634467618,8
Brenda Lee,81465,5799,358851,32622.81818181818,15,2,181,75666,13.066666666666666,14.048111743404036,8
Brent Faiyaz,69292,12467,647133,23967.88888888889,13,2,178,56825,14.692307692307692,5.558033207668244,2
Brett Eldredge,15330,12707,28037,14018.5,44,1,153,2623,4.4772727272727275,1.2064216573542141,0
Bring Me The Horizon,13681,3930,23812,7937.333333333333,167,1,27,9751,1.1616766467065869,3.4811704834605597,7
Britney Spears,14316,10042,24358,12179.0,103,1,63,4274,1.6116504854368932,1.4256124278032265,0
Bruce Springsteen,15924,9776,25700,12850.0,109,1,26,6148,1.238532110091743,1.628887070376432,0
Bruno Mars,84020,2475,4129121,32770.80158730159,4,1,196,81545,50.0,33.94747474747475,8
Bryan Adams,26303,5943,552956,17837.290322580644,135,3,60,20360,1.4444444444444444,4.4258791855965,6
Bryce Vine,6477,4767,35151,5858.5,102,2,56,1710,1.5490196078431373,1.3587161736941473,4
Bryson Tiller,53240,14535,1433733,24719.53448275862,17,8,182,38705,11.705882352941176,3.6628826969384245,2
Burl Ives,31981,12034,86262,21565.5,74,2,93,19947,2.2567567567567566,2.657553598138607,6
Burna Boy,35684,7892,392013,14519.0,83,1,117,27792,2.4096385542168677,4.521540800810948,0
Busiswa,15868,15868,15868,15868.0,192,1,0,0,1.0,1.0,0
Busta 929,288009,18415,12964953,61155.438679245286,1,1,199,269594,200.0,15.639913114308987,1
Busta Rhymes,18127,18127,18127,18127.0,147,1,0,0,1.0,1.0,6
CJ,60339,15829,1391609,36621.28947368421,7,1,186,44510,27.571428571428573,3.811927474887864,3
CKay,87534,26601,2572031,50431.98039215686,14,1,157,60933,12.214285714285714,3.2906281718732378,9
CORPSE,26136,16058,128738,18391.14285714286,170,1,29,10078,1.1705882352941177,1.6275999501805953,6
Caltonic SA,27177,27177,27177,27177.0,158,1,0,0,1.0,1.0,2
Calum Scott,17269,2362,247677,8255.9,64,2,136,14907,3.125,7.311176968670618,7
Calvin Harris,30060,6726,1701775,13295.1171875,5,1,193,23334,39.6,4.469223907225691,0
CamelPhat,2090,2090,2090,2090.0,192,1,0,0,1.0,1.0,4
Camila Cabello,48080,2116,3009905,14827.118226600986,14,1,186,45964,14.285714285714286,22.722117202268432,0
Cardi B,114462,2310,5258268,21728.380165289258,1,1,197,112152,198.0,49.55064935064935,6
Carolina Gaitn - La Gaita,47873,23144,531239,35415.933333333334,44,29,127,24729,3.8863636363636362,2.068484272381611,3
Cash Cash,5258,4059,22057,4411.4,136,4,55,1199,1.4044117647058822,1.2953929539295392,4
Cashmere Cat,2822,1198,10760,2152.0,70,4,126,1624,2.8,2.35559265442404,4
Cassper Nyovest,123392,2515,3446565,42031.28048780488,1,3,196,120877,197.0,49.0624254473161,11
Cat Burns,26860,26164,79704,26568.0,162,2,11,696,1.0679012345679013,1.02660143708913,2
Ch'cco,198943,28795,2666108,95218.14285714286,4,1,139,170148,35.75,6.908942524743879,10
Chance the Rapper,13132,3678,62878,7859.75,54,1,139,9454,3.574074074074074,3.5704187058183794,7
Charli XCX,6239,5706,23867,5966.75,150,4,28,533,1.1866666666666668,1.093410445145461,4
Charlie Puth,40405,2226,703702,20105.77142857143,57,1,134,38179,3.3508771929824563,18.151392632524708,6
Chase Atlantic,25451,23776,73791,24597.0,159,39,34,1675,1.2138364779874213,1.070449192462988,2
Cheat Codes,6732,4637,87406,5462.875,66,1,134,2095,3.0303030303030303,1.4518007332326937,4
Childish Gambino,25060,2099,311062,8407.081081081082,1,1,199,22961,200.0,11.939018580276322,7
Chle,51535,26434,371959,37195.9,48,1,102,25101,3.125,1.9495725202390861,3
Chloe x Halle,18910,14085,203070,15620.76923076923,79,5,106,4825,2.3417721518987342,1.3425630102946398,0
Chris Brown,63444,6291,6902791,25192.667883211678,3,1,197,57153,66.66666666666667,10.08488316642823,2
Chris Rea,49036,12022,100463,25115.75,59,2,78,37014,2.3220338983050848,4.078855431708535,2
Christina Aguilera,6630,6630,6630,6630.0,189,1,0,0,1.0,1.0,7
Chuck Berry,25634,7005,47562,15854.0,152,1,47,18629,1.3092105263157894,3.659386152748037,0
Ciara,6741,4425,49605,5511.666666666667,77,1,107,2316,2.3896103896103895,1.5233898305084745,4
Clairo,19255,16340,70699,17674.75,123,4,62,2915,1.5040650406504066,1.1783965728274173,6
Clean Bandit,19901,1885,915037,8394.834862385322,6,1,194,18016,33.333333333333336,10.557559681697613,7
Cline Dion,12718,12718,12718,12718.0,195,1,0,0,1.0,1.0,0
Clinton Kane,35047,23040,332256,27688.0,88,1,76,12007,1.8636363636363635,1.5211371527777777,2
Cochise,30960,22636,463117,27242.176470588234,72,1,124,8324,2.7222222222222223,1.3677328149849797,2
Coi Leray,40937,27643,68580,34290.0,64,1,97,13294,2.515625,1.4809174112795283,3
