main_artist,artist_names,art_dict
Anuel AA,Wisin - Daddy Yankee - Farruko - Zion & Lennox,"{'Anuel AA': [' Daddy Yankee ', 'Wisin ', ' Zion & Lennox', ' Farruko ']}"
Anurag Saikia,Mismatched - Cast - Varun Jain - Amarabha Banerjee - Romy - Raj Shekhar - Madhubanti Bagchi,"{'Anurag Saikia': [' Madhubanti Bagchi', ' Amarabha Banerjee ', 'Mismatched ', ' Cast ', ' Raj Shekhar ', ' Romy ', ' Varun Jain ']}"
Anuv Jain,,{'Anuv Jain': ['']}
Apache 207,,{'Apache 207': ['']}
Aqua,,{'Aqua': ['']}
Arcane,Stromae - Pomme,"{'Arcane': ['Stromae ', ' Pomme']}"
Arcane,Ashnikko,{'Arcane': ['Ashnikko']}
Arcane,Twenty One Pilots,{'Arcane': ['Twenty One Pilots']}
Arcngel,Bad Bunny,{'Arcngel': ['Bad Bunny']}
Arcngel,Dmelo Flow - Sech,"{'Arcngel': ['Dmelo Flow ', ' Sech']}"
Arcngel,Romeo Santos - Sech,"{'Arcngel': ['Romeo Santos ', ' Sech']}"
Arctic Monkeys,,{'Arctic Monkeys': ['']}
Aretha Franklin,,{'Aretha Franklin': ['']}
Ariana Grande,,{'Ariana Grande': ['']}
Ariana Grande,Doja Cat - Megan Thee Stallion,"{'Ariana Grande': [' Megan Thee Stallion', 'Doja Cat ']}"
Ariana Grande,Normani - Nicki Minaj,"{'Ariana Grande': [' Nicki Minaj', 'Normani ']}"
Ariana Grande,John Legend,{'Ariana Grande': ['John Legend']}
Ariana Grande,Miley Cyrus - Lana Del Rey,"{'Ariana Grande': [' Lana Del Rey', 'Miley Cyrus ']}"
Ariana Grande,Future,{'Ariana Grande': ['Future']}
Ariana Grande,Kid Cudi,{'Ariana Grande': ['Kid Cudi']}
Ariana Grande,Victoria Mont,{'Ariana Grande': ['Victoria Mont']}
Ariana Grande,Liz Gillies,{'Ariana Grande': ['Liz Gillies']}
Ariana Grande,Nicki Minaj,{'Ariana Grande': ['Nicki Minaj']}
Ariana Grande,Justin Bieber,{'Ariana Grande': ['Justin Bieber']}
Ariana Grande,Cynthia Erivo,{'Ariana Grande': ['Cynthia Erivo']}
Ariana Grande,Pharrell Williams,{'Ariana Grande': ['Pharrell Williams']}
Ariana Grande,Missy Elliott,{'Ariana Grande': ['Missy Elliott']}
Ariana Grande,Social House,{'Ariana Grande': ['Social House']}
Ariana Grande,Doja Cat,{'Ariana Grande': ['Doja Cat']}
Ariana Grande,The Weeknd,{'Ariana Grande': ['The Weeknd']}
Ariana Grande,Nonna,{'Ariana Grande': ['Nonna']}
Ariana Grande,Ty Dolla $ign,{'Ariana Grande': ['Ty Dolla $ign']}
Arijit Singh,Siddharth - Garima - Shreyas Puranik,"{'Arijit Singh': ['Siddharth ', ' Garima ', ' Shreyas Puranik']}"
Arizona Zervas,,{'Arizona Zervas': ['']}
Armani White,,{'Armani White': ['']}
Armin van Buuren,,{'Armin van Buuren': ['']}
Artemas,,{'Artemas': ['']}
Ashe,,{'Ashe': ['']}
Ashley O,,{'Ashley O': ['']}
Ashnikko,,{'Ashnikko': ['']}
Ashnikko,Arcane - League of Legends,"{'Ashnikko': ['Arcane ', ' League of Legends']}"
Ashnikko,Princess Nokia,{'Ashnikko': ['Princess Nokia']}
Astrid S,,{'Astrid S': ['']}
Ava Max,,{'Ava Max': ['']}
Aventura,Bad Bunny,{'Aventura': ['Bad Bunny']}
Avicii,,{'Avicii': ['']}
Avicii,Joe Janiak,{'Avicii': ['Joe Janiak']}
Avicii,Vargas & Lagola,{'Avicii': ['Vargas & Lagola']}
Avicii,Imagine Dragons,{'Avicii': ['Imagine Dragons']}
Avicii,A R I Z O N A,{'Avicii': ['A R I Z O N A']}
Avicii,Nicky Romero,{'Avicii': ['Nicky Romero']}
Avicii,Rita Ora,{'Avicii': ['Rita Ora']}
Avicii,Aloe Blacc,{'Avicii': ['Aloe Blacc']}
Avicii,Vargas & Lagola - Agnes,"{'Avicii': [' Agnes', 'Vargas & Lagola ']}"
Avicii,Aluna,{'Avicii': ['Aluna']}
Avicii,Sandro Cavazza,{'Avicii': ['Sandro Cavazza']}
Avicii,Billy Raffoul,{'Avicii': ['Billy Raffoul']}
Avine Vinny,Matheus Fernandes,{'Avine Vinny': ['Matheus Fernandes']}
Avril Lavigne,Nicki Minaj,{'Avril Lavigne': ['Nicki Minaj']}
Avril Lavigne,,{'Avril Lavigne': ['']}
Axwell /\ Ingrosso,,{'Axwell /\\ Ingrosso': ['']}
Axwell /\ Ingrosso,Kid Ink,{'Axwell /\\ Ingrosso': ['Kid Ink']}
Aya Nakamura,Maluma,{'Aya Nakamura': ['Maluma']}
Aya Nakamura,,{'Aya Nakamura': ['']}
Ayo & Teo,,{'Ayo & Teo': ['']}
Ayra Starr,,{'Ayra Starr': ['']}
Azet,Zuna,{'Azet': ['Zuna']}
BABYMONSTER,,{'BABYMONSTER': ['']}
BANDIDO,Duki - Rei - Tiago PZK,"{'BANDIDO': [' Tiago PZK', 'Duki ', ' Rei ']}"
BANNERS,,{'BANNERS': ['']}
BENEE,Gus Dapperton,{'BENEE': ['Gus Dapperton']}
BENNETT,,{'BENNETT': ['']}
BIA,Nicki Minaj,{'BIA': ['Nicki Minaj']}
BIGBANG,,{'BIGBANG': ['']}
BLACKPINK,,{'BLACKPINK': ['']}
BLACKPINK,Cardi B,{'BLACKPINK': ['Cardi B']}
BLACKPINK,Selena Gomez,{'BLACKPINK': ['Selena Gomez']}
BLANCO,Sfera Ebbasta,{'BLANCO': ['Sfera Ebbasta']}
BLOK3,Ati242,{'BLOK3': ['Ati242']}
BRNS,,{'BRNS': ['']}
BROCKHAMPTON,,{'BROCKHAMPTON': ['']}
BTS,,{'BTS': ['']}
BTS,Zara Larsson,{'BTS': ['Zara Larsson']}
BTS,Juice WRLD,{'BTS': ['Juice WRLD']}
BTS,Halsey,{'BTS': ['Halsey']}
BTS,Megan Thee Stallion,{'BTS': ['Megan Thee Stallion']}
BTS,Nicki Minaj,{'BTS': ['Nicki Minaj']}
BTS,Steve Aoki - Desiigner,"{'BTS': ['Steve Aoki ', ' Desiigner']}"
BTS,Lauv,{'BTS': ['Lauv']}
BTS,Sia,{'BTS': ['Sia']}
BTS,Steve Aoki,{'BTS': ['Steve Aoki']}
Baby Keem,Travis Scott,{'Baby Keem': ['Travis Scott']}
Baby Keem,Kendrick Lamar,{'Baby Keem': ['Kendrick Lamar']}
Baby Lasagna,,{'Baby Lasagna': ['']}
Baby Tate,,{'Baby Tate': ['']}
Backstreet Boys,,{'Backstreet Boys': ['']}
Bad Bunny,,{'Bad Bunny': ['']}
Bad Bunny,De La Ghetto - engo Flow - Arcngel,"{'Bad Bunny': ['De La Ghetto ', ' engo Flow ', ' Arcngel']}"
Bad Bunny,Buscabulla,{'Bad Bunny': ['Buscabulla']}
Bad Bunny,Nicky Jam,{'Bad Bunny': ['Nicky Jam']}
Bad Bunny,Yaviah,{'Bad Bunny': ['Yaviah']}
Bad Bunny,Los Pleneros de la Cresta,{'Bad Bunny': ['Los Pleneros de la Cresta']}
