source,streams
Mass Appeal,155178
Sweet Jane Recordings,153615
Disruptor Records/Arista Records,152877
Quality Control Music/Alamo Records/Motown Records,151182
Ville Records,150862
Third Pardee Records,150596
Three Quarter,149706
2016098 Records DK,147472
Quality Control Music/Motown Records/Capitol Records,147274
Question Everything/RCA Records,147136
ThxSoMch,146055
Monkey Puzzle/Atlantic,146032
Born In Soweto,144629
Rufftown records,143924
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,142311
Joytime Collective/Grade A Productions/Interscope Records,141487
Bad Boy Entertainment/Epic Records,140073
Mike WiLL Made-It,133580
Early A.M,131119
Griselda Records / EMPIRE,130698
Ujuu Records,129737
Epic/Grand Hustle/Cactus Jack,129692
CORPSE,128738
Paul McCartney Catalog,127551
Rock The World/IDJ/Kanye/LP6,127233
F-Stop Records/Atlantic,127222
Quality Control Music (Caroline),127136
Shady Records/Interscope Records,126803
Rinse,125410
WILL OF STEEL / NEXT MUSIC,125112
Galactic / Republic Records,124407
Ivyson Entertainment,124071
Epic/Sing It Loud,123057
independently popular.,121750
Rebel Music PS,120252
Aurora Black,120131
So Vinci,120078
XO Records / Republic Records,119632
Sony Music Special Projects,119132
CAPITOL CATALOG MKT (C92),117279
El-World,115194
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",114851
Robots & Humans,114458
Columbia/Last Kings Records,112199
Play It Again Sam,107272
Black Crow Records,105828
CYB3RPVNK,104400
EARLY A.M,103928
Broken Bow Records,103289
EMI Catalogue,101316
Twenty Nine Music Group (Joyner Lucas),100781
Redbox Entertainment,98488
eOne Urban,97317
Otto Dynamite/RCA Records,97303
Geffen*,95787
Jeremy Loops,93070
Run It Up Records/Island,93006
DIEMON / Ed Sheeran appears courtesy of Asylum Records UK,92702
Parkwood Entertainment/Roc Nation,92535
VCK Music,90703
Steyn Entertainment,89402
MAU Records,88615
Arista/Legacy,88459
Spoegwolf (Pty) Ltd.,88405
"Tommy Boy Music, LLC",87561
KOTIN RECORDS,87218
Eardruma Records/Interscope Records,84914
Human Re Sources,84781
HITCO,84700
Epic/Bad Boy Entertainment,83898
Locomotion Recordings/Geffen Records,83474
"YG Entertainment, distributed through Interscope Records",82615
Earthquake records,81368
Dreamville/Interscope,81259
UNI/MOTOWN,80790
Nvak Collective,80384
Luna Rising Music,80277
"Lord’s Child, LLC",80232
"Leah Kate, under exclusive license to 10K Projects / MDDN",79866
Since 93,79704
El Cartel Records (EC3),78524
MODANA ENTERTAINMENT,78019
"Artium Recordings, LLC, under exclusive license to Roc Nation Records, LLC",77850
TwizzyRich,77722
Eagle Entertainment,77250
Beluga Heights/Warner Records,76592
Republic/Universal/FSF,75874
Tinted Records,74490
"Night Street Records, Inc./Warner Records Inc.",74229
Artist Partner,71997
MMG/Warner Records,71542
Interscope / Friends Keep Secrets / Joytime Collective,71140
Producer Kitchen Concept,71138
FADER Label,70699
Kordhell,70314
Columbia Local,70288
Lady Du Entertainment,68889
Mad Decent,68652
"Marshmello ""Tongue Tied"" ft Yungblud & blackbear",67687
Justin Bieber 2021 PS/ Def Jam,67528
Saint Records/Columbia,67408
AWGE Label,66610
"TenThousand Projects, LLC",65505
Supra Familias,65161
Sony Music CG,64914
KeyQaad,64277
Chance the Rapper,62878
De Disciple Tradings,61394
Motown Records,60943
stillaround,60740
Columbia Nashville,59195
Doza Nation Entertainment,59145
Epic/Freebandz/Grade A/Interscope,58819
RCA Local,57805
TUSA - Karol G & Nicki Minaj,57706
Universal Music New Zealand Limited,57359
Armani White,57263
Riggins Recording Limited,56984
Since 93/RCA Records,56856
J/Republic,56442
NINETY SEVEN,56365
SALES,55763
LMW Enteaiments,53017
Big Brother,52950
Dreaming Out Loud Entertainment,52673
Epic/London Ent.,51774
Mass Appeal / NAS,51723
Spaceship Records / Geobek Records,50969
"Getting Out Our Dreams II, LLC / Def Jam Recordings",50873
Rimas Entertainment LLC,50304
SM Entertainment West Africa Limited,49712
RARE Sound / Interscope / EMPIRE,49684
Ciara,49605
Taylor Gang/Atlantic,49563
UMC (Universal Music Catalogue),49438
OWSLA/Atlantic,49313
EMI Recorded Music Australia Pty Ltd,48766
South Coast Music / Interscope PS,48196
Victor Victor Worldwide / Republic Records,47918
Black Circle / EMPIRE,47610
Galactic Records/Republic Records,47501
Columbia/M2V,46705
LB Recordings,45749
Arista Records/Columbia Records,45657
Major Tom's / Asylum,45580
MSFTSMusic / Roc Nation Records,45428
Silent Records / Social House,45248
"XO | Roc Nation Records, LLC",45242
Monkey Puzzle Records/RCA Records,43861
"Friends Keep Secrets, under exclusive license to Interscope Records",43505
Beeskraal Cowpunk,42884
This Ain't Bristol,42073
#Merky Records,41593
Asylum Records,41207
Colour Vision Records/Sony Music Entertainment,39873
Sonder Global,39650
Jay Music Production,39476
Reprise,39372
Louis The Child / Interscope,37809
Armada Music Bundles,37672
Integrity Music,37441
i am OTHER/Columbia,37177
Shake the World / EMPIRE,37138
"Warner Bros. Entertainment, Inc.",36505
Decca (UMO),36476
