,,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,rank,rank,rank,rank,uri,uri,uri,uri,artist_names,artist_names,artist_names,artist_names,source,source,source,source,peak_rank,peak_rank,peak_rank,peak_rank,previous_rank,previous_rank,previous_rank,previous_rank,weeks_on_chart,weeks_on_chart,weeks_on_chart,weeks_on_chart,streams,streams,streams,streams,End Date,End Date,End Date,End Date,Week,Week,Week,Week,Year,Year,Year,Year,End Date Dt,End Date Dt,End Date Dt,End Date Dt,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,End Date Aggregated,End Date Aggregated,End Date Aggregated,End Date Aggregated,ArtistCount,ArtistCount,ArtistCount,ArtistCount,isTopTen,isTopTen,isTopTen,isTopTen,Artist and Track,Artist and Track,Artist and Track,Artist and Track,rank difference,rank difference,rank difference,rank difference,Position over Time,Position over Time,Position over Time,Position over Time,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup
,,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique
main_artist,track_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Nas X,TALES OF DOMINICA,0,0,1,1,232,232,1,1,153,153,1,1,spotify:track:5S4PZ7AuYlYiVIVik3wHUf,spotify:track:5S4PZ7AuYlYiVIVik3wHUf,1,1,Lil Nas X,Lil Nas X,1,1,Columbia,Columbia,1,1,153,153,1,1,-1,-1,1,1,1,1,1,1,26257,26257,1,1,2021-09-23,2021-09-23,1,1,38,38,1,1,2021,2021,1,1,2021-09-23,2021-09-23,1,1,1632355200.0,1632355200.0,1,1,2021-09-01,2021-09-01,1,1,1,1,1,1,0,0,1,1,Lil Nas X; TALES OF DOMINICA,Lil Nas X; TALES OF DOMINICA,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Nas X,THATS WHAT I WANT,0,51,52,52,226,370,52,52,14,198,52,45,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,52,1,Lil Nas X,Lil Nas X,52,1,Columbia,Columbia,52,1,14,14,52,1,-1,198,52,45,1,52,52,52,28325,98748,52,52,2021-09-23,2022-09-15,52,52,1,52,52,52,2021,2022,52,2,2021-09-23,2022-09-15,52,52,1632355200.0,1663200000.0,52,52,2021-09-01,2022-09-01,52,13,1,1,52,1,0,0,52,1,Lil Nas X; THATS WHAT I WANT,Lil Nas X; THATS WHAT I WANT,52,1,-29,38,52,30,0,100,52,4,False,False,52,1,False,False,52,1
Lil Tjay,Beat the Odds,0,1,2,2,82,83,2,2,126,137,2,2,spotify:track:2BJWxD8xKrDv8vneTvTIm9,spotify:track:2BJWxD8xKrDv8vneTvTIm9,2,1,Lil Tjay,Lil Tjay,2,1,Columbia,Columbia,2,1,126,126,2,1,-1,126,2,2,1,2,2,2,34606,36180,2,2,2022-09-01,2022-09-08,2,2,35,36,2,2,2022,2022,2,1,2022-09-01,2022-09-08,2,2,1661990400.0,1662595200.0,2,2,2022-09-01,2022-09-01,2,1,1,1,2,1,0,0,2,1,Lil Tjay; Beat the Odds,Lil Tjay; Beat the Odds,2,1,0,11,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Lil Tjay,Calling My Phone,0,60,61,61,1,81,61,61,2,200,61,50,spotify:track:3J8EOeKLTLXORtWPpOU5bE,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,61,2,"Lil Tjay, 6LACK","Lil Tjay, 6LACK",61,1,Columbia,Columbia,61,1,2,2,61,1,-1,200,61,48,1,61,61,61,21977,89182,61,61,2021-02-18,2022-07-07,61,61,1,49,61,43,2021,2022,61,2,2021-02-18,2022-07-07,61,61,1613606400.0,1657152000.0,61,61,2021-02-01,2022-07-01,61,18,1,1,61,1,1,1,61,1,"Lil Tjay, 6LACK; Calling My Phone","Lil Tjay, 6LACK; Calling My Phone",61,1,-34,39,61,32,0,100,61,4,False,False,61,1,False,False,61,1
Lil Tjay,F.N,0,0,1,1,0,0,1,1,200,200,1,1,spotify:track:0RLLvYBopDwooCyvnTwgYu,spotify:track:0RLLvYBopDwooCyvnTwgYu,1,1,Lil Tjay,Lil Tjay,1,1,Columbia,Columbia,1,1,200,200,1,1,-1,-1,1,1,1,1,1,1,9040,9040,1,1,2019-10-17,2019-10-17,1,1,42,42,1,1,2019,2019,1,1,2019-10-17,2019-10-17,1,1,1571270400.0,1571270400.0,1,1,2019-10-01,2019-10-01,1,1,1,1,1,1,0,0,1,1,Lil Tjay; F.N,Lil Tjay; F.N,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),0,6,7,7,7,24,7,7,88,164,7,7,spotify:track:4eNOLmx8r2IJAVKvBBL1jv,spotify:track:6cQ08IpBxxfGcSKxqE3NmB,7,2,"Lil Tjay, Polo G, Fivio Foreign","Lil Tjay, Polo G, Fivio Foreign",7,1,Columbia,Columbia,7,1,88,96,7,2,-1,142,7,7,1,7,7,7,19623,26497,7,7,2021-03-25,2021-05-06,7,7,12,18,7,7,2021,2021,7,1,2021-03-25,2021-05-06,7,7,1616630400.0,1620259200.0,7,7,2021-03-01,2021-05-01,7,3,3,3,7,1,0,0,7,1,"Lil Tjay, Polo G, Fivio Foreign; Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay, Polo G, Fivio Foreign; Headshot (feat. Polo G & Fivio Foreign)",7,1,-51,43,7,7,0,100,7,3,False,False,7,1,False,False,7,1
Lil Tjay,In My Head,0,5,6,6,65,75,6,6,56,165,6,6,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,6,1,Lil Tjay,Lil Tjay,6,1,Columbia,Columbia,6,1,56,72,6,2,-1,147,6,6,1,6,6,6,25988,37980,6,6,2022-04-07,2022-05-12,6,6,14,19,6,6,2022,2022,6,1,2022-04-07,2022-05-12,6,6,1649289600.0,1652313600.0,6,6,2022-04-01,2022-05-01,6,2,1,1,6,1,0,0,6,1,Lil Tjay; In My Head,Lil Tjay; In My Head,6,1,-16,38,6,5,0,100,6,3,False,False,6,1,False,False,6,1
Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),0,6,7,7,12,28,7,7,137,178,7,7,spotify:track:1dg3qy5DjoJodawfOCgrTP,spotify:track:1dg3qy5DjoJodawfOCgrTP,7,1,"Lil Tjay, Offset, Moneybagg Yo","Lil Tjay, Offset, Moneybagg Yo",7,1,Columbia,Columbia,7,1,137,141,7,2,-1,175,7,7,1,7,7,7,19546,21648,7,7,2021-04-08,2021-05-20,7,7,14,20,7,7,2021,2021,7,1,2021-04-08,2021-05-20,7,7,1617840000.0,1621468800.0,7,7,2021-04-01,2021-05-01,7,2,3,3,7,1,0,0,7,1,"Lil Tjay, Offset, Moneybagg Yo; Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay, Offset, Moneybagg Yo; Run It Up (feat. Offset & Moneybagg Yo)",7,1,-16,14,7,5,0,100,7,3,False,False,7,1,False,False,7,1
Lil Uzi Vert,Aye (feat. Travis Scott),0,0,1,1,138,138,1,1,121,121,1,1,spotify:track:2Hc1LaV6bzFil3dE71eORA,spotify:track:2Hc1LaV6bzFil3dE71eORA,1,1,"Lil Uzi Vert, Travis Scott","Lil Uzi Vert, Travis Scott",1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,121,121,1,1,-1,-1,1,1,1,1,1,1,60186,60186,1,1,2023-07-06,2023-07-06,1,1,27,27,1,1,2023,2023,1,1,2023-07-06,2023-07-06,1,1,1688601600.0,1688601600.0,1,1,2023-07-01,2023-07-01,1,1,2,2,1,1,0,0,1,1,"Lil Uzi Vert, Travis Scott; Aye (feat. Travis Scott)","Lil Uzi Vert, Travis Scott; Aye (feat. Travis Scott)",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Baby Pluto,0,1,2,2,50,66,2,2,56,141,2,2,spotify:track:7hav1MHURQf5SAoPk0egqh,spotify:track:7hav1MHURQf5SAoPk0egqh,2,1,Lil Uzi Vert,Lil Uzi Vert,2,1,Generation Now/Atlantic,Generation Now/Atlantic,2,1,56,56,2,1,-1,56,2,2,1,2,2,2,13931,24592,2,2,2020-03-12,2020-03-19,2,2,11,12,2,2,2020,2020,2,1,2020-03-12,2020-03-19,2,2,1583971200.0,1584576000.0,2,2,2020-03-01,2020-03-01,2,1,1,1,2,1,0,0,2,1,Lil Uzi Vert; Baby Pluto,Lil Uzi Vert; Baby Pluto,2,1,0,85,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Lil Uzi Vert,Bigger Than Life,0,0,1,1,59,59,1,1,164,164,1,1,spotify:track:2oHDJHNondITqbl8xZ9vPn,spotify:track:2oHDJHNondITqbl8xZ9vPn,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,164,164,1,1,-1,-1,1,1,1,1,1,1,13445,13445,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Bigger Than Life,Lil Uzi Vert; Bigger Than Life,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Celebration Station,0,0,1,1,60,60,1,1,191,191,1,1,spotify:track:25B5fGr9K0VdZJiRFsnMO4,spotify:track:25B5fGr9K0VdZJiRFsnMO4,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,191,191,1,1,-1,-1,1,1,1,1,1,1,12336,12336,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Celebration Station,Lil Uzi Vert; Celebration Station,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),0,0,1,1,136,136,1,1,82,82,1,1,spotify:track:41bmnQZoDMQdDh5zyomtW7,spotify:track:41bmnQZoDMQdDh5zyomtW7,1,1,"Lil Uzi Vert, Nicki Minaj","Lil Uzi Vert, Nicki Minaj",1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,82,82,1,1,-1,-1,1,1,1,1,1,1,74116,74116,1,1,2023-07-06,2023-07-06,1,1,27,27,1,1,2023,2023,1,1,2023-07-06,2023-07-06,1,1,1688601600.0,1688601600.0,1,1,2023-07-01,2023-07-01,1,1,2,2,1,1,0,0,1,1,"Lil Uzi Vert, Nicki Minaj; Endless Fashion (feat. Nicki Minaj)","Lil Uzi Vert, Nicki Minaj; Endless Fashion (feat. Nicki Minaj)",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Flooded The Face,0,0,1,1,139,139,1,1,125,125,1,1,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,125,125,1,1,-1,-1,1,1,1,1,1,1,58957,58957,1,1,2023-07-06,2023-07-06,1,1,27,27,1,1,2023,2023,1,1,2023-07-06,2023-07-06,1,1,1688601600.0,1688601600.0,1,1,2023-07-01,2023-07-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Flooded The Face,Lil Uzi Vert; Flooded The Face,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Futsal Shuffle 2020,0,9,10,10,37,46,10,10,50,194,10,10,spotify:track:2Ec33AVlkTTq8BHFgBTdQs,spotify:track:2Ec33AVlkTTq8BHFgBTdQs,10,1,Lil Uzi Vert,Lil Uzi Vert,10,1,Generation Now/Atlantic,Generation Now/Atlantic,10,1,50,50,10,1,-1,140,10,10,1,10,10,10,11847,23718,10,10,2019-12-19,2020-02-20,10,10,1,52,10,10,2019,2020,10,2,2019-12-19,2020-02-20,10,10,1576713600.0,1582156800.0,10,10,2019-12-01,2020-02-01,10,3,1,1,10,1,0,0,10,1,Lil Uzi Vert; Futsal Shuffle 2020,Lil Uzi Vert; Futsal Shuffle 2020,10,1,-19,54,10,10,0,100,10,3,False,False,10,1,False,False,10,1
Lil Uzi Vert,Futsal Shuffle 2020 - Bonus Track,0,2,3,3,53,71,3,3,89,175,3,3,spotify:track:2fOlBMkWR7lXJfqp5VTbDG,spotify:track:2fOlBMkWR7lXJfqp5VTbDG,3,1,Lil Uzi Vert,Lil Uzi Vert,3,1,Generation Now/Atlantic,Generation Now/Atlantic,3,1,50,50,3,1,-1,121,3,3,11,13,3,3,12243,18501,3,3,2020-03-12,2020-03-26,3,3,11,13,3,3,2020,2020,3,1,2020-03-12,2020-03-26,3,3,1583971200.0,1585180800.0,3,3,2020-03-01,2020-03-01,3,1,1,1,3,1,0,0,3,1,Lil Uzi Vert; Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert; Futsal Shuffle 2020 - Bonus Track,3,1,0,54,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Lil Uzi Vert,Homecoming,0,0,1,1,56,56,1,1,124,124,1,1,spotify:track:6vxU64pcIuQ38O015Zy4qj,spotify:track:6vxU64pcIuQ38O015Zy4qj,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,124,124,1,1,-1,-1,1,1,1,1,1,1,15394,15394,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Homecoming,Lil Uzi Vert; Homecoming,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,I'm Sorry,0,0,1,1,54,54,1,1,118,118,1,1,spotify:track:1xcOYJxDa5pObgxY1r0I9c,spotify:track:1xcOYJxDa5pObgxY1r0I9c,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,118,118,1,1,-1,-1,1,1,1,1,1,1,16031,16031,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; I'm Sorry,Lil Uzi Vert; I'm Sorry,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Just Wanna Rock,0,38,39,39,89,141,39,39,33,184,39,34,spotify:track:4FyesJzVpA39hbYvcseO2d,spotify:track:4Ls53fBNVfaXTROBi6X8Hw,39,2,Lil Uzi Vert,Lil Uzi Vert,39,1,Generation Now/Atlantic,Generation Now/Atlantic,39,1,33,115,39,6,-1,142,39,34,1,39,39,39,41572,92572,39,39,2022-10-27,2023-07-20,39,39,1,52,39,39,2022,2023,39,2,2022-10-27,2023-07-20,39,39,1666828800.0,1689811200.0,39,39,2022-10-01,2023-07-01,39,10,1,1,39,1,0,0,39,1,Lil Uzi Vert; Just Wanna Rock,Lil Uzi Vert; Just Wanna Rock,39,1,-46,46,39,31,0,100,39,4,False,False,39,1,False,False,39,1
Lil Uzi Vert,Lo Mein,0,1,2,2,51,67,2,2,64,177,2,2,spotify:track:6CUP2khYzdphXebxVTfPE3,spotify:track:6CUP2khYzdphXebxVTfPE3,2,1,Lil Uzi Vert,Lil Uzi Vert,2,1,Generation Now/Atlantic,Generation Now/Atlantic,2,1,64,64,2,1,-1,64,2,2,1,2,2,2,12417,21783,2,2,2020-03-12,2020-03-19,2,2,11,12,2,2,2020,2020,2,1,2020-03-12,2020-03-19,2,2,1583971200.0,1584576000.0,2,2,2020-03-01,2020-03-01,2,1,1,1,2,1,0,0,2,1,Lil Uzi Vert; Lo Mein,Lil Uzi Vert; Lo Mein,2,1,0,113,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Lil Uzi Vert,Myron,0,3,4,4,64,80,4,4,97,193,4,4,spotify:track:56uXDJRCuoS7abX3SkzHKQ,spotify:track:56uXDJRCuoS7abX3SkzHKQ,4,1,Lil Uzi Vert,Lil Uzi Vert,4,1,Generation Now/Atlantic,Generation Now/Atlantic,4,1,97,97,4,1,-1,190,4,3,1,4,4,4,10954,17070,4,4,2020-03-19,2020-04-23,4,4,12,17,4,4,2020,2020,4,1,2020-03-19,2020-04-23,4,4,1584576000.0,1587600000.0,4,4,2020-03-01,2020-04-01,4,2,1,1,4,1,0,0,4,1,Lil Uzi Vert; Myron,Lil Uzi Vert; Myron,4,1,0,77,4,4,0,100,4,2,False,False,4,1,False,False,4,1
Lil Uzi Vert,New Patek,0,3,4,4,22,25,4,4,61,197,4,4,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,4,1,Lil Uzi Vert,Lil Uzi Vert,4,1,Generation Now/Atlantic,Generation Now/Atlantic,4,1,61,61,4,1,-1,180,4,4,1,4,4,4,4886,9732,4,4,2018-09-27,2018-10-18,4,4,39,42,4,4,2018,2018,4,1,2018-09-27,2018-10-18,4,4,1538006400.0,1539820800.0,4,4,2018-09-01,2018-10-01,4,2,1,1,4,1,0,0,4,1,Lil Uzi Vert; New Patek,Lil Uzi Vert; New Patek,4,1,0,65,4,4,0,100,4,2,False,False,4,1,False,False,4,1
Lil Uzi Vert,P2,0,14,15,15,49,88,15,15,47,146,15,13,spotify:track:3kW4z2pIj5VY5fLjBrMRL5,spotify:track:3kW4z2pIj5VY5fLjBrMRL5,15,1,Lil Uzi Vert,Lil Uzi Vert,15,1,Generation Now/Atlantic,Generation Now/Atlantic,15,1,47,47,15,1,-1,146,15,13,1,15,15,15,13748,26130,15,15,2020-03-12,2020-06-18,15,15,11,25,15,15,2020,2020,15,1,2020-03-12,2020-06-18,15,15,1583971200.0,1592438400.0,15,15,2020-03-01,2020-06-01,15,4,1,1,15,1,0,0,15,1,Lil Uzi Vert; P2,Lil Uzi Vert; P2,15,1,-7,31,15,13,0,100,15,4,False,False,15,1,False,False,15,1
Lil Uzi Vert,POP,0,0,1,1,55,55,1,1,121,121,1,1,spotify:track:1jDbQz6tr52WgScCTXMnaN,spotify:track:1jDbQz6tr52WgScCTXMnaN,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,121,121,1,1,-1,-1,1,1,1,1,1,1,15726,15726,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; POP,Lil Uzi Vert; POP,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Prices,0,0,1,1,57,57,1,1,133,133,1,1,spotify:track:4YcWzLSnGqLjSCycuSMHnn,spotify:track:4YcWzLSnGqLjSCycuSMHnn,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,133,133,1,1,-1,-1,1,1,1,1,1,1,14845,14845,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Prices,Lil Uzi Vert; Prices,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Sanguine Paradise,0,10,11,11,26,36,11,11,64,191,11,10,spotify:track:3XiNC94b4Tq1xwv70sQJGN,spotify:track:3XiNC94b4Tq1xwv70sQJGN,11,1,Lil Uzi Vert,Lil Uzi Vert,11,1,Generation Now/Atlantic,Generation Now/Atlantic,11,1,64,77,11,4,-1,188,11,10,1,11,11,11,7246,12363,11,11,2019-04-18,2019-06-27,11,11,16,26,11,11,2019,2019,11,1,2019-04-18,2019-06-27,11,11,1555545600.0,1561593600.0,11,11,2019-04-01,2019-06-01,11,3,1,1,11,1,0,0,11,1,Lil Uzi Vert; Sanguine Paradise,Lil Uzi Vert; Sanguine Paradise,11,1,-26,91,11,11,0,100,11,3,False,False,11,1,False,False,11,1
Lil Uzi Vert,Silly Watch,0,0,1,1,52,52,1,1,86,86,1,1,spotify:track:5egD7A5x9AHdVO2fMo3Wbo,spotify:track:5egD7A5x9AHdVO2fMo3Wbo,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,86,86,1,1,-1,-1,1,1,1,1,1,1,18679,18679,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Silly Watch,Lil Uzi Vert; Silly Watch,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,That Way,0,0,1,1,47,47,1,1,96,96,1,1,spotify:track:5raTDhlbxFDnpn89bxArdH,spotify:track:5raTDhlbxFDnpn89bxArdH,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,96,96,1,1,-1,-1,1,1,1,1,1,1,16888,16888,1,1,2020-03-05,2020-03-05,1,1,10,10,1,1,2020,2020,1,1,2020-03-05,2020-03-05,1,1,1583366400.0,1583366400.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; That Way,Lil Uzi Vert; That Way,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,That Way - Bonus Track,0,5,6,6,48,77,6,6,30,126,6,6,spotify:track:2ajzBr7vwHTEBeqDzcsNRC,spotify:track:2ajzBr7vwHTEBeqDzcsNRC,6,1,Lil Uzi Vert,Lil Uzi Vert,6,1,Generation Now/Atlantic,Generation Now/Atlantic,6,1,30,30,6,1,30,100,6,6,2,7,6,6,13720,32405,6,6,2020-03-12,2020-04-16,6,6,11,16,6,6,2020,2020,6,1,2020-03-12,2020-04-16,6,6,1583971200.0,1586995200.0,6,6,2020-03-01,2020-04-01,6,2,1,1,6,1,0,0,6,1,Lil Uzi Vert; That Way - Bonus Track,Lil Uzi Vert; That Way - Bonus Track,6,1,0,26,6,6,0,100,6,2,False,False,6,1,False,False,6,1
Lil Uzi Vert,Venetia,0,0,1,1,61,61,1,1,198,198,1,1,spotify:track:3BYIzNZ3t9lRQCACXSMLrT,spotify:track:3BYIzNZ3t9lRQCACXSMLrT,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,198,198,1,1,-1,-1,1,1,1,1,1,1,12093,12093,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; Venetia,Lil Uzi Vert; Venetia,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,0,10,11,11,107,127,11,11,57,196,11,11,spotify:track:0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,11,1,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS","Lil Uzi Vert, sped up nightcore, ARIZONATEARS",11,1,sped up nightcore,sped up nightcore,11,1,57,57,11,1,-1,160,11,11,1,11,11,11,41401,72874,11,11,2023-02-23,2023-05-04,11,11,8,18,11,11,2023,2023,11,1,2023-02-23,2023-05-04,11,11,1677110400.0,1683158400.0,11,11,2023-02-01,2023-05-01,11,4,1,1,11,1,0,0,11,1,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS; Watch This - ARIZONATEARS Pluggnb Remix","Lil Uzi Vert, sped up nightcore, ARIZONATEARS; Watch This - ARIZONATEARS Pluggnb Remix",11,1,-5,41,11,10,0,100,11,3,False,False,11,1,False,False,11,1
Lil Uzi Vert,XO Tour Llif3,0,21,22,22,0,21,22,22,34,200,22,20,spotify:track:7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,22,1,Lil Uzi Vert,Lil Uzi Vert,22,1,Generation Now/Atlantic,Generation Now/Atlantic,22,1,34,41,22,2,-1,191,22,18,1,22,22,22,1703,5826,22,21,2018-03-15,2018-08-23,22,22,11,34,22,22,2018,2018,22,1,2018-03-15,2018-08-23,22,22,1521072000.0,1534982400.0,22,22,2018-03-01,2018-08-01,22,6,1,1,22,1,0,0,22,1,Lil Uzi Vert; XO Tour Llif3,Lil Uzi Vert; XO Tour Llif3,22,1,-21,38,22,15,0,100,22,4,False,False,22,1,False,False,22,1
Lil Uzi Vert,You Better Move,0,0,1,1,58,58,1,1,140,140,1,1,spotify:track:6YAxCn4juTWn5hWl2hzHGw,spotify:track:6YAxCn4juTWn5hWl2hzHGw,1,1,Lil Uzi Vert,Lil Uzi Vert,1,1,Generation Now/Atlantic,Generation Now/Atlantic,1,1,140,140,1,1,-1,-1,1,1,1,1,1,1,14522,14522,1,1,2020-03-12,2020-03-12,1,1,11,11,1,1,2020,2020,1,1,2020-03-12,2020-03-12,1,1,1583971200.0,1583971200.0,1,1,2020-03-01,2020-03-01,1,1,1,1,1,1,0,0,1,1,Lil Uzi Vert; You Better Move,Lil Uzi Vert; You Better Move,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Lizzo,About Damn Time,0,29,30,30,94,123,30,30,16,195,30,28,spotify:track:1PckUlxKqWQs3RlWXVBLw3,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,30,2,Lizzo,Lizzo,30,1,Nice Life/Atlantic,Nice Life/Atlantic,30,1,16,90,30,2,-1,182,30,28,1,30,30,30,33794,73432,30,30,2022-05-05,2023-01-05,30,30,1,46,30,30,2022,2023,30,2,2022-05-05,2023-01-05,30,30,1651708800.0,1672876800.0,30,30,2022-05-01,2023-01-01,30,8,1,1,30,1,0,0,30,1,Lizzo; About Damn Time,Lizzo; About Damn Time,30,1,-88,33,30,25,0,100,30,3,False,False,30,1,False,False,30,1
