main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
Jhen Aiko,B.S. (feat. H.E.R.),6698476,4557817,16599992,5533330.666666667,130,66,2140659,1.5076923076923077,1.4696676062246465,3,3,130,6698476,2,222
Jimin,Alone,8326119,8326119,8326119,8326119.0,158,0,0,1.0,1.0,9,1,158,8326119,29,101
Jimin,Face-off,9229606,9229606,9229606,9229606.0,125,0,0,1.0,1.0,9,1,125,9229606,29,101
Jimin,Like Crazy,23325668,13910806,156431721,17381302.333333332,15,34,9414862,3.2666666666666666,1.6768020487094708,9,9,15,23325668,29,101
Jimin,Like Crazy (English Version),17871930,7715658,87729666,12532809.42857143,26,165,10156272,7.346153846153846,2.3163196191433055,9,7,31,17242202,29,101
Jimin,Set Me Free Pt.2,21581293,7889062,99104224,12388028.0,14,170,13692231,13.142857142857142,2.7355968301427978,9,8,14,21581293,29,101
Jimin,With you,12209358,6432379,37311739,9327934.75,32,128,5776979,5.0,1.8981092376553061,9,4,32,12209358,29,310
Jnr Choi,TO THE MOON,9614884,5325034,114291711,7619447.4,55,116,4289850,3.109090909090909,1.8056004900625986,15,15,120,5974966,14,375
Joakim Lundell,All I Need,3125372,3125372,3125372,3125372.0,187,0,0,1.0,1.0,1,1,187,3125372,0,525
Joel Adams,Please Don't Go,2975537,2807292,5782829,2891414.5,167,17,168245,1.1017964071856288,1.0599314214552673,2,2,167,2975537,1,865
Joel Corry,BED,11159150,5408561,205268468,8552852.833333334,42,128,5750589,4.0476190476190474,2.063238262450955,71,24,170,5408561,116,567
Joel Corry,Head & Heart (feat. MNEK),20052875,4844615,785924030,11069352.535211267,11,189,15208260,18.181818181818183,4.139209204446587,71,71,170,4844615,116,88
Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),10741703,5322737,175190741,7963215.5,42,146,5418966,4.476190476190476,2.0180788567986734,71,22,174,5322737,116,88
Joey Bada$$,DEVASTATED,3306862,3306862,3306862,3306862.0,193,0,0,1.0,1.0,1,1,193,3306862,0,585
Joey Montana,Suena El Dembow,6901800,3771520,167765768,5592192.266666667,66,128,3130280,2.9393939393939394,1.829978364160869,30,30,153,3928364,29,788
John Amplificado,Chega E Senta - Ao Vivo,8043658,5388837,40269681,6711613.5,98,74,2654821,1.7551020408163265,1.4926519395557891,6,6,110,6691061,5,832
John Legend,All of Me,6387936,2568720,781441222,4945830.518987342,110,90,3819216,1.8181818181818181,2.48681678034196,158,158,197,2568720,171,295
John Legend,Love Me Now,10111228,3314970,99948922,7139208.714285715,33,163,6796258,5.9393939393939394,3.050171796426514,158,14,33,8203210,171,186
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,23092680,4396864,338649199,11677558.586206896,13,171,18695816,14.153846153846153,5.252079664051469,29,29,87,4885251,28,237
John Mayer,I Guess I Just Feel Like,5177344,5177344,5177344,5177344.0,159,0,0,1.0,1.0,11,1,159,5177344,15,186
John Mayer,Last Train Home,6439718,6439718,6439718,6439718.0,117,0,0,1.0,1.0,11,1,117,6439718,15,186
John Mayer,Love on the Weekend,3079976,3079976,3079976,3079976.0,164,0,0,1.0,1.0,11,1,164,3079976,15,186
John Mayer,Moving On and Getting Over,3596116,3596116,3596116,3596116.0,139,0,0,1.0,1.0,11,1,139,3596116,15,186
John Mayer,New Light,8141191,4074102,69015660,6274150.909090909,63,103,4067089,2.634920634920635,1.998278639071874,11,11,139,5009478,15,186
John Mayer,Shot in the Dark,5173308,5173308,5173308,5173308.0,193,0,0,1.0,1.0,11,1,193,5173308,15,186
Joji,1AM FREESTYLE,7292343,7292343,7292343,7292343.0,172,0,0,1.0,1.0,50,1,172,7292343,134,40
Joji,Afterthought,4977405,4977405,4977405,4977405.0,177,0,0,1.0,1.0,50,1,177,4977405,134,40
Joji,Before The Day Is Over,8440433,8440433,8440433,8440433.0,122,0,0,1.0,1.0,50,1,122,8440433,134,40
Joji,Daylight,6819838,5556471,12376309,6188154.5,99,40,1263367,1.404040404040404,1.2273685942030472,50,2,139,5556471,134,39
Joji,Die For You,21735446,7340670,140317047,10793619.0,21,157,14394776,8.476190476190476,2.960962146507063,50,13,21,21735446,134,40
Joji,Dissolve,7287570,7287570,7287570,7287570.0,173,0,0,1.0,1.0,50,1,173,7287570,134,40
Joji,Ew,6936305,6936305,6936305,6936305.0,97,0,0,1.0,1.0,50,1,97,6936305,134,40
Joji,Feeling Like The End,9230860,9230860,9230860,9230860.0,103,0,0,1.0,1.0,50,1,103,9230860,134,40
Joji,Gimme Love,8371735,4447020,25939319,6484829.75,58,133,3924715,3.293103448275862,1.8825494376009102,50,4,58,8371735,134,40
Joji,Glimpse of Us,57470492,8211064,880751308,17615026.16,1,169,49259428,170.0,6.999152850349236,50,50,4,36890599,134,40
Joji,MODUS,6013371,6013371,6013371,6013371.0,126,0,0,1.0,1.0,50,1,126,6013371,134,40
Joji,NIGHT RIDER,7505979,7505979,7505979,7505979.0,160,0,0,1.0,1.0,50,1,160,7505979,134,40
Joji,Pretty Boy (feat. Lil Yachty),5141212,5141212,5141212,5141212.0,171,0,0,1.0,1.0,50,1,171,5141212,134,40
Joji,Run,13351587,5375789,26405227,8801742.333333334,31,127,7975798,5.096774193548387,2.4836516090940326,50,3,31,13351587,134,40
Joji,SLOW DANCING IN THE DARK,8121825,4276655,214610619,5234405.341463415,75,124,3845170,2.6533333333333333,1.8991068954591848,50,41,75,7237051,134,40
Joji,Sanctuary,10127610,5334440,41011400,6835233.333333333,50,101,4793170,3.02,1.898532929417146,50,6,50,10127610,134,38
Joji,Sanctuary,10127610,5334440,41011400,6835233.333333333,50,101,4793170,3.02,1.898532929417146,50,6,50,10127610,134,40
Joji,TEST DRIVE,4055928,4055928,4055928,4055928.0,198,0,0,1.0,1.0,50,1,198,4055928,134,40
Joji,Tick Tock,5547939,5547939,5547939,5547939.0,145,0,0,1.0,1.0,50,1,145,5547939,134,40
Joji,YEAH RIGHT,4080859,4080859,4080859,4080859.0,196,0,0,1.0,1.0,50,1,196,4080859,134,40
Joji,YUKON (INTERLUDE),7457840,6792759,14250599,7125299.5,149,14,665081,1.0939597315436242,1.0979102894714798,50,2,149,6792759,134,40
Joji,Your Man,7764823,5233336,12998159,6499079.5,77,95,2531487,2.2337662337662336,1.4837233840899953,50,2,77,7764823,134,40
