rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
163,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,115,146,5,2062,2021-02-06,2021-02-06
164,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,CJ Music Group/T-Series,135,164,4,2055,2021-02-06,2021-02-06
165,spotify:track:1trFxVLL8WKhYap543e74l,BTS,Airplane pt.2,BIGHIT MUSIC,81,129,6,2047,2021-02-06,2021-02-06
166,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,142,187,5,2047,2021-02-06,2021-02-06
167,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,167,181,4,2042,2021-02-06,2021-02-06
168,spotify:track:7qq0EOPW4RRlqdvMBmdd73,BLACKPINK,Crazy Over You,YG Entertainment/Interscope Records,153,153,4,2038,2021-02-06,2021-02-06
169,spotify:track:7L8hkKW4hnemNfuOfEZcle,BTS,Epiphany,BIGHIT MUSIC,104,142,6,2025,2021-02-06,2021-02-06
170,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,170,-1,1,2022,2021-02-06,2021-02-06
171,spotify:track:0DEdF1WCE93oW0VICMDx5T,BTS,Respect,BIGHIT MUSIC,65,139,6,2013,2021-02-06,2021-02-06
172,spotify:track:0cSkn2l67csUljEy0EEBPn,LiSA,炎,Sony Music Labels Inc.,172,-1,1,2010,2021-02-06,2021-02-06
173,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,173,195,3,1989,2021-02-06,2021-02-06
174,spotify:track:200110T27gmATYagfNYzkF,BTS,UGH!,BIGHIT MUSIC,77,151,6,1984,2021-02-06,2021-02-06
175,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,Jonas Brothers Recording,150,150,5,1978,2021-02-06,2021-02-06
176,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,176,-1,3,1971,2021-02-06,2021-02-06
177,spotify:track:5nq1uTNIR1cBR72T87viS0,BTS,Go Go,BIGHIT MUSIC,88,162,6,1970,2021-02-06,2021-02-06
178,spotify:track:6jq9F7GSXFtqKwb1dW2Mxn,BTS,Blood Sweat & Tears,BIGHIT MUSIC,89,156,6,1946,2021-02-06,2021-02-06
179,spotify:track:2xnNgKhyMl9MxBmRNGnBJP,keshi,right here,Island Records,18,171,6,1944,2021-02-06,2021-02-06
180,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,180,-1,1,1942,2021-02-06,2021-02-06
181,spotify:track:33uSVRloZKosKDrGz4eIGS,BEN,Lonely night,Beyond Music,181,-1,1,1940,2021-02-06,2021-02-06
182,spotify:track:0sGuE1QPupKA3D0LyZbTaN,"DPR IAN, DPR LIVE, CL",No Blueberries,DREAM PERFECT REGIME (DPR),182,-1,1,1939,2021-02-06,2021-02-06
183,spotify:track:5i6gHFXg4aLK5xvc2jJJC5,Jung Seung Hwan,If It Is You,Genie Music Corporation,183,-1,1,1933,2021-02-06,2021-02-06
184,spotify:track:77dcmf2tTedc3BuOPF13Ma,"Heize, GIRIBOY",We don't talk together (Prod. by SUGA),Genie Music Corporation,168,168,2,1925,2021-02-06,2021-02-06
185,spotify:track:39kzWAiVPpycdMpr745oPj,BLACKPINK,You Never Know,YG Entertainment/Interscope Records,172,172,2,1922,2021-02-06,2021-02-06
186,spotify:track:2HtcPHFdo7eu4Ilbvb0BVI,TWICE,Feel Special,Republic Records - TWICE,180,180,3,1918,2021-02-06,2021-02-06
187,spotify:track:1IWNylpZ477gIVUDpJL66u,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),Interscope,184,184,3,1916,2021-02-06,2021-02-06
188,spotify:track:56bHclo7YNvpujMveLElQn,BLACKPINK,Forever Young,"2018 YG Entertainment, distributed through Interscope Records",188,-1,1,1913,2021-02-06,2021-02-06
189,spotify:track:5rZkRaL4AjykFgw49KULyo,"DPR LIVE, Crush, eaJ",Jam & Butterfly,DREAM PERFECT REGIME (DPR),189,191,2,1900,2021-02-06,2021-02-06
190,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,156,176,5,1898,2021-02-06,2021-02-06
191,spotify:track:4xTBGxSMgxcpJjMNnIKTl5,BTS,Stigma,BIGHIT MUSIC,145,173,6,1897,2021-02-06,2021-02-06
192,spotify:track:0742PcMPo2Akmo4vHC29VZ,"Jeremy Zucker, Chelsea Cutler",this is how you fall in love,Republic Records,192,-1,1,1892,2021-02-06,2021-02-06
193,spotify:track:1Z8X01dllP6jsUgAHRHOdW,BTS,Save Me,BIGHIT MUSIC,107,192,6,1890,2021-02-06,2021-02-06
194,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,Atlantic Records UK,147,182,5,1885,2021-02-06,2021-02-06
195,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,185,196,3,1880,2021-02-06,2021-02-06
196,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,162,-1,2,1880,2021-02-06,2021-02-06
197,spotify:track:2J0X46UkpfLlWbuCXFgDLr,"Steve Aoki, BTS",Waste It On Me (feat. BTS),"Ultra Records, LLC",129,-1,5,1877,2021-02-06,2021-02-06
198,spotify:track:6mzkkz2p0Nyyp43Eedv4mS,HOMIES,Siren,G.M.S.P,188,199,3,1876,2021-02-06,2021-02-06
199,spotify:track:68EMU2RD1ECNeOeJ5qAXCV,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Artist Partner,199,-1,1,1872,2021-02-06,2021-02-06
200,spotify:track:3tP6QKbXvtrxiDI7QwKyUf,BLACKPINK,STAY,YG Entertainment,190,190,2,1872,2021-02-06,2021-02-06
