rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
36,spotify:track:0eeeyCAGnGZInPtpkdYiPa,BTS,Jamais Vu,BIGHIT MUSIC,24,31,4,4563,2021-02-04,2021-02-04
37,spotify:track:4ecVWqbtW6phQGpZMAyqIU,ITZY,Not Shy,Republic Records - ITZY,37,40,4,4519,2021-02-04,2021-02-04
38,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,38,51,4,4379,2021-02-04,2021-02-04
39,spotify:track:64EDGnUytmCV7TfOo67810,NCT U,90's Love,SM Entertainment,39,42,4,4228,2021-02-04,2021-02-04
40,spotify:track:5xFoqABWVj4FIAf7vQX8FN,BTS,Spring Day,BIGHIT MUSIC,27,37,4,4227,2021-02-04,2021-02-04
41,spotify:track:22ryCgQttpV7oCrn7llGRu,BTS,Magic Shop,BIGHIT MUSIC,41,41,4,4200,2021-02-04,2021-02-04
42,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,39,39,4,4185,2021-02-04,2021-02-04
43,spotify:track:4TaJlCXAkv1WKYODXmq75b,BTS,Black Swan,BIGHIT MUSIC,30,35,4,4156,2021-02-04,2021-02-04
44,spotify:track:0hqj5JBnFt1BHEz2UCFwrl,AKMU,"How can I love the heartbreak, you're the one I love",YG Entertainment,44,54,4,4108,2021-02-04,2021-02-04
45,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",41,43,4,4090,2021-02-04,2021-02-04
46,spotify:track:06eq0M1eZRcIIRfx6d00nu,CHANGMO,METEOR,"Genie Music Corporation, Stone Music Entertainment",46,60,4,4089,2021-02-04,2021-02-04
47,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,32,52,4,4067,2021-02-04,2021-02-04
48,spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,48,58,4,3996,2021-02-04,2021-02-04
49,spotify:track:7K31QxS2DmTBxdYldd8yqf,"lIlBOI, GIRIBOY, BIG Naughty","Tomorrow (Feat. GIRIBOY, BIG Naughty)",Stone Music Entertainment,49,56,4,3993,2021-02-04,2021-02-04
50,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,49,49,4,3956,2021-02-04,2021-02-04
51,spotify:track:6KUE0HSSudAp9AOycaF6SH,BTS,Make It Right,BIGHIT MUSIC,45,45,4,3935,2021-02-04,2021-02-04
52,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,BTS,DNA,BIGHIT MUSIC,35,46,4,3845,2021-02-04,2021-02-04
53,spotify:track:24UdklPfDXaq7Pw5UfoWpc,BTS,We are Bulletproof : the Eternal,BIGHIT MUSIC,36,44,4,3835,2021-02-04,2021-02-04
54,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,54,57,4,3811,2021-02-04,2021-02-04
55,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,55,64,4,3807,2021-02-04,2021-02-04
56,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,Taylor Swift,56,62,4,3798,2021-02-04,2021-02-04
57,spotify:track:4lFT5k1oh0tqa8HX6N2HC5,BTS,00:00 (Zero O’Clock),BIGHIT MUSIC,47,47,4,3774,2021-02-04,2021-02-04
58,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,BIGHIT MUSIC,41,48,4,3756,2021-02-04,2021-02-04
59,spotify:track:70eFcWOvlMObDhURTqT4Fv,"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),Atlantic Records UK,55,55,4,3680,2021-02-04,2021-02-04
60,spotify:track:0JL7DoEqAUcOntWmBuOSdh,"LeeHi, Crush",For You,AOMG,60,76,4,3677,2021-02-04,2021-02-04
61,spotify:track:2isSdmQfVv32j2haL6hk9x,BTS,Intro : Persona,BIGHIT MUSIC,31,68,4,3631,2021-02-04,2021-02-04
62,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,72,4,3566,2021-02-04,2021-02-04
63,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,Agust D,People,BIGHIT MUSIC,15,50,4,3561,2021-02-04,2021-02-04
64,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,64,88,4,3532,2021-02-04,2021-02-04
65,spotify:track:5u1n1kITHCxxp8twBcZxWy,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),RBMG/Def Jam,59,59,4,3489,2021-02-04,2021-02-04
66,spotify:track:645YBsxhFPSOKxGep3uHLv,BTS,Love Maze,BIGHIT MUSIC,61,61,4,3483,2021-02-04,2021-02-04
67,spotify:track:7Acvy2L38SCipAeMPOK8Ro,LeeHi,HOLO,"Genie Music Corporation, Stone Music Entertainment",67,84,4,3422,2021-02-04,2021-02-04
68,spotify:track:1kBDdMMhlNZtfa1CkAvKae,BTS,Moon,BIGHIT MUSIC,49,53,4,3376,2021-02-04,2021-02-04
69,spotify:track:13On7DYsJ3IrWxBWuOwM8t,Yerin Baek,Square (2017),Blue Vinyl,69,102,4,3373,2021-02-04,2021-02-04
70,spotify:track:18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,comethru,Republic Records,70,96,4,3368,2021-02-04,2021-02-04
71,spotify:track:48XfojJC87VKLlUotYV0Gm,"BTS, Steve Aoki",The Truth Untold (feat. Steve Aoki),BIGHIT MUSIC,67,67,4,3348,2021-02-04,2021-02-04
72,spotify:track:0D75ciM842cdUMKSMfAR9y,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),Selena Gomez Latin Project,71,89,4,3334,2021-02-04,2021-02-04
73,spotify:track:7lthOBXNue2IvedLRfkod8,BTS,HOME,BIGHIT MUSIC,55,70,4,3328,2021-02-04,2021-02-04
74,spotify:track:0GISuIGiksexkuD4krw6PN,BTS,Inner Child,BIGHIT MUSIC,63,63,4,3323,2021-02-04,2021-02-04
75,spotify:track:0ffweDHrg4bZqdG4IfGYuo,BTS,Pied Piper,BIGHIT MUSIC,61,71,4,3318,2021-02-04,2021-02-04
76,spotify:track:6z1kLsntE7FuzKZHZWrXYN,DEAN,instagram,Universal Music Ltd.,76,80,4,3307,2021-02-04,2021-02-04
77,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,77,83,4,3304,2021-02-04,2021-02-04
78,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,If I Can't Have You,Island Records,78,87,4,3286,2021-02-04,2021-02-04
79,spotify:track:4TgxFMOn5yoESW6zCidCXL,"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed – Siren Beat) [BTS Remix],Columbia,36,69,4,3262,2021-02-04,2021-02-04
80,spotify:track:7iAgNZdotu40NwtoIWJHFe,"BLACKPINK, Cardi B",Bet You Wanna (feat. Cardi B),YG Entertainment/Interscope Records,73,73,4,3259,2021-02-04,2021-02-04
81,spotify:track:4fFfyouye6vrX9o9z4PVMu,Lauv,Never Not,Lauv,81,132,4,3257,2021-02-04,2021-02-04
82,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,82,94,4,3235,2021-02-04,2021-02-04
83,spotify:track:3NfgdU9mbIVhcJF3XvC0c9,OH MY GIRL,Dolphin,WM ENTERTAINMENT INC.,83,108,4,3235,2021-02-04,2021-02-04
84,spotify:track:2tdq0CeAGSfhI2l4Gwkvgx,BTS,Best Of Me,BIGHIT MUSIC,74,74,4,3211,2021-02-04,2021-02-04
85,spotify:track:5cQB9fbuQCz4muQUFkv3rR,BTS,Serendipity (Full Length Edition),BIGHIT MUSIC,56,66,4,3202,2021-02-04,2021-02-04
86,spotify:track:1ayaOin9hxCtyhg4UsBTpg,NCT 127,Kick It,SM Entertainment,67,79,4,3201,2021-02-04,2021-02-04
87,spotify:track:75scDPqGs75FotglJSoOI2,"BTS, Steve Aoki",MIC Drop (Steve Aoki Remix) (Full Length Edition),BIGHIT MUSIC,45,75,4,3169,2021-02-04,2021-02-04
88,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,77,77,3,3149,2021-02-04,2021-02-04
89,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,89,113,4,3126,2021-02-04,2021-02-04
90,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,90,103,4,3101,2021-02-04,2021-02-04
91,spotify:track:0H4ugk6rhnXmTl47ayy9O5,Agust D,Daechwita,BIGHIT MUSIC,12,65,4,3086,2021-02-04,2021-02-04
92,spotify:track:4lRwa7PKcGIuJMwtPIYKdy,BTS,Anpanman,BIGHIT MUSIC,81,81,4,3074,2021-02-04,2021-02-04
93,spotify:track:4eVkn18rN4GguUWOsR6Use,BTS,Answer : Love Myself,BIGHIT MUSIC,82,82,4,3028,2021-02-04,2021-02-04
94,spotify:track:0psS4i5YooJrXfDnGvWRLi,"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),Darkroom/Interscope Records,90,97,4,2991,2021-02-04,2021-02-04
95,spotify:track:1TUkEXQrskATO9SoB4QMUN,BAEKHYUN,Amusement Park,SM Entertainment,77,101,4,2982,2021-02-04,2021-02-04
96,spotify:track:5FOnZ5yGWaKk0bxHOigYQk,CHUNG HA,X,MNH ENTERTAINMENT,96,107,4,2975,2021-02-04,2021-02-04
97,spotify:track:0DEdF1WCE93oW0VICMDx5T,BTS,Respect,BIGHIT MUSIC,65,78,4,2955,2021-02-04,2021-02-04
98,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,"j-hope, Becky G",Chicken Noodle Soup (feat. Becky G),BIGHIT MUSIC,29,90,4,2946,2021-02-04,2021-02-04
99,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,99,129,4,2942,2021-02-04,2021-02-04
100,spotify:track:1trFxVLL8WKhYap543e74l,BTS,Airplane pt.2,BIGHIT MUSIC,81,93,4,2923,2021-02-04,2021-02-04
101,spotify:track:6tCssnvTUREcperDOUTqvA,ITZY,WANNABE,Republic Records - ITZY,101,106,3,2897,2021-02-04,2021-02-04
102,spotify:track:0ox4uVLjlsGh0XseBN2fZa,NCT 127,First Love,avex trax,44,91,4,2895,2021-02-04,2021-02-04
103,spotify:track:6sI8Q7TTJeA9exw6hxEqq3,"MAX, SUGA",Blueberry Eyes (feat. SUGA of BTS),Colour Vision Records/Sony Music Entertainment,100,128,4,2888,2021-02-04,2021-02-04
104,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,104,126,4,2885,2021-02-04,2021-02-04
105,spotify:track:0PoAZ7SLFpqpYR9LSCYAo8,TWICE,CRY FOR ME,Republic Records - TWICE,105,140,4,2883,2021-02-04,2021-02-04
106,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,BTS,Intro: Singularity,BIGHIT MUSIC,105,105,4,2857,2021-02-04,2021-02-04
107,spotify:track:6JdS5rJvJaRA7B1tcm7kxZ,BTS,Dionysus,BIGHIT MUSIC,78,86,4,2851,2021-02-04,2021-02-04
108,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,Conan Gray,Maniac,Republic Records,108,137,4,2847,2021-02-04,2021-02-04
109,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,109,120,4,2846,2021-02-04,2021-02-04
110,spotify:track:2woXriAP3J52r5KlutnKzr,Jang Beom June,Your Shampoo Scent In The Flowers,"Genie Music Corporation, Stone Music Entertainment",110,136,3,2840,2021-02-04,2021-02-04
111,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,"Marshmello, Halsey",Be Kind (with Halsey),Astralwerks,111,116,4,2834,2021-02-04,2021-02-04
112,spotify:track:2lHmx4nJOTGHx2PkEFMADF,"lIlBOI, YUMDDA, GIRIBOY, Zion.T","CREDIT (Feat. YUMDDA, GIRIBOY, Zion.T)",Stone Music Entertainment,112,151,4,2826,2021-02-04,2021-02-04
113,spotify:track:2etHQJxIbV0soyPhelVs9Y,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),ICY/Warner Records,76,125,4,2826,2021-02-04,2021-02-04
114,spotify:track:200110T27gmATYagfNYzkF,BTS,UGH!,BIGHIT MUSIC,77,92,4,2808,2021-02-04,2021-02-04
115,spotify:track:2AIWoHr9DF6y4KALCBKWQS,BTS,IDOL,BIGHIT MUSIC,87,100,4,2805,2021-02-04,2021-02-04
116,spotify:track:5MmABMNE9bQlzrk3bVR09B,BTS,Lie,BIGHIT MUSIC,75,85,4,2801,2021-02-04,2021-02-04
117,spotify:track:4vjpLMyL3ZO6aphdYr8XYw,"Lauv, Troye Sivan",i'm so tired...,Lauv,117,133,4,2778,2021-02-04,2021-02-04
118,spotify:track:5nq1uTNIR1cBR72T87viS0,BTS,Go Go,BIGHIT MUSIC,88,114,4,2776,2021-02-04,2021-02-04
119,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",105,109,3,2773,2021-02-04,2021-02-04
120,spotify:track:6jq9F7GSXFtqKwb1dW2Mxn,BTS,Blood Sweat & Tears,BIGHIT MUSIC,89,104,4,2764,2021-02-04,2021-02-04
121,spotify:track:2qG81jL9UIP54uS8gYyP4k,"Lauv, BTS",Who,Lauv,109,119,4,2758,2021-02-04,2021-02-04
122,spotify:track:1ZwpgxkDbrijTNqLKJsAKJ,LeeHi,BREATHE,YG Entertainment,122,134,2,2757,2021-02-04,2021-02-04
123,spotify:track:3ryjLm3oupIjJFGc39naNi,BTS,dimple,BIGHIT MUSIC,95,95,4,2756,2021-02-04,2021-02-04
124,spotify:track:3b80IqPWhMgFA4RXFQLpFz,"MIRANI, GroovyRoom, pH-1, HAON","Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",Stone Music Entertainment,124,146,3,2742,2021-02-04,2021-02-04
125,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,"NCT, NCT U",BOSS,SM Entertainment,116,123,4,2713,2021-02-04,2021-02-04
126,spotify:track:7L8hkKW4hnemNfuOfEZcle,BTS,Epiphany,BIGHIT MUSIC,104,112,4,2708,2021-02-04,2021-02-04
127,spotify:track:314ZkcV7oLWG8yWE7LABvH,"BTS, Lauv",Make It Right (feat. Lauv),BIGHIT MUSIC,102,118,4,2704,2021-02-04,2021-02-04
128,spotify:track:6rcn967QN5JtkPOBDwYIuT,NCT DREAM,BOOM,SM Entertainment,74,121,4,2694,2021-02-04,2021-02-04
129,spotify:track:03TdLY0nav9sQ3kyjbyJ9t,Lim Changjung,Love Should Not Be Harsh on You,YES IM ENTERTAINMENT,129,148,3,2693,2021-02-04,2021-02-04
130,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,Kemosabe Records/RCA Records,80,138,4,2682,2021-02-04,2021-02-04
131,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,124,3,2664,2021-02-04,2021-02-04
132,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,116,152,4,2663,2021-02-04,2021-02-04
133,spotify:track:4kIpBfvK44bxqX7zo8K1oP,Gaho,시작,(주)블렌딩,133,143,3,2662,2021-02-04,2021-02-04
134,spotify:track:1GkHyypTFkUf0QQKwYoXH4,"benny blanco, Marshmello, Vance Joy",You (with Marshmello & Vance Joy),Interscope / Friends Keep Secrets / Joytime Collective,97,169,4,2648,2021-02-04,2021-02-04
135,spotify:track:4CvId64YZSB0RfRdfzPIQU,BTS,So What,BIGHIT MUSIC,111,111,4,2621,2021-02-04,2021-02-04
136,spotify:track:7rWZS6UDNgLbtCgq3eUrdM,BTS,Louder than bombs,BIGHIT MUSIC,59,117,4,2610,2021-02-04,2021-02-04
137,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),Arista Records,137,161,4,2609,2021-02-04,2021-02-04
138,spotify:track:4KjASaPtCvRJ4YArYpz6je,"Agust D, RM",Strange (feat. RM),BIGHIT MUSIC,35,99,4,2605,2021-02-04,2021-02-04
139,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,115,115,3,2605,2021-02-04,2021-02-04
140,spotify:track:3Ml2s37uS9jqRM2R3bfDiB,Paul Kim,"Every day, Every Moment",SM Entertainment,140,155,2,2595,2021-02-04,2021-02-04
141,spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),RBMG/Def Jam,141,167,4,2582,2021-02-04,2021-02-04
142,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,142,144,3,2581,2021-02-04,2021-02-04
143,spotify:track:03B2SfXuvDh1m9F4tqrX07,Sabrina Carpenter,Skin,Island Records,127,168,4,2572,2021-02-04,2021-02-04
144,spotify:track:41CgzGD7xlgnJe14R4cqkL,Lauv,Paris in the Rain,Lauv,144,176,2,2553,2021-02-04,2021-02-04
145,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,79,159,4,2548,2021-02-04,2021-02-04
146,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,84,131,4,2547,2021-02-04,2021-02-04
147,spotify:track:6CdUgvL597jWmW4w8P5kHs,TAEYEON,Fine,SM Entertainment,147,183,2,2544,2021-02-04,2021-02-04
148,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,120,122,4,2522,2021-02-04,2021-02-04
149,spotify:track:0prNGof3XqfTvNDxHonvdK,Alessia Cara,Scars To Your Beautiful,"EP Entertainment, LLC / Def Jam",149,166,3,2494,2021-02-04,2021-02-04
150,spotify:track:6ft4hAq6yde8jPZY2i5zLr,"MEDUZA, Dermot Kennedy",Paradise (feat. Dermot Kennedy),Universal-Island Records Ltd.,150,187,4,2487,2021-02-04,2021-02-04
151,spotify:track:06bwLBRfk0UuPDrXUe0NqG,BTS,Outro : Ego,BIGHIT MUSIC,106,110,4,2484,2021-02-04,2021-02-04
152,spotify:track:09erNidgzl2DZysi97bWN1,GSoul,Hate Everything,"Genie Music Corporation, Stone Music Entertainment",152,-1,1,2468,2021-02-04,2021-02-04
153,spotify:track:2aI2k39nfa3KFsa4JclQzw,BLACKPINK,DDU-DU DDU-DU,"2018 YG Entertainment, distributed through Interscope Records",153,158,3,2460,2021-02-04,2021-02-04
154,spotify:track:3UoULw70kMsiVXxW0L3A33,Ariana Grande,pov,Republic Records,147,154,4,2456,2021-02-04,2021-02-04
155,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,BLACKPINK,Love To Hate Me,YG Entertainment/Interscope Records,130,130,4,2444,2021-02-04,2021-02-04
156,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,156,172,3,2444,2021-02-04,2021-02-04
157,spotify:track:4IzofHMmUybZv3myzHlZE7,BTS,Dope,BIGHIT MUSIC,95,127,4,2437,2021-02-04,2021-02-04
158,spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),Interscope,150,150,4,2436,2021-02-04,2021-02-04
159,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),RCA Records Label,133,174,4,2433,2021-02-04,2021-02-04
160,spotify:track:7IXi8qEDc9oASO5LTx19nT,NCT U,My Everything,SM Entertainment,104,156,4,2432,2021-02-04,2021-02-04
161,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,157,157,3,2410,2021-02-04,2021-02-04
162,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,99,153,4,2409,2021-02-04,2021-02-04
163,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,132,175,4,2409,2021-02-04,2021-02-04
164,spotify:track:1Z8X01dllP6jsUgAHRHOdW,BTS,Save Me,BIGHIT MUSIC,107,135,4,2405,2021-02-04,2021-02-04
165,spotify:track:3rrqE1KR8LtixLzgtBFcCu,BTS,I Need U,BIGHIT MUSIC,112,139,4,2400,2021-02-04,2021-02-04
166,spotify:track:5p10VwQ8LRoyTc8LFrvPw6,BTS,Outro: Tear,BIGHIT MUSIC,136,180,4,2377,2021-02-04,2021-02-04
167,spotify:track:4xTBGxSMgxcpJjMNnIKTl5,BTS,Stigma,BIGHIT MUSIC,145,145,4,2365,2021-02-04,2021-02-04
168,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,Atlantic Records UK,147,147,3,2337,2021-02-04,2021-02-04
169,spotify:track:0EQMrxdeiBhry9JCxskko3,BTS,I'm Fine,BIGHIT MUSIC,165,165,3,2329,2021-02-04,2021-02-04
170,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,170,192,2,2320,2021-02-04,2021-02-04
171,spotify:track:71WZ7yFuwxmQz5jJUpvkGv,DAY6,You Were Beautiful,Republic Records - DAY6,140,198,4,2319,2021-02-04,2021-02-04
