rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date
118,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,"The Weeknd, Daft Punk",I Feel It Coming,Universal Republic Records,47,98,23,1196,2021-03-02
119,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,77,106,30,1196,2021-03-02
120,spotify:track:2woXriAP3J52r5KlutnKzr,Jang Beom June,Your Shampoo Scent In The Flowers,"Genie Music Corporation, Stone Music Entertainment",65,104,29,1196,2021-03-02
121,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),South Coast Music Group/Interscope Records,86,117,23,1194,2021-03-02
122,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,108,29,1193,2021-03-02
123,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,"Universal Music, a division of Universal International Music BV",123,150,5,1176,2021-03-02
124,spotify:track:4TaJlCXAkv1WKYODXmq75b,BTS,Black Swan,BIGHIT MUSIC,30,94,30,1168,2021-03-02
125,spotify:track:7JrvYwKnJRe3p3orzKXwaS,SHINee,Kiss Kiss,SM Entertainment,20,137,9,1167,2021-03-02
126,spotify:track:0742PcMPo2Akmo4vHC29VZ,"Jeremy Zucker, Chelsea Cutler",this is how you fall in love,Republic Records,105,130,25,1163,2021-03-02
127,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,Mogul Vision/Interscope Records,106,128,22,1162,2021-03-02
128,spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),Interscope,83,129,30,1158,2021-03-02
129,spotify:track:6z1kLsntE7FuzKZHZWrXYN,DEAN,instagram,Universal Music Ltd.,60,132,30,1157,2021-03-02
130,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,100,116,27,1155,2021-03-02
131,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,92,152,27,1147,2021-03-02
132,spotify:track:64EDGnUytmCV7TfOo67810,NCT U,90's Love,SM Entertainment,39,-1,29,1139,2021-03-02
133,spotify:track:4y4spB9m0Q6026KfkAvy9Q,"Justin Bieber, benny blanco",Lonely (with benny blanco),Friends Keep Secrets/Def Jam Recordings/Interscope Records,97,145,24,1139,2021-03-02
134,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,76,115,30,1139,2021-03-02
135,spotify:track:2LUQEcfWrlpMjODQ7NsVWt,SHINee,I Really Want You,SM Entertainment,18,142,9,1131,2021-03-02
136,spotify:track:2sQH02O2HBCPJCztBrCWNa,"Ariana Grande, Doja Cat, Megan Thee Stallion","34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Republic Records,49,-1,22,1128,2021-03-02
137,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,80,120,28,1127,2021-03-02
138,spotify:track:5YaskwnGDZFDRipaqzbwQx,"ATB, Topic, A7S",Your Love (9PM),Virgin,138,-1,6,1127,2021-03-02
139,spotify:track:4QvSA3gQn7DAWEwuEdHBAt,John K,parachute,Epic,130,138,10,1116,2021-03-02
