rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
137,"spotify:track:5oMumOpP2Bavh3JyjbOqP5","Brendan Peyper","Toer Om Die Vloer","Select",137,186,3,"42223"
138,"spotify:track:6zLUuRvJfJDDEqCMWILcs1","Pushkin RSA, Springle, Mankay & Choco Dynasty","Welele","Pushkin and Springle",23,182,17,"42213"
139,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",14,153,29,"41726"
140,"spotify:track:4iuNZTcvT9diFySSzVsnVS","Fantasia","When I See U","J Records",53,145,137,"41642"
141,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,162,206,"41587"
142,"spotify:track:2ZL7WZcjuYKi1KUDtp4kCC","Drake, 21 Savage","Spin Bout U","OVO / Republic Records",7,149,7,"41265"
143,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,160,62,"41236"
144,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",21,154,64,"41204"
145,"spotify:track:4FYjstGlWs9de3Lw8hgunF","Mr JazziQ, EeQue, Guluva, Jandas, Zan'Ten","Nazoke(Akana zol) (feat. Jandas & Zan'Ten)","Sound African Recordings",145,-1,1,"41195"
146,"spotify:track:6tjituizSxwSmBB5vtgHZE","Michael Bublé","Holly Jolly Christmas","143/Reprise",24,-1,8,"41149"
147,"spotify:track:1pacwLXyRO47ka0v6LTIiY","Metro Boomin, Travis Scott","Raindrops (Insane) [with Travis Scott]","Republic Records",21,103,3,"41010"
148,"spotify:track:0QEsePcb9rjHIqemNB5XX8","Kelvin Momo, Sipho Magudulela, Jay Sax","Soweto Groove","Kelvin Momo Productions",50,50,2,"40817"
149,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",85,140,20,"40780"
