rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
160,spotify:track:373fb3tsAbcShtD2RZ8edv,Brown Eyes,벌써 일년,CJ E&M MUSIC,160,-1,2,47787,2025-01-02
161,spotify:track:04TshWXkhV1qkqHzf31Hn6,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,25,173,112,47745,2025-01-02
162,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,36,198,131,47680,2025-01-02
163,spotify:track:2y8vRHEoz15sYDmxyrDePO,TWS,"If I’m S, Can You Be My N?",PLEDIS Entertainment,33,186,28,47651,2025-01-02
164,spotify:track:6koKhrBBcExADvWuOgceNZ,"SZA, Travis Scott",Open Arms (feat. Travis Scott),Top Dawg Entertainment/RCA Records,106,152,4,47580,2025-01-02
165,spotify:track:1njlnn8ZKHI77Pe9szIONR,BABYMONSTER,SHEESH,YG Entertainment,9,-1,38,47476,2025-01-02
166,spotify:track:3V375E3xldRPEEcIKiw83l,"G-DRAGON, ROSÉ",Without You (Feat. ROSE),YG Entertainment,122,160,7,47464,2025-01-02
167,spotify:track:2nRMW95dnOILirpjbksLTs,Jung Kook,Never Let Go,BIGHIT MUSIC,9,-1,22,47420,2025-01-02
168,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,Jin,The Astronaut,BIGHIT MUSIC,6,-1,66,47189,2025-01-02
169,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,30,-1,18,46936,2025-01-02
170,spotify:track:3wYDgvDi82GUU1NPy2roYp,The Nuts,사랑의 바보,오감엔터테인먼트,170,197,3,46638,2025-01-02
171,spotify:track:08mBjtIMyRWBh4Y4ubOuiK,TAEYANG,"눈,코,입 (Eyes, Nose, Lips)",YG Entertainment,171,-1,3,46507,2025-01-02
172,spotify:track:3s761CQaziQ0GEN1yUkIsG,Nerd Connection,‎Good Night Good Dream,Your Summer,81,-1,119,46336,2025-01-02
173,spotify:track:0UaaFmF3xUwMjnuAHBq7qL,Crush,Love You With All My Heart,소리날리,21,185,37,46280,2025-01-02
174,spotify:track:15HNdxGKNCIO9pgaY4n7FU,OFFICIAL HIGE DANDISM,Pretender,PONY CANYON INC.,137,182,29,46266,2025-01-02
175,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,35,172,66,46189,2025-01-02
176,spotify:track:4UwsXGVppRRJpKBHy0mtyK,YENA,NEMONEMO,"Genie Music Corporation, Stone Music Entertainment",35,192,13,46044,2025-01-02
177,spotify:track:7qPzWJGFP6KO6JgDqKdjDK,BIGBANG,BAE BAE,YG Entertainment,177,-1,1,46041,2025-01-02
178,spotify:track:6pqyZNnLKyJKtrlf42FQoq,BOYNEXTDOOR,Nice Guy,KOZ Entertainment,35,187,15,45916,2025-01-02
179,spotify:track:05STjz8kmPBUebu3uu5sO0,Lim Young Woong,Nest,물고기뮤직,38,194,119,45685,2025-01-02
180,spotify:track:1OhIn0L6iofnk5bjalWfHq,ECLIPSE,Sudden Shower,"Genie Music Corporation, Stone Music Entertainment",26,-1,31,45064,2025-01-02
181,spotify:track:43u5DDtK4vQ1coWXb4S5a8,Lim Young Woong,HERO,"TIZZO C&C, New Era Project",31,-1,108,44941,2025-01-02
182,spotify:track:34HSEUn4YGAFBW9OHGIkU7,george,Boat,CRAFT AND JUN,56,-1,27,44914,2025-01-02
183,spotify:track:34DtDWmIUacoop6Md298vE,PLAVE,Pump Up The Volume!,VLAST,26,-1,19,44830,2025-01-02
184,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,79,-1,196,44828,2025-01-02
185,spotify:track:046Gh1kXtPynYPaKep5M8E,Heo Hoy Kyung,So life goes on,(주)문화인,144,-1,4,44804,2025-01-02
186,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,-1,181,44782,2025-01-02
187,spotify:track:7B9W7Qsy5M2kyUNjQYIEG8,fromis_9,DM,PLEDIS Entertainment,8,183,52,44684,2025-01-02
188,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,69,-1,27,44634,2025-01-02
189,spotify:track:5LlUJ3HHI2dS0xowdMDXC5,MEOVV,MEOW,MEOVV,12,191,17,44053,2025-01-02
190,spotify:track:2gkVEnpahpE3bQuvGuCpAV,Jung Kook,Yes or No,BIGHIT MUSIC,7,130,61,44008,2025-01-02
191,spotify:track:5OdI6v2L7Aez4cclpbojiZ,ROSÉ,stay a little longer,Atlantic Records,38,129,4,43894,2025-01-02
192,spotify:track:5BqwC9kOBbqYkzdOKeXFFk,JANNABI,for lovers who hesitate,PEPONI MUSIC,55,-1,196,43760,2025-01-02
193,spotify:track:1TCkgf6YdQa9jzhWziWbjf,Lim Young Woong,Elevator,덕업닷컴,52,-1,88,43504,2025-01-02
194,spotify:track:5XVEx1pTUR4T7ABtXoGGxx,Izi,응급실,오감엔터테인먼트,161,200,6,43339,2025-01-02
195,spotify:track:6P1kcEdGjs06Wd3DKGuFna,BIGBANG,Lies,YG Entertainment,195,-1,1,42935,2025-01-02
196,spotify:track:1T6xi2QrnmwaebXGvWAjLg,PLAVE,WAY 4 LUV,VLAST,44,-1,19,42876,2025-01-02
197,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,110,-1,56,42864,2025-01-02
198,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered,Big Brother,49,-1,43,42766,2025-01-02
199,spotify:track:3aSWXU6owkZeVhh94XxEWO,"SZA, Kendrick Lamar",30 For 30 (with Kendrick Lamar),Top Dawg Entertainment/RCA Records,127,127,2,42685,2025-01-02
200,spotify:track:3lwK3WyKAI5bUuGY1OgGbZ,LE SSERAFIM,Smart,SOURCE MUSIC,10,-1,45,42551,2025-01-02
