rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
22,"spotify:track:3LPLRNr58Z9Pn0clnEtkXb","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",2,19,61,"2395108"
23,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",3,20,120,"2365249"
24,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",17,21,61,"2361312"
25,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",2,24,220,"2314843"
26,"spotify:track:2u9S9JJ6hTZS3Vf22HOZKg","Drake","NOKIA","OVO Sound",15,25,80,"2277593"
27,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",23,23,79,"2267807"
28,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",2,34,575,"2257885"
29,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",5,31,391,"2215206"
30,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",2,30,696,"2212337"
31,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,27,536,"2204174"
32,"spotify:track:4e6TmHCC4PRUj75knNplNP","Fourtwnty, Charita Utami","Mangu","Fourtwnty Music",32,52,15,"2152414"
33,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",15,41,1007,"2134459"
34,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",11,45,1033,"2090138"
35,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,32,364,"2073112"
36,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",18,33,261,"2060418"
37,"spotify:track:1QV6tiMFM6fSOKOGLMHYYg","Lady Gaga","Poker Face","Streamline/Interscope",37,60,101,"2021402"
38,"spotify:track:2wG1mwTiuvqll9YYLMjSaY","ATLXS","PASSO BEM SOLTO - Slowed","broke",35,37,39,"2019460"
39,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",26,29,82,"2002031"
40,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",27,39,598,"1995519"
41,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",32,46,177,"1985835"
42,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",14,51,1714,"1960605"
43,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",9,35,120,"1957056"
44,"spotify:track:2RdEC8Ff83WkX7kDVCHseE","Charli xcx","party 4 u","Atlantic Records UK",42,48,14,"1933159"
45,"spotify:track:3be9ACTxtcL6Zm4vJRUiPG","yung kai","blue","BMG Rights Management (US) LLC",22,62,155,"1914753"
46,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",4,36,318,"1909456"
47,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",34,44,1299,"1903825"
48,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",2,47,409,"1897706"
49,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",14,43,101,"1864882"
50,"spotify:track:0L5gbpFGU06vqSHacOxgka","Clave Especial, Edgardo Nuñez","TU TU TU","WEA Latina",42,42,23,"1848652"
51,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",38,40,129,"1845849"
52,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",2,50,255,"1843418"
53,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",13,58,792,"1839668"
54,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",34,38,134,"1822652"
55,"spotify:track:5tlb0AxuzsMWL2GtEppXGX","Cup of Joe","Multo","Viva Records",24,69,30,"1809655"
56,"spotify:track:5HZBdV5AwSvKdHFOYbXYD7","Los Dareyes De La Sierra, Tito Double P","Vita Fer","Double P Records",49,54,30,"1807149"
57,"spotify:track:0QkWikH5Z3U0f79T9iuF6c","Lady Gaga","Judas","Interscope",57,85,21,"1738310"
58,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",15,59,1585,"1734535"
59,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",49,49,34,"1724021"
60,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris Mj","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",2,53,448,"1692142"
61,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",5,55,385,"1680358"
62,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",24,56,59,"1673908"
63,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",27,61,981,"1660169"
64,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,87,660,"1645457"
65,"spotify:track:4eLDmhsJW3JoZTXCAozHor","Neton Vega","Loco","Josa Records",14,68,129,"1618904"
66,"spotify:track:0auX6W6oLjO9cHmx4UTaNj","d4vd","Feel It","Darkroom/Interscope Records",43,76,96,"1617908"
67,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,57,120,"1617714"
68,"spotify:track:0SiywuOBRcynK0uKGWdCnn","Lady Gaga","Bad Romance","Interscope",68,107,23,"1613710"
69,"spotify:track:3t72JCbFJ3syOhFC7x9Pa4","Neton Vega","M&M","Josa Records",53,65,73,"1604656"
70,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",41,63,183,"1593943"
71,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino Recording Co",40,81,1218,"1592128"
72,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",5,66,164,"1580604"
73,"spotify:track:3KgHiAVuP88QoQs9CO4z1P","Tito Double P","TATTOO","Double P Records",21,71,66,"1574973"
74,"spotify:track:1j15Ar0qGDzIR0v3CQv3JL","KATSEYE","Gnarly","HYBE/Geffen",74,93,3,"1567455"
75,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",1,89,423,"1567320"
76,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",8,67,120,"1555752"
77,"spotify:track:6jbYpRPTEFl1HFKHk1IC0m","Tyler, The Creator, Lola Young","Like Him (feat. Lola Young)","Columbia",20,82,189,"1553402"
78,"spotify:track:2jNyiavSywmA472t2m6ZBz","Lorde","What Was That","Universal Music New Zealand Limited",5,64,11,"1548460"
79,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",18,78,73,"1547453"
80,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",49,70,119,"1534014"
81,"spotify:track:3x3K1RP3Zfi2qeMR8kyrNO","Benson Boone","Sorry I'm Here For Someone Else","Night Street Records, Inc./Warner Records Inc.",58,75,53,"1531719"
82,"spotify:track:7EW7Yivb93qKAtp5qEm5of","Lil Tecca","Dark Thoughts","Galactic / Republic Records",18,83,52,"1516411"
83,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,84,1673,"1502006"
84,"spotify:track:6uroNiDEDd0xFLiri0aQNk","Esau Ortiz","Triple Lavada","ESAU ORTIZ AZUARA/Sony Music Latin",69,77,27,"1498812"
85,"spotify:track:2tHwzyyOLoWSFqYNjeVMzj","Sabrina Carpenter","Please Please Please","Island Records",1,88,332,"1495610"
86,"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Lady Gaga, Colby O'Donis","Just Dance","Streamline/Interscope",86,112,23,"1481475"
87,"spotify:track:2OxvanM5m1Na9OVlXyXmUp","Raim Laode","Lesung Pipi","Raim Laode",72,105,22,"1481417"
88,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",7,73,120,"1481235"
89,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",77,97,37,"1478200"
90,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",13,72,171,"1476216"
91,"spotify:track:0GRc3eGTg8HBdWLRGYgqIc","Ed Sheeran","Azizam","Gingerbread Man Records / Atlantic Records UK",27,74,27,"1466056"
92,"spotify:track:7ricDBUakN3N0YkkKE8Obu","Beéle, Ovy On The Drums","mi refe","5020 Records",52,79,123,"1458721"
93,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",52,115,998,"1457829"
94,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",1,80,359,"1454678"
95,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,102,443,"1450578"
96,"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Jin","Running Wild","BIGHIT MUSIC",6,106,171,"1440681"
97,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",84,98,521,"1436255"
98,"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Kushagra, Bharath, Saaheal","Finding Her","EYP Creations",89,104,27,"1434965"
99,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",78,92,1475,"1416238"
100,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",17,103,685,"1396728"
101,"spotify:track:5LHPcY9yd0hWVFIW4yfOCJ","Chuyin, Fuerza Regida, Jorsshh, Calle 24","Pika Pika","Street Mob Records",71,100,81,"1394860"
102,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",14,96,294,"1377390"
103,"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Imogen Heap","Headlock","Megaphonic",63,122,122,"1374586"
104,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,118,553,"1366832"
105,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",79,86,495,"1361055"
106,"spotify:track:5TTGoX70AFrTvuEtqHK37S","Arctic Monkeys","No. 1 Party Anthem","Domino Recording Co",70,133,175,"1355614"
107,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",28,111,1543,"1351106"
108,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",3,109,2755,"1348870"
109,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",2,95,1792,"1348725"
110,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",87,90,16,"1340505"
111,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,116,2500,"1334694"
112,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",7,94,695,"1332537"
113,"spotify:track:5Z75FvRFiultmPFWHx5jQ7","Gabito Ballesteros, Tito Double P","7 DIAS","Los CT Records",15,99,94,"1330394"
114,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",11,125,1479,"1327825"
115,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",15,163,279,"1327192"
116,"spotify:track:75JFxkI2RXiU7L9VXzMkle","Coldplay","The Scientist","Parlophone Records Limited",79,132,403,"1317142"
117,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,114,1982,"1312858"
118,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",15,159,157,"1297088"
119,"spotify:track:0b0Dz0Gi86SVdBxYeiQcCP","Sabrina Carpenter","Busy Woman","Island Records",11,110,80,"1296306"
120,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",57,101,1105,"1291493"
121,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",3,151,351,"1262987"
122,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,136,818,"1260689"
123,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Universal-Island Records Ltd.",63,124,874,"1260212"
124,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",9,131,1185,"1260066"
125,"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","Empire Of The Sun","We Are The People","EMI Recorded Music Australia Pty Ltd",89,91,58,"1258016"
126,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",25,146,808,"1251944"
127,"spotify:track:1FEiijYPJtyswChfcpv3p0","Lana Del Rey","Summertime Sadness","Polydor Records",74,149,861,"1250754"
128,"spotify:track:3avYqdwHKEq8beXbeWCKqJ","Katy Perry","Last Friday Night (T.G.I.F.)","Capitol Records",111,129,26,"1247791"
129,"spotify:track:7hNgSEQ4Ho7kWBA2rKpDd9","Oscar Maydon, Neton Vega","Amigos? No.","Rancho Humilde/Sony Music Latin",88,117,54,"1247347"
130,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",6,140,941,"1243228"
131,"spotify:track:6fxVffaTuwjgEk5h9QyRjy","Ed Sheeran","Photograph","Atlantic Records UK",40,160,1287,"1238726"
132,"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Bruno Mars","Just the Way You Are","Elektra (NEK)",27,138,848,"1236917"
133,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",61,121,481,"1226680"
134,"spotify:track:0IsIY8pfu1yaGkPUD7pkDx","Charli xcx, Billie Eilish","Guess featuring billie eilish","Atlantic Records",3,130,267,"1225876"
135,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",94,123,155,"1225547"
136,"spotify:track:3dYD57lRAUcMHufyqn9GcI","Hozier","Take Me To Church","Universal-Island Records Ltd.",91,134,1276,"1209130"
137,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",14,120,379,"1208077"
138,"spotify:track:3M0lSi5WW79CXQamgSBIjx","Chase Atlantic","Swim","Warner Records",46,180,211,"1205523"
139,"spotify:track:2SkB7jADnfiWH8qAE9H8cO","Xavi, Manuel Turizo","En Privado","Interscope Records",77,113,46,"1204976"
140,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",58,119,264,"1195753"
141,"spotify:track:07bruo5RoHasGqnun1Z31S","Neton Vega, Tito Double P","Chiquita","Josa Records",139,150,26,"1193836"
142,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",63,162,432,"1190482"
143,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,142,1121,"1185427"
144,"spotify:track:0eaVIYo2zeOaGJeqZ5TwYz","Don Toliver","No Pole","Cactus Jack / Atlantic",58,139,173,"1177475"
145,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",59,147,1211,"1176625"
146,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",31,161,481,"1175602"
147,"spotify:track:1wOp7yTVyH176bW1z9WAiv","Alex Warren","Carry You Home","Atlantic Records",85,155,87,"1172328"
148,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Universal Music MENA (Pakistan)",128,158,19,"1170025"
149,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",19,196,2542,"1168948"
150,"spotify:track:0dS2u2UFd88TIzDDaZDLvS","d4vd","Here With Me","Darkroom/Interscope Records",13,191,510,"1166300"
151,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",12,135,416,"1159890"
152,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",82,-1,253,"1156317"
153,"spotify:track:1cOboCuWYI2osTOfolMRS6","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",4,148,215,"1156302"
154,"spotify:track:0FDzzruyVECATHXKHFs9eJ","Coldplay","A Sky Full of Stars","Parlophone UK",72,128,281,"1153065"
155,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",92,156,709,"1151097"
156,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",21,154,1050,"1144831"
157,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",2,-1,1260,"1141032"
158,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",127,127,3,"1133032"
159,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",85,-1,128,"1132943"
160,"spotify:track:2XUx8PCXGpP1XhZJMGiUol","Malcolm Todd","Chest Pain (I Love)","Columbia",53,185,28,"1132631"
161,"spotify:track:5Fhr3wqeieN5WDkAsqL1JJ","j-hope","MONA LISA","BIGHIT MUSIC",12,187,45,"1132420"
162,"spotify:track:22YkP95GjCfXkWKyU5k1zZ","WizTheMc, bees & honey, Tyla","Show Me Love (with Tyla)","Bamboo Artists 2025 / Tyla appears courtesy of Fax/Epic",136,153,6,"1132026"
163,"spotify:track:5ceKWhT3J34xxw5uzIzgU9","Morgan Wallen, Post Malone","I Ain't Comin' Back (feat. Post Malone)","Big Loud Records / Mercury Records / Republic Records",18,144,17,"1129142"
164,"spotify:track:3p4hRhMcb6ch8OLtATMaLw","Cigarettes After Sex","Cry","Partisan Records",118,-1,112,"1127771"
165,"spotify:track:5MI9rnOsAayuxi7pKVydNg","Maroon 5, LISA","Priceless (feat. LISA)","222 Records/Interscope Records",31,108,3,"1127283"
166,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",92,-1,593,"1125968"
167,"spotify:track:221eHga9f9Ne4f8D7WVgPT","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",40,145,10,"1125537"
168,"spotify:track:4EIFwndJvGpgFjsEbNuYif","JENNIE, Doechii","ExtraL (feat. Doechii)","OA Entertainment/Columbia",18,170,73,"1120415"
169,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",7,171,516,"1119812"
170,"spotify:track:1edcyazKIdKrIuz9cWpXU6","Ariana Grande","twilight zone","Republic Records",3,176,38,"1115496"
171,"spotify:track:3dj4wgM3cPeuLwMNHDuBon","Teddy Swims","The Door","Warner Records",88,137,233,"1113719"
172,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",52,-1,693,"1106902"
173,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",80,183,783,"1104361"
174,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",18,157,120,"1095953"
175,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",2,-1,550,"1093307"
176,"spotify:track:1Cbl3Yq8rHo7hhDQmLQagU","Tyla","PUSH 2 START","FAX Records/Epic",52,165,104,"1091717"
177,"spotify:track:38WyDtxZhxm63jiythwemE","Lorde","Ribs","Universal Music New Zealand Limited",136,181,7,"1091543"
178,"spotify:track:5e0b9LgOfi3aJSKXFcOWRe","Chezile","Beanie","Chezile / 10K Projects",53,193,150,"1087706"
179,"spotify:track:1BJJbSX6muJVF2AK7uH1x4","Adam Port, Stryv, Keinemusik, Orso, Malachiii","Move","Keinemusik",17,126,186,"1086545"
180,"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","The Chainsmokers, Halsey","Closer","Disruptor Records/Columbia",2,192,1399,"1084887"
181,"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","a-ha","Take on Me","Rhino",36,164,441,"1079101"
182,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",106,186,30,"1077712"
183,"spotify:track:6v5qt5KPQHJt5ckWuhDGtM","Victor Valverde, JR Torres","El Mayor De Los Ranas","Vim Music",88,178,67,"1077440"
184,"spotify:track:3B54sVLJ402zGa6Xm4YGNe","French Montana, Swae Lee","Unforgettable","Bad Boy Entertainment/Epic Records",3,167,862,"1076595"
185,"spotify:track:2HJQm4T3Pk2zvxoFhlnGjR","MXZI","MONTAGEM TOMADA - Slowed","Enarma Records",147,197,15,"1073257"
186,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",7,-1,589,"1072779"
187,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",21,172,171,"1072604"
188,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",16,173,809,"1072588"
189,"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Arctic Monkeys","Do I Wanna Know?","Domino Recording Co",91,-1,967,"1071587"
190,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,194,2212,"1071192"
