rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
114,"spotify:track:3X6qK1LdMkSOhklwRa2ZfG","Offset, JID","Danger (Spider) (Offset & JID)","Republic Records",114,-1,1,"75420"
115,"spotify:track:3J5IO8OLj05dRaZjHBHS8D","Tiwa Savage, Asake","Loaded","222 Ent. / Everything Savage",4,98,31,"75405"
116,"spotify:track:1DA2ADZs6O28y2rmdmpekw","Wizkid, Ayra Starr","2 Sugar (feat. Ayra Starr)","Starboy/RCA Records",1,89,30,"73414"
117,"spotify:track:3yu5otkADG1ldufrPxABoo","Yarden","Wetin","ETINS RECORD LTD",68,101,25,"72327"
118,"spotify:track:79xHOEYZKZEj6fPkmhQboa","Asake","Yoga","YBNL Nation / EMPIRE - Asake",1,90,19,"71841"
119,"spotify:track:1Ut1vSnb0hM58jFbPVhZaC","Naira Marley","Body","My Type Of Music LTD",60,87,4,"71372"
120,"spotify:track:0VjzaXw81JQJM61pzWwP8b","Asake","Nzaza","YBNL Nation / EMPIRE",6,94,40,"71371"
121,"spotify:track:2pJc9s2R4zwfexvsAmwq2N","Barry Jhay","My Father My father","Bhang Hits Music / Dvpper Music",112,112,2,"71150"
122,"spotify:track:1YUrCnmAEQbdmTeucn3WCl","Bella Shmurda, Omah Lay","Philo","Dangbana Republik",10,116,38,"70897"
123,"spotify:track:5E6bsNA69z9SMXM6hOWqdU","Pheelz","YOLO","Rii Collective",123,-1,1,"70220"
124,"spotify:track:5FCS33n2pWeNBFjQpwKaiH","Boy Spyce","Folake","Mavin Records",10,92,19,"70182"
125,"spotify:track:4A7sSA10D35HQUNrSOl5Zo","JAE5, Dave, Bnxn","Propeller (feat. Dave & BNXN)","Black Butter",2,120,46,"70173"
126,"spotify:track:0Lc8dFTLevgeHnXccrjTRm","Tobi Adu","Claro","Geez Entertainment",103,103,7,"70081"
127,"spotify:track:3z4CGd63tpUn9a6oQSG0CI","Dave, Burna Boy","Location (feat. Burna Boy)","Neighbourhood",48,152,69,"68082"
128,"spotify:track:7v6HbQggLsB2UUCqABkJoX","Minz, Bnxn, Blaqbonez","WO WO (Remix)","NSE Under Exclusive License to emPawa Africa Limited",21,127,20,"66600"
129,"spotify:track:3IQT2MM49GkXfHF9eemaw5","Victony, Tempoe","Soweto","Encore Recordings",5,122,44,"66331"
130,"spotify:track:00ZQQArUJReFfsMnl8dIgd","Dave, Central Cee","Our 25th Birthday","Neighbourhood / Live Yours",130,-1,1,"66312"
131,"spotify:track:2VjOTvl50tscmc0RDjPdr2","Dave, Central Cee","UK Rap","Neighbourhood / Live Yours",131,-1,1,"66206"
132,"spotify:track:7guk0rwtRbpnNVraNaIpfL","CKay","nwayi","Warner Music Africa",132,-1,1,"66102"
133,"spotify:track:3IG4kHTN6zIFODRL1TFOni","Rema","Reason You","Mavin Records/Jonzing World",4,109,16,"65840"
134,"spotify:track:46gfN72BxmLvACx6Pve4XU","Asake","Dull","YBNL Nation / EMPIRE",4,128,40,"65781"
135,"spotify:track:2qlBAT108lYOzlXhBxBqEv","Metro Boomin, Don Toliver, Lil Uzi Vert","Home (Metro Boomin & Don Toliver, Lil Uzi Vert)","Republic Records",135,-1,1,"65181"
136,"spotify:track:4MzOppXoeKvDsVaNMeOK3C","Ruger","Girlfriend","Columbia",5,110,51,"64927"
137,"spotify:track:3kqE7QmylUIJV3QXC6arrR","Victony","Kolomental","Encore Recordings",3,113,59,"64528"
138,"spotify:track:6KlqjCLNImX7W9zYt2Xa7D","Lil Durk","Pelle Coat","Alamo",50,50,2,"64485"
139,"spotify:track:0VNYzFooNvcPvhpM988aor","Joeboy","Contour","emPawa Africa Limited",40,137,29,"63964"
140,"spotify:track:6HexNTb392JS071DoTGo0y","Metro Boomin, James Blake","Hummingbird (Metro Boomin & James Blake)","Republic Records",140,-1,1,"62911"
141,"spotify:track:3dQBUVzA9qw3iUOfzRla8T","Mavins, Rema, Boy Spyce, Crayon, Bayanni, Magixx, LADIPOE, Ayra Starr, Johnny Drille","Won Da Mo","Mavin Records",1,136,31,"62857"
142,"spotify:track:03P20c2fQ6SGnyyvngIdmG","J Hus","It's Crazy","Black Butter",59,59,2,"62786"
143,"spotify:track:1QO7M1UGJsHno3cf5aHCri","Oxlade, Flavour","OVAMI","Epic",70,114,3,"62723"
144,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Lil Baby, Gunna","Drip Too Hard (Lil Baby & Gunna)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",75,144,47,"62472"
145,"spotify:track:0u2A4QNAMUyfQbgfVR3HvK","Kizz Daniel, EMPIRE","Cough (Odo)","EMPIRE",1,133,34,"61929"
146,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",6,131,25,"61893"
147,"spotify:track:3xMnPIvsaWwzHzqqzaihEX","Metro Boomin, James Blake, A$AP Rocky, 21 Savage","Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)","Republic Records",147,-1,1,"61784"
148,"spotify:track:1PCUDCPFzwPbYbQqivdMxK","Davido","PRECISION","Columbia",14,121,10,"61091"
149,"spotify:track:0i3xWOhlLCCk5L2KpSX3DG","Davido","LCND","Columbia",16,117,10,"60524"
150,"spotify:track:6othjWxN6khdhiLu9GdOtj","Zinoleesky","Loving You","Marlian Music",4,164,56,"60327"
151,"spotify:track:1j9I9JrUTXNblSWazCq9CU","Bella Shmurda","Ara (Gen Gen Tin)","Dangbana Republik",9,135,13,"60265"
152,"spotify:track:47rtDAZmqRUjba0V1en3XY","Kizz Daniel","RTID (Rich Till I Die)","FlyBoy INC / EMPIRE",8,97,22,"60217"
153,"spotify:track:5d5GWx48aGuO0A1ZYJPAr7","Bad Boy Timz","Tossmitoss","Shock Absorbers Music / EMPIRE",153,-1,1,"60097"
154,"spotify:track:1ALcYeD6JELUFLL3obyUDt","DJ Tunez, Wizkid, Gimba","Blessings (feat. Wizkid & Gimba)","BT Music Worldwide",39,95,4,"59385"
155,"spotify:track:40i8KLfHU6DAT0EmZPbnqb","Davido, Dexta Daps","BOP (feat. Dexta Daps)","Columbia",13,123,11,"58992"
156,"spotify:track:4BdSQteqYNDGU8oD487KEU","Moses Bliss, Festizie, Chizie","Miracle No Dey Tire Jesus","Spotlite Production",99,178,19,"58762"
157,"spotify:track:3kKZsfJfTLHQOraQWL1KYE","Zlatan, Young Jonn","Astalavista","Zanku Records",32,134,28,"58706"
